,P,cost,value
0,0.01,0.01,9.999999992055853
1,0.01,0.1,9.999999994658712
2,0.01,0.2,9.999999995954841
3,0.01,0.3,9.999999950503117
4,0.01,0.4,9.999999896558913
5,0.01,0.5,9.999999799810764
6,0.01,0.6,9.999999701777538
7,0.01,0.7,9.999998349606996
8,0.01,0.8,9.999993135467387
9,0.01,0.9,9.99986153606821
10,0.01,0.99,9.74462051784113
11,0.1,0.01,9.999999882344536
12,0.1,0.1,9.999999930301453
13,0.1,0.2,9.999999718036413
14,0.1,0.3,9.999998948316007
15,0.1,0.4,9.999996417062047
16,0.1,0.5,9.999989202990081
17,0.1,0.6,9.999937964868169
18,0.1,0.7,9.999684129409196
19,0.1,0.8,9.993003367269361
20,0.1,0.9,9.702052078743238
21,0.1,0.99,9.999109493365548
22,0.2,0.01,9.999999532894206
23,0.2,0.1,9.99999966396825
24,0.2,0.2,9.999998025534346
25,0.2,0.3,9.999993019045661
26,0.2,0.4,9.99997316444781
27,0.2,0.5,9.999903231693315
28,0.2,0.6,9.998539717682661
29,0.2,0.7,9.969306636894931
30,0.2,0.8,9.714629186681943
31,0.2,0.9,9.98165535337164
32,0.2,0.99,9.999595766048195
33,0.3,0.01,9.999999410813178
34,0.3,0.1,9.999998956696928
35,0.3,0.2,9.999994136197877
36,0.3,0.3,9.999974069010662
37,0.3,0.4,9.999878936173845
38,0.3,0.5,9.998622543284784
39,0.3,0.6,9.960818699677858
40,0.3,0.7,9.635836421052161
41,0.3,0.8,9.956298931341788
42,0.3,0.9,9.998833634869758
43,0.3,0.99,9.999760636096385
44,0.4,0.01,9.99999892387068
45,0.4,0.1,9.999997712777528
46,0.4,0.2,9.999965097838139
47,0.4,0.3,9.999796847190508
48,0.4,0.4,9.998013038691735
49,0.4,0.5,9.970229994345086
50,0.4,0.6,9.618991163296545
51,0.4,0.7,9.924118476271154
52,0.4,0.8,9.996672019375982
53,0.4,0.9,9.999610016820464
54,0.4,0.99,9.999864443340165
55,0.5,0.01,9.999997829044611
56,0.5,0.1,9.999989713962826
57,0.5,0.2,9.999863756963775
58,0.5,0.3,9.99857094314485
59,0.5,0.4,9.961723045048437
60,0.5,0.5,9.68371374953342
61,0.5,0.6,9.936074094037483
62,0.5,0.7,9.995420118290903
63,0.5,0.8,9.999051918279543
64,0.5,0.9,9.999807814275648
65,0.5,0.99,9.999909501659447
66,0.6,0.01,9.999995832285212
67,0.6,0.1,9.9999690237974
68,0.6,0.2,9.999427952348812
69,0.6,0.3,9.968336575977677
70,0.6,0.4,9.712799834244558
71,0.6,0.5,9.938819771084862
72,0.6,0.6,9.994376639362246
73,0.6,0.7,9.998634774532103
74,0.6,0.8,9.999718946670596
75,0.6,0.9,9.999894786692636
76,0.6,0.99,9.999938014935147
77,0.7,0.01,9.999988779347373
78,0.7,0.1,9.999765810895756
79,0.7,0.2,9.98369225729522
80,0.7,0.3,9.75552541519993
81,0.7,0.4,9.94879393020202
82,0.7,0.5,9.994634524887498
83,0.7,0.6,9.998843128618534
84,0.7,0.7,9.999600150353242
85,0.7,0.8,9.999850819611565
86,0.7,0.9,9.999926090290728
87,0.7,0.99,9.999958304810386
88,0.8,0.01,9.999959100127219
89,0.8,0.1,9.996161388210599
90,0.8,0.2,9.77318980586596
91,0.8,0.3,9.957216131386597
92,0.8,0.4,9.99544340732416
93,0.8,0.5,9.998996845073954
94,0.8,0.6,9.999592987810358
95,0.8,0.7,9.99979790843025
96,0.8,0.8,9.999901665622264
97,0.8,0.9,9.999953488175152
98,0.8,0.99,9.999964606772501
99,0.9,0.01,9.999763790196617
100,0.9,0.1,9.870093481529217
101,0.9,0.2,9.983435576547574
102,0.9,0.3,9.997602619804905
103,0.9,0.4,9.999327814786133
104,0.9,0.5,9.999691284227577
105,0.9,0.6,9.999831605853606
106,0.9,0.7,9.99988704357387
107,0.9,0.8,9.999944458788088
108,0.9,0.9,9.999968085793295
109,0.9,0.99,9.999976720069391
110,0.99,0.01,9.98073278263615
111,0.99,0.1,9.995961608990388
112,0.99,0.2,9.999258188180967
113,0.99,0.3,9.999680995647996
114,0.99,0.4,9.999785633578712
115,0.99,0.5,9.999870513737877
116,0.99,0.6,9.999907880065598
117,0.99,0.7,9.999936779474769
118,0.99,0.8,9.999967563509571
119,0.99,0.9,9.999978409235023
120,0.99,0.99,9.999985171151032
