,P,cost,value
0,0.01,0.01,9.999999891396214
1,0.01,0.1,9.995895165548683
2,0.01,0.2,9.795327949413783
3,0.01,0.3,8.307055219405106
4,0.01,0.4,3.9009447930503067
5,0.01,0.5,-0.5036840935040319
6,0.01,0.6,-1.660584836367247
7,0.01,0.7,-1.5782734101458342
8,0.01,0.8,-0.9808263429801749
9,0.01,0.9,-0.2090654163174084
10,0.01,0.99,9.145851142660552
11,0.1,0.01,9.999999868342993
12,0.1,0.1,9.999978583724458
13,0.1,0.2,9.99874792856646
14,0.1,0.3,9.949185651856528
15,0.1,0.4,8.389332837955891
16,0.1,0.5,-0.947657360264961
17,0.1,0.6,-6.763120666761836
18,0.1,0.7,-8.37474412336032
19,0.1,0.8,-7.99557735690729
20,0.1,0.9,2.3206527954083906
21,0.1,0.99,9.998727232250602
22,0.2,0.01,9.999999745076739
23,0.2,0.1,9.999995568942762
24,0.2,0.2,9.999833560127875
25,0.2,0.3,9.990530360759715
26,0.2,0.4,9.457347458388462
27,0.2,0.5,-0.010399222835149463
28,0.2,0.6,-6.8566710344418516
29,0.2,0.7,-6.992207753578548
30,0.2,0.8,1.0657933409114242
31,0.2,0.9,9.924568129307401
32,0.2,0.99,9.999613612170723
33,0.3,0.01,9.999999455582845
34,0.3,0.1,9.999995893403028
35,0.3,0.2,9.999926410231891
36,0.3,0.3,9.997755127249976
37,0.3,0.4,9.717080855936661
38,0.3,0.5,2.297312837636765
39,0.3,0.6,-3.6484430983213496
40,0.3,0.7,1.9928841016901906
41,0.3,0.8,9.775585628035557
42,0.3,0.9,9.997576099758174
43,0.3,0.99,9.999781470963784
44,0.4,0.01,9.999998643618431
45,0.4,0.1,9.999996546055508
46,0.4,0.2,9.999963306723322
47,0.4,0.3,9.999081566283017
48,0.4,0.4,9.934791140533195
49,0.4,0.5,6.344909019104966
50,0.4,0.6,5.361065692752572
51,0.4,0.7,9.783172843689135
52,0.4,0.8,9.995422889393245
53,0.4,0.9,9.99957324963204
54,0.4,0.99,9.999856905706924
55,0.5,0.01,9.999997783680772
56,0.5,0.1,9.999989616224896
57,0.5,0.2,9.999899983586447
58,0.5,0.3,9.998657110526013
59,0.5,0.4,9.963607649922887
60,0.5,0.5,9.638201042423658
61,0.5,0.6,9.933496892843097
62,0.5,0.7,9.994183989727048
63,0.5,0.8,9.999389418089782
64,0.5,0.9,9.99979303048184
65,0.5,0.99,9.999909345759377
66,0.6,0.01,9.999995460203165
67,0.6,0.1,9.999954078865024
68,0.6,0.2,9.997964194654168
69,0.6,0.3,9.892747518724425
70,0.6,0.4,5.798424914914286
71,0.6,0.5,6.367778338952909
72,0.6,0.6,9.87298931570203
73,0.6,0.7,9.997731095796109
74,0.6,0.8,9.99962205603653
75,0.6,0.9,9.999886331110536
76,0.6,0.99,9.999934955253039
77,0.7,0.01,9.999990829904643
78,0.7,0.1,9.999376995103308
79,0.7,0.2,9.86340146606045
80,0.7,0.3,2.8558789239286098
81,0.7,0.4,-3.798849434602791
82,0.7,0.5,2.246590312423921
83,0.7,0.6,9.748117467212651
84,0.7,0.7,9.995694117942787
85,0.7,0.8,9.999654341010316
86,0.7,0.9,9.99991512384704
87,0.7,0.99,9.999958328714408
88,0.8,0.01,9.99996150404228
89,0.8,0.1,9.96842203172699
90,0.8,0.2,1.6744361902598393
91,0.8,0.3,-6.801637249975469
92,0.8,0.4,-6.579605298609074
93,0.8,0.5,0.2489051172219817
94,0.8,0.6,9.340677978026731
95,0.8,0.7,9.989022032694084
96,0.8,0.8,9.999642948608846
97,0.8,0.9,9.999934043296413
98,0.8,0.99,9.99996937566204
99,0.9,0.01,9.999737292911027
100,0.9,0.1,3.078662939769811
101,0.9,0.2,-7.8823901062850155
102,0.9,0.3,-8.241377846187126
103,0.9,0.4,-6.762521070042088
104,0.9,0.5,-1.1070220770658947
105,0.9,0.6,8.337306379864511
106,0.9,0.7,9.945801760729868
107,0.9,0.8,9.998613522144058
108,0.9,0.9,9.99991726079902
109,0.9,0.99,9.999978541113467
110,0.99,0.01,9.868146290229545
111,0.99,0.1,0.11440817009660798
112,0.99,0.2,-1.5306480952611623
113,0.99,0.3,-1.4886997674353275
114,0.99,0.4,-1.2502471098821324
115,0.99,0.5,-0.9522109473724333
116,0.99,0.6,4.212258692389251
117,0.99,0.7,8.26386052489701
118,0.99,0.8,9.775796411476223
119,0.99,0.9,9.994849605910053
120,0.99,0.99,9.999985398235944
