,P,cost,value
0,0.01,0.01,-1.0901238047016486
1,0.01,0.1,-0.978656098697321
2,0.01,0.2,-0.8189887610185286
3,0.01,0.3,-1.091898383432901
4,0.01,0.4,-1.0751211277683506
5,0.01,0.5,-0.5040384771543767
6,0.01,0.6,-0.8136022678545496
7,0.01,0.7,-0.16848318582964525
8,0.01,0.8,0.5369906826646673
9,0.01,0.9,1.7699911876934862
10,0.01,0.99,9.779241159634505
11,0.1,0.01,-1.9335362223418984
12,0.1,0.1,-2.0658369904208955
13,0.1,0.2,-1.9294037243514044
14,0.1,0.3,-2.031469596079045
15,0.1,0.4,-1.424290737354494
16,0.1,0.5,-0.9364403473551075
17,0.1,0.6,-0.3527650966573176
18,0.1,0.7,0.9756485961940782
19,0.1,0.8,4.111969562380288
20,0.1,0.9,9.708153802066946
21,0.1,0.99,3.221276788548911
22,0.2,0.01,-2.109838634332183
23,0.2,0.1,-1.8685198140211252
24,0.2,0.2,-1.791575097800705
25,0.2,0.3,-1.3228351643233998
26,0.2,0.4,-0.7971145369958503
27,0.2,0.5,0.0012192959647247216
28,0.2,0.6,1.7259780622126213
29,0.2,0.7,5.362619776704285
30,0.2,0.8,9.662096079462032
31,0.2,0.9,4.5558403370859475
32,0.2,0.99,1.1689558198405412
33,0.3,0.01,-1.6857496966895777
34,0.3,0.1,-1.595597642088869
35,0.3,0.2,-1.2376407074434144
36,0.3,0.3,-0.7829758445900499
37,0.3,0.4,0.3233756272359407
38,0.3,0.5,2.2983271614298486
39,0.3,0.6,6.066932611358654
40,0.3,0.7,9.635449187741528
41,0.3,0.8,5.609339840203028
42,0.3,0.9,1.7841071313615278
43,0.3,0.99,0.05556014324661768
44,0.4,0.01,-1.496704783009712
45,0.4,0.1,-1.124358791452046
46,0.4,0.2,-0.8104741415861217
47,0.4,0.3,0.22551306786815545
48,0.4,0.4,2.317290467300111
49,0.4,0.5,6.335424294333844
50,0.4,0.6,9.64616087577742
51,0.4,0.7,5.926537065354368
52,0.4,0.8,2.1515553215942425
53,0.4,0.9,0.14621844672170708
54,0.4,0.99,-0.738214170565793
55,0.5,0.01,-1.2278092957468276
56,0.5,0.1,-0.6353275766569223
57,0.5,0.2,0.44049590164006525
58,0.5,0.3,2.313189682727423
59,0.5,0.4,6.2479940276488
60,0.5,0.5,9.63913242207656
61,0.5,0.6,6.239208487612404
62,0.5,0.7,2.460170169071139
63,0.5,0.8,-0.013682352663361236
64,0.5,0.9,-1.040776494138871
65,0.5,0.99,-1.2650950070760822
66,0.6,0.01,-0.7431035748044672
67,0.6,0.1,-0.1826234926381047
68,0.6,0.2,1.7209561125173565
69,0.6,0.3,5.752154468901745
70,0.6,0.4,9.706316658388445
71,0.6,0.5,6.363664839281304
72,0.6,0.6,2.302064185964336
73,0.6,0.7,0.0881908919275909
74,0.6,0.8,-0.7885226975306796
75,0.6,0.9,-1.4897275614066428
76,0.6,0.99,-1.4927943319276986
77,0.7,0.01,-0.22144912720931778
78,0.7,0.1,1.0352332080275704
79,0.7,0.2,5.59043315420813
80,0.7,0.3,9.746451097152761
81,0.7,0.4,6.143721630614732
82,0.7,0.5,2.2399984235188235
83,0.7,0.6,0.2994965294961084
84,0.7,0.7,-0.7397234202408854
85,0.7,0.8,-0.8585802456373921
86,0.7,0.9,-1.5157677536238634
87,0.7,0.99,-1.8076357542436203
88,0.8,0.01,0.8267450934372068
89,0.8,0.1,4.487753863730651
90,0.8,0.2,9.775429903354324
91,0.8,0.3,5.43744299839979
92,0.8,0.4,2.5334044769037813
93,0.8,0.5,0.23243121372804806
94,0.8,0.6,-0.845040853965347
95,0.8,0.7,-1.4158009378279002
96,0.8,0.8,-1.5676574176452063
97,0.8,0.9,-1.8058889512360072
98,0.8,0.99,-1.8283785154181302
99,0.9,0.01,3.2714777915915043
100,0.9,0.1,9.856265603272266
101,0.9,0.2,4.470520692675252
102,0.9,0.3,0.6369070648404478
103,0.9,0.4,-0.3192157594222373
104,0.9,0.5,-1.0986590412158468
105,0.9,0.6,-1.504761001508358
106,0.9,0.7,-1.6142686902926908
107,0.9,0.8,-1.8936972844244906
108,0.9,0.9,-1.733488951543162
109,0.9,0.99,-1.8388918818459854
110,0.99,0.01,9.978581163347968
111,0.99,0.1,2.0825954204659514
112,0.99,0.2,0.05066159269861781
113,0.99,0.3,-0.06621949559285278
114,0.99,0.4,-0.3211090413172645
115,0.99,0.5,-0.9538231553689722
116,0.99,0.6,-0.5224463487377037
117,0.99,0.7,-0.8152297088181254
118,0.99,0.8,-1.0012685080916242
119,0.99,0.9,-0.6321210440546168
120,0.99,0.99,-0.705430361786128
