,P,cost,value
0,0.01,0.01,9.99999991514617
1,0.01,0.1,9.999999949993699
2,0.01,0.2,9.999999925090105
3,0.01,0.3,9.99999996320819
4,0.01,0.4,9.999999959118856
5,0.01,0.5,9.999999799810764
6,0.01,0.6,9.999999637821984
7,0.01,0.7,9.99999426203107
8,0.01,0.8,9.999954615506933
9,0.01,0.9,9.997707818095149
10,0.01,0.99,2.2051433655278214
11,0.1,0.01,9.999982370011564
12,0.1,0.1,9.999984561879138
13,0.1,0.2,9.99998861073173
14,0.1,0.3,9.999994517555258
15,0.1,0.4,9.999994537131652
16,0.1,0.5,9.999989202990081
17,0.1,0.6,9.99990530645136
18,0.1,0.7,9.998651194387516
19,0.1,0.8,9.902653081731916
20,0.1,0.9,-0.6300117247090132
21,0.1,0.99,-9.597891153623292
22,0.2,0.01,9.999649600991454
23,0.2,0.1,9.999739390747797
24,0.2,0.2,9.999823832901262
25,0.2,0.3,9.999877552944191
26,0.2,0.4,9.999946580921076
27,0.2,0.5,9.999903231693315
28,0.2,0.6,9.99645301022275
29,0.2,0.7,9.732690482100743
30,0.2,0.8,-0.2974191332531433
31,0.2,0.9,-9.038951470022736
32,0.2,0.99,-9.772439505625552
33,0.3,0.01,9.993406544916134
34,0.3,0.1,9.993313847963531
35,0.3,0.2,9.995715660614097
36,0.3,0.3,9.99720791014564
37,0.3,0.4,9.999097766716497
38,0.3,0.5,9.998622543284784
39,0.3,0.6,9.790342905025163
40,0.3,0.7,1.8985919146884889
41,0.3,0.8,-7.932632467076762
42,0.3,0.9,-9.435442913511512
43,0.3,0.99,-9.655684564791096
44,0.4,0.01,9.601775197805503
45,0.4,0.1,9.596414433989974
46,0.4,0.2,9.73293011312557
47,0.4,0.3,9.83043317620399
48,0.4,0.4,9.94816470674425
49,0.4,0.5,9.970229994345086
50,0.4,0.6,5.019517282017313
51,0.4,0.7,-4.580221706274009
52,0.4,0.8,-8.064052203912848
53,0.4,0.9,-8.668295314812834
54,0.4,0.99,-8.879036465883447
55,0.5,0.01,-1.2173234181899797
56,0.5,0.1,-0.6595507107841314
57,0.5,0.2,0.40025990591884414
58,0.5,0.3,1.9971634386598989
59,0.5,0.4,6.101912882357118
60,0.5,0.5,9.68371374953342
61,0.5,0.6,6.178090415357698
62,0.5,0.7,2.4279640581487967
63,0.5,0.8,0.17984046143190846
64,0.5,0.9,-0.6641039802870125
65,0.5,0.99,-1.0010567276003888
66,0.6,0.01,-8.96742437979402
67,0.6,0.1,-8.786023371986623
68,0.6,0.2,-7.910398046994247
69,0.6,0.3,-4.655868405197909
70,0.6,0.4,5.647352026725219
71,0.6,0.5,9.938819771084862
72,0.6,0.6,9.91978793064164
73,0.6,0.7,9.797613822980066
74,0.6,0.8,9.706853790572957
75,0.6,0.9,9.640364564966772
76,0.6,0.99,9.570952271469594
77,0.7,0.01,-9.69332909777629
78,0.7,0.1,-9.512174876637832
79,0.7,0.2,-8.253286863381797
80,0.7,0.3,1.2104704782884217
81,0.7,0.4,9.803601501066982
82,0.7,0.5,9.994634524887498
83,0.7,0.6,9.997523940492417
84,0.7,0.7,9.995343533113925
85,0.7,0.8,9.99323749464413
86,0.7,0.9,9.99252559807582
87,0.7,0.99,9.991068228198671
88,0.8,0.01,-9.753093641679381
89,0.8,0.1,-9.143037712576753
90,0.8,0.2,-0.3465981767978368
91,0.8,0.3,9.698504634006843
92,0.8,0.4,9.991949866488824
93,0.8,0.5,9.998996845073954
94,0.8,0.6,9.999469849050662
95,0.8,0.7,9.999492763526158
96,0.8,0.8,9.999512545166802
97,0.8,0.9,9.99954522863958
98,0.8,0.99,9.999483321469624
99,0.9,0.01,-9.63801646364063
100,0.9,0.1,-1.430562085515433
101,0.9,0.2,9.84138800044866
102,0.9,0.3,9.993784160934249
103,0.9,0.4,9.999202630848625
104,0.9,0.5,9.999691284227577
105,0.9,0.6,9.999821223964528
106,0.9,0.7,9.999854658407221
107,0.9,0.8,9.999916387542212
108,0.9,0.9,9.999925217791349
109,0.9,0.99,9.999932286402709
110,0.99,0.01,-0.7590972005282317
111,0.99,0.1,9.988346032162463
112,0.99,0.2,9.999086284304122
113,0.99,0.3,9.999655172822667
114,0.99,0.4,9.999782179553657
115,0.99,0.5,9.999870513737877
116,0.99,0.6,9.999908947334266
117,0.99,0.7,9.999937328328786
118,0.99,0.8,9.999966916708193
119,0.99,0.9,9.999977413278348
120,0.99,0.99,9.999983796186328
