,P,cost,value
0,0.01,0.01,-1.0903855332186914
1,0.01,0.1,-0.9782672798244706
2,0.01,0.2,-0.8171756688502546
3,0.01,0.3,-1.0919410278156612
4,0.01,0.4,-1.0765760715136965
5,0.01,0.5,-0.5039553864522283
6,0.01,0.6,-0.8133928625614961
7,0.01,0.7,-0.17047974476668065
8,0.01,0.8,0.5362564027564097
9,0.01,0.9,1.7695978188350745
10,0.01,0.99,9.779241159634505
11,0.1,0.01,-1.933395110052504
12,0.1,0.1,-2.0639749122902646
13,0.1,0.2,-1.936706440846607
14,0.1,0.3,-2.0325261209949277
15,0.1,0.4,-1.4244908857574932
16,0.1,0.5,-0.9409593553261292
17,0.1,0.6,-0.3535689518332216
18,0.1,0.7,0.9731591109326726
19,0.1,0.8,4.114124185805922
20,0.1,0.9,9.708153802066946
21,0.1,0.99,3.223975140186333
22,0.2,0.01,-2.115021452870514
23,0.2,0.1,-1.8643658988408276
24,0.2,0.2,-1.7931199212703777
25,0.2,0.3,-1.3212310102282132
26,0.2,0.4,-0.7909840348015952
27,0.2,0.5,0.0021805989449430784
28,0.2,0.6,1.7230484264000836
29,0.2,0.7,5.36065275069166
30,0.2,0.8,9.662055826982245
31,0.2,0.9,4.551387014596132
32,0.2,0.99,1.1683426647639747
33,0.3,0.01,-1.6855372437096756
34,0.3,0.1,-1.5962514562884111
35,0.3,0.2,-1.237627359987793
36,0.3,0.3,-0.7829731341449252
37,0.3,0.4,0.32332488229078254
38,0.3,0.5,2.2991282934493413
39,0.3,0.6,6.066961177937994
40,0.3,0.7,9.635449187741528
41,0.3,0.8,5.609273242063048
42,0.3,0.9,1.784537422446806
43,0.3,0.99,0.051350397446420906
44,0.4,0.01,-1.4912539569206729
45,0.4,0.1,-1.1243549882990893
46,0.4,0.2,-0.808500576062286
47,0.4,0.3,0.22535654347787754
48,0.4,0.4,2.3173608353708035
49,0.4,0.5,6.3354399607237655
50,0.4,0.6,9.64616087577742
51,0.4,0.7,5.92303653364721
52,0.4,0.8,2.1512785031325157
53,0.4,0.9,0.15176412857265698
54,0.4,0.99,-0.7381564251052148
55,0.5,0.01,-1.223403847528854
56,0.5,0.1,-0.637019183623348
57,0.5,0.2,0.44038187699523157
58,0.5,0.3,2.3162976372078097
59,0.5,0.4,6.248556160259621
60,0.5,0.5,9.63913242207656
61,0.5,0.6,6.240245119946707
62,0.5,0.7,2.4539286565699148
63,0.5,0.8,-0.006283727770903208
64,0.5,0.9,-1.021242525136474
65,0.5,0.99,-1.268071546577218
66,0.6,0.01,-0.7431035748044672
67,0.6,0.1,-0.1843137767822437
68,0.6,0.2,1.7207865015150605
69,0.6,0.3,5.751946600544588
70,0.6,0.4,9.706316658388445
71,0.6,0.5,6.364332685115633
72,0.6,0.6,2.300918445265193
73,0.6,0.7,0.08710549762415476
74,0.6,0.8,-0.7907993876312975
75,0.6,0.9,-1.4910645887752585
76,0.6,0.99,-1.4902219537953731
77,0.7,0.01,-0.22158349244865688
78,0.7,0.1,1.035309249652968
79,0.7,0.2,5.590504799807676
80,0.7,0.3,9.746451097152761
81,0.7,0.4,6.14332087629665
82,0.7,0.5,2.238733004008872
83,0.7,0.6,0.298085493709086
84,0.7,0.7,-0.7427808811305926
85,0.7,0.8,-0.8584329003452469
86,0.7,0.9,-1.5154131284548593
87,0.7,0.99,-1.8075997663030372
88,0.8,0.01,0.8265855107616149
89,0.8,0.1,4.483338863667664
90,0.8,0.2,9.775429903354324
91,0.8,0.3,5.4360238482712315
92,0.8,0.4,2.5305927982446215
93,0.8,0.5,0.23147800243445144
94,0.8,0.6,-0.8530334380987161
95,0.8,0.7,-1.420480939166269
96,0.8,0.8,-1.567593677075475
97,0.8,0.9,-1.805306694565286
98,0.8,0.99,-1.8266047736090645
99,0.9,0.01,3.2710026925337523
100,0.9,0.1,9.856265603272266
101,0.9,0.2,4.469425284398737
102,0.9,0.3,0.6363837031857456
103,0.9,0.4,-0.3102036839944134
104,0.9,0.5,-1.0976606721971587
105,0.9,0.6,-1.5008017547852448
106,0.9,0.7,-1.6146193662758463
107,0.9,0.8,-1.9013278853539428
108,0.9,0.9,-1.7380712345351164
109,0.9,0.99,-1.838891617901083
110,0.99,0.01,9.978581163347968
111,0.99,0.1,2.082520437433849
112,0.99,0.2,0.05035882977009334
113,0.99,0.3,-0.06633386348485808
114,0.99,0.4,-0.3209567111843117
115,0.99,0.5,-0.9537464512378591
116,0.99,0.6,-0.5224239073127064
117,0.99,0.7,-0.8156698059742579
118,0.99,0.8,-1.0027618603729473
119,0.99,0.9,-0.6315363953003111
120,0.99,0.99,-0.705314652518736
