,P,cost,value
0,0.01,0.01,-2.266159056179251
1,0.01,0.1,-2.366903041527943
2,0.01,0.2,-2.2191653456954823
3,0.01,0.3,-2.18394478656948
4,0.01,0.4,-2.042025228209069
5,0.01,0.5,-2.2366633226566615
6,0.01,0.6,-2.1655091612989725
7,0.01,0.7,-2.0560351614874026
8,0.01,0.8,-1.8308189739775433
9,0.01,0.9,-0.0756265532768943
10,0.01,0.99,8.206244599317817
11,0.1,0.01,-8.648847997582818
12,0.1,0.1,-8.602723995873772
13,0.1,0.2,-8.55431481116267
14,0.1,0.3,-8.51219188539953
15,0.1,0.4,-8.454523555636044
16,0.1,0.5,-8.302537216127176
17,0.1,0.6,-8.083271921247759
18,0.1,0.7,-7.474950072968701
19,0.1,0.8,-5.520531326629621
20,0.1,0.9,3.8639202622316104
21,0.1,0.99,9.908718971024816
22,0.2,0.01,-9.50951086008722
23,0.2,0.1,-9.48119845574805
24,0.2,0.2,-9.447148027964047
25,0.2,0.3,-9.386520808790578
26,0.2,0.4,-9.270122261793336
27,0.2,0.5,-9.168331104053394
28,0.2,0.6,-8.755836981225183
29,0.2,0.7,-7.256414134210003
30,0.2,0.8,1.5708222462599748
31,0.2,0.9,9.944298323125018
32,0.2,0.99,9.990835625424253
33,0.3,0.01,-9.754496531357129
34,0.3,0.1,-9.73985442644117
35,0.3,0.2,-9.691085100669453
36,0.3,0.3,-9.642397898488312
37,0.3,0.4,-9.515288466511198
38,0.3,0.5,-9.141366732215149
39,0.3,0.6,-7.682106897067617
40,0.3,0.7,-0.14294352607993135
41,0.3,0.8,9.781771153711162
42,0.3,0.9,9.997379814347763
43,0.3,0.99,9.998398839025345
44,0.4,0.01,-9.831639829030433
45,0.4,0.1,-9.810371332810611
46,0.4,0.2,-9.766071315034932
47,0.4,0.3,-9.651385245399656
48,0.4,0.4,-9.380856036812688
49,0.4,0.5,-8.034563919628635
50,0.4,0.6,-0.30427177371453346
51,0.4,0.7,9.441326025945866
52,0.4,0.8,9.991660836247068
53,0.4,0.9,9.999335738002046
54,0.4,0.99,9.999547255244973
55,0.5,0.01,-9.884184873283598
56,0.5,0.1,-9.855162338808801
57,0.5,0.2,-9.768358391619302
58,0.5,0.3,-9.554546036316472
59,0.5,0.4,-8.436028828443781
60,0.5,0.5,-1.2049505336174278
61,0.5,0.6,9.202523775295429
62,0.5,0.7,9.976046773457975
63,0.5,0.8,9.998208600762116
64,0.5,0.9,9.999727961825158
65,0.5,0.99,9.9998091531243
66,0.6,0.01,-9.898689263405057
67,0.6,0.1,-9.85393779907212
68,0.6,0.2,-9.657974540324567
69,0.6,0.3,-8.590952045896836
70,0.6,0.4,-1.0898642663966625
71,0.6,0.5,9.221879022281872
72,0.6,0.6,9.971548739621298
73,0.6,0.7,9.996722877816486
74,0.6,0.8,9.999649357295935
75,0.6,0.9,9.999867572939408
76,0.6,0.99,9.999902908867112
77,0.7,0.01,-9.893679956672209
78,0.7,0.1,-9.793616858197375
79,0.7,0.2,-9.050211379647653
80,0.7,0.3,-1.905952546550023
81,0.7,0.4,9.283507513760386
82,0.7,0.5,9.963483681902765
83,0.7,0.6,9.996845552648983
84,0.7,0.7,9.999376856515916
85,0.7,0.8,9.999829959929123
86,0.7,0.9,9.999915330439627
87,0.7,0.99,9.999944658117801
88,0.8,0.01,-9.851469324163379
89,0.8,0.1,-9.402709128290809
90,0.8,0.2,-1.9264047438092968
91,0.8,0.3,9.429051200445942
92,0.8,0.4,9.97633593797104
93,0.8,0.5,9.997617161691817
94,0.8,0.6,9.999369167281078
95,0.8,0.7,9.999779425083226
96,0.8,0.8,9.999897448544118
97,0.8,0.9,9.999949885245737
98,0.8,0.99,9.9999591045742
99,0.9,0.01,-9.690696506703262
100,0.9,0.1,-2.094108127840843
101,0.9,0.2,9.767242360824728
102,0.9,0.3,9.98825741372906
103,0.9,0.4,9.998637705208457
104,0.9,0.5,9.99958810027358
105,0.9,0.6,9.99981379767413
106,0.9,0.7,9.999887260066473
107,0.9,0.8,9.999943124093058
108,0.9,0.9,9.999966752684825
109,0.9,0.99,9.999975085378326
110,0.99,0.01,-0.9013062577932794
111,0.99,0.1,9.987240297126307
112,0.99,0.2,9.999015209931665
113,0.99,0.3,9.999632587058876
114,0.99,0.4,9.999771055189182
115,0.99,0.5,9.999865900919321
116,0.99,0.6,9.999907641809259
117,0.99,0.7,9.999936712185507
118,0.99,0.8,9.999967550591188
119,0.99,0.9,9.999978330778394
120,0.99,0.99,9.99998513126698
