,P,cost,value
0,0.01,0.01,-1.2871461599030907
1,0.01,0.1,-1.4299175520919931
2,0.01,0.2,-1.3537408161995614
3,0.01,0.3,-1.2623046939239555
4,0.01,0.4,-1.149595486523411
5,0.01,0.5,-1.241895618035942
6,0.01,0.6,-1.2666766421755418
7,0.01,0.7,-0.9322707807485329
8,0.01,0.8,-0.8341816510516717
9,0.01,0.9,0.5325340422785769
10,0.01,0.99,9.048834022849416
11,0.1,0.01,-6.255844194522021
12,0.1,0.1,-6.207203485974322
13,0.1,0.2,-6.118921396870233
14,0.1,0.3,-6.110441497562951
15,0.1,0.4,-6.074662156227443
16,0.1,0.5,-5.716826352644835
17,0.1,0.6,-5.2728434477282615
18,0.1,0.7,-4.288889470650192
19,0.1,0.8,-1.086457894048694
20,0.1,0.9,8.73527003177384
21,0.1,0.99,8.295882256269891
22,0.2,0.01,-4.92746712099217
23,0.2,0.1,-5.154096017871865
24,0.2,0.2,-4.777454356796907
25,0.2,0.3,-4.70431952612835
26,0.2,0.4,-4.2609895464170195
27,0.2,0.5,-3.699785202440565
28,0.2,0.6,-2.2638544186590863
29,0.2,0.7,1.4710515628679208
30,0.2,0.8,9.405105101378066
31,0.2,0.9,7.615759236933492
32,0.2,0.99,4.858731759533123
33,0.3,0.01,-3.930932848748594
34,0.3,0.1,-3.998611269472047
35,0.3,0.2,-3.55924862356856
36,0.3,0.3,-2.9396037687289156
37,0.3,0.4,-2.313921383869933
38,0.3,0.5,-0.5419204381475717
39,0.3,0.6,3.8848950977958596
40,0.3,0.7,9.50413626548196
41,0.3,0.8,7.349123646795813
42,0.3,0.9,3.7811693981096965
43,0.3,0.99,2.4135876033004298
44,0.4,0.01,-2.4281887897947625
45,0.4,0.1,-2.157780095168256
46,0.4,0.2,-1.6978690510453491
47,0.4,0.3,-0.663722258489092
48,0.4,0.4,1.072644174124457
49,0.4,0.5,5.333910876517111
50,0.4,0.6,9.58111224242206
51,0.4,0.7,6.786186799570178
52,0.4,0.8,2.9000452900011657
53,0.4,0.9,1.2689629133099347
54,0.4,0.99,0.37049385889401903
55,0.5,0.01,-1.2173234181899797
56,0.5,0.1,-0.6595507107841314
57,0.5,0.2,0.40025990591884414
58,0.5,0.3,1.9971634386598989
59,0.5,0.4,6.101912882357118
60,0.5,0.5,9.68371374953342
61,0.5,0.6,6.178090415357698
62,0.5,0.7,2.4279640581487967
63,0.5,0.8,0.17984046143190846
64,0.5,0.9,-0.6641039802870125
65,0.5,0.99,-1.0010567276003888
66,0.6,0.01,0.2155526309821585
67,0.6,0.1,1.022552213267496
68,0.6,0.2,3.1519282633559627
69,0.6,0.3,7.196362072523485
70,0.6,0.4,9.687580833392978
71,0.6,0.5,5.100624896774951
72,0.6,0.6,1.2168576531662716
73,0.6,0.7,-0.7424045511306204
74,0.6,0.8,-1.7977367731220526
75,0.6,0.9,-2.15130077146944
76,0.6,0.99,-2.616766484517152
77,0.7,0.01,2.287306748439385
78,0.7,0.1,3.7843617591215213
79,0.7,0.2,7.327339128928898
80,0.7,0.3,9.640522141361977
81,0.7,0.4,3.7796414944601118
82,0.7,0.5,-0.20123993405298077
83,0.7,0.6,-1.7663673899891306
84,0.7,0.7,-2.8629707544198797
85,0.7,0.8,-3.374169217414634
86,0.7,0.9,-3.562634856935613
87,0.7,0.99,-3.8659345887726437
88,0.8,0.01,4.908178154788622
89,0.8,0.1,7.611407459428367
90,0.8,0.2,9.538675984612516
91,0.8,0.3,1.9191166300454487
92,0.8,0.4,-1.8170412009003958
93,0.8,0.5,-3.4528389524096026
94,0.8,0.6,-4.186514609528161
95,0.8,0.7,-4.537281779294116
96,0.8,0.8,-4.813886338468747
97,0.8,0.9,-4.929065844008823
98,0.8,0.99,-4.9927894329618825
99,0.9,0.01,8.177422177655675
100,0.9,0.1,9.173029942300964
101,0.9,0.2,-1.0538092089740765
102,0.9,0.3,-4.08888001556898
103,0.9,0.4,-5.129420465843442
104,0.9,0.5,-5.612982800030545
105,0.9,0.6,-6.022310613861017
106,0.9,0.7,-5.999841581652144
107,0.9,0.8,-5.979983943489874
108,0.9,0.9,-6.298084166885785
109,0.9,0.99,-6.17792332423986
110,0.99,0.01,9.880696938682572
111,0.99,0.1,0.7386524587397632
112,0.99,0.2,-0.3801314407558728
113,0.99,0.3,-0.8582844678534434
114,0.99,0.4,-0.9019540057506715
115,0.99,0.5,-1.0904184408004527
116,0.99,0.6,-1.5164532590617457
117,0.99,0.7,-1.3086148986495452
118,0.99,0.8,-1.2969760395011054
119,0.99,0.9,-1.2472468713142808
120,0.99,0.99,-1.4354902817567103
