,P,cost,value
0,0.01,0.01,2.3263435972984374
1,0.01,0.1,2.316472212867371
2,0.01,0.2,2.5406997730605374
3,0.01,0.3,2.231348377503913
4,0.01,0.4,2.6170917963926272
5,0.01,0.5,2.647827475869918
6,0.01,0.6,2.485196375692991
7,0.01,0.7,2.603181950701514
8,0.01,0.8,2.9218371348609566
9,0.01,0.9,4.522895316875914
10,0.01,0.99,9.405611522882673
11,0.1,0.01,2.112878525593832
12,0.1,0.1,2.1312866215522943
13,0.1,0.2,2.3684115834001656
14,0.1,0.3,2.396709234570377
15,0.1,0.4,2.7598046502095057
16,0.1,0.5,2.692314304372441
17,0.1,0.6,3.4312388133230947
18,0.1,0.7,4.20549782489171
19,0.1,0.8,5.861514795852759
20,0.1,0.9,6.998977648725507
21,0.1,0.99,5.031344563264094
22,0.2,0.01,1.7816428313646548
23,0.2,0.1,1.560847022462043
24,0.2,0.2,1.9902696862878864
25,0.2,0.3,2.234933339080663
26,0.2,0.4,2.222195558118738
27,0.2,0.5,2.9009801879389236
28,0.2,0.6,3.9018743284344786
29,0.2,0.7,5.284046331565735
30,0.2,0.8,5.918815917696181
31,0.2,0.9,5.120128533913665
32,0.2,0.99,4.8916218361050445
33,0.3,0.01,0.9856170369566098
34,0.3,0.1,1.2755280976286063
35,0.3,0.2,1.3659357331114974
36,0.3,0.3,2.514297033687745
37,0.3,0.4,2.643826172721992
38,0.3,0.5,3.867495841761723
39,0.3,0.6,5.190313817848255
40,0.3,0.7,5.659806416805924
41,0.3,0.8,5.374280411273347
42,0.3,0.9,5.208601653516908
43,0.3,0.99,4.822084237481713
44,0.4,0.01,1.5891577692020715
45,0.4,0.1,2.0792534143999792
46,0.4,0.2,2.374576892925197
47,0.4,0.3,2.931086960051052
48,0.4,0.4,3.806014331105048
49,0.4,0.5,5.059080570599254
50,0.4,0.6,5.60212140063034
51,0.4,0.7,5.490018010439448
52,0.4,0.8,5.015999918702921
53,0.4,0.9,4.887428301524635
54,0.4,0.99,4.787141993754175
55,0.5,0.01,1.5031248771367334
56,0.5,0.1,2.4076989360895276
57,0.5,0.2,2.9132073435828705
58,0.5,0.3,3.974647440157664
59,0.5,0.4,5.00242837028578
60,0.5,0.5,5.4509284501382975
61,0.5,0.6,5.809229589938239
62,0.5,0.7,5.520556605082241
63,0.5,0.8,4.81210885549166
64,0.5,0.9,4.923999605140408
65,0.5,0.99,4.643438537550983
66,0.6,0.01,1.9180125092545544
67,0.6,0.1,2.573594393391322
68,0.6,0.2,3.671989509071172
69,0.6,0.3,4.485495838913384
70,0.6,0.4,5.537896332938564
71,0.6,0.5,6.129783039560292
72,0.6,0.6,5.599061483090596
73,0.6,0.7,5.415286019952708
74,0.6,0.8,5.187022120525981
75,0.6,0.9,5.117095966399447
76,0.6,0.99,4.7334397844301
77,0.7,0.01,2.734777705385945
78,0.7,0.1,3.656798748347959
79,0.7,0.2,4.376492809355358
80,0.7,0.3,5.440024488998337
81,0.7,0.4,6.076749429788034
82,0.7,0.5,5.60350520670071
83,0.7,0.6,5.183960443648426
84,0.7,0.7,4.721988072147876
85,0.7,0.8,4.927613829266146
86,0.7,0.9,4.718667374822109
87,0.7,0.99,4.642165603098274
88,0.8,0.01,3.5527164361782093
89,0.8,0.1,4.324045471044537
90,0.8,0.2,5.577704929377367
91,0.8,0.3,6.181321678306617
92,0.8,0.4,5.337391688078305
93,0.8,0.5,5.04625876798452
94,0.8,0.6,4.790814939503983
95,0.8,0.7,4.945049914898803
96,0.8,0.8,4.711983780076581
97,0.8,0.9,4.7824200152720415
98,0.8,0.99,4.462778899265942
99,0.9,0.01,4.136778944614835
100,0.9,0.1,6.001972799218958
101,0.9,0.2,6.339931893828551
102,0.9,0.3,5.648147834745064
103,0.9,0.4,5.107856748836729
104,0.9,0.5,4.922649986117892
105,0.9,0.6,4.665303260591313
106,0.9,0.7,4.595219940161812
107,0.9,0.8,4.613249259708326
108,0.9,0.9,4.636301899267654
109,0.9,0.99,4.739903496127783
110,0.99,0.01,7.82090136316969
111,0.99,0.1,6.1374826573210886
112,0.99,0.2,5.365603257666065
113,0.99,0.3,5.311642705906884
114,0.99,0.4,5.33277994804484
115,0.99,0.5,5.24983716198602
116,0.99,0.6,5.168300830275927
117,0.99,0.7,5.254620887045021
118,0.99,0.8,5.2849287787423185
119,0.99,0.9,5.215264261053651
120,0.99,0.99,5.235470334510453
