,P,cost,value
0,0.01,0.01,-2.36288037354367
1,0.01,0.1,-2.353079348035771
2,0.01,0.2,-2.3070143018043328
3,0.01,0.3,-2.290047842399762
4,0.01,0.4,-2.2913366830214748
5,0.01,0.5,-2.2017032590149577
6,0.01,0.6,-2.214740700871835
7,0.01,0.7,-1.8455764416071032
8,0.01,0.8,-1.3246365539253375
9,0.01,0.9,-0.3025571564253977
10,0.01,0.99,8.410585191669796
11,0.1,0.01,-7.2704864645846525
12,0.1,0.1,-7.176489867841301
13,0.1,0.2,-7.2321637827085965
14,0.1,0.3,-7.135102282747069
15,0.1,0.4,-6.916669795769589
16,0.1,0.5,-6.722443340075879
17,0.1,0.6,-6.305057599850473
18,0.1,0.7,-5.5655820974572965
19,0.1,0.8,-3.203583803505918
20,0.1,0.9,5.6502669818661255
21,0.1,0.99,9.050183838196771
22,0.2,0.01,-7.561098309438075
23,0.2,0.1,-7.458214978506286
24,0.2,0.2,-7.441632559563429
25,0.2,0.3,-7.22000005877927
26,0.2,0.4,-6.919648650108736
27,0.2,0.5,-6.440326230831294
28,0.2,0.6,-5.50903174000532
29,0.2,0.7,-2.686356137827128
30,0.2,0.8,5.033963957148327
31,0.2,0.9,9.025775866630095
32,0.2,0.99,8.382073202806549
33,0.3,0.01,-7.43664067658635
34,0.3,0.1,-7.34645540220399
35,0.3,0.2,-7.205099999732512
36,0.3,0.3,-6.880812789520883
37,0.3,0.4,-6.581415910727819
38,0.3,0.5,-5.177221574989442
39,0.3,0.6,-2.194949942504351
40,0.3,0.7,4.938893238401597
41,0.3,0.8,9.002649064067647
42,0.3,0.9,8.361879706245498
43,0.3,0.99,7.7610165266498585
44,0.4,0.01,-7.411887539430318
45,0.4,0.1,-7.2535946037082955
46,0.4,0.2,-7.0092710071344815
47,0.4,0.3,-6.379213909840917
48,0.4,0.4,-5.202196700720912
49,0.4,0.5,-2.0211160448856837
50,0.4,0.6,5.039545240375513
51,0.4,0.7,8.99243823541092
52,0.4,0.8,8.322886147546921
53,0.4,0.9,7.791499489748324
54,0.4,0.99,7.4985910628658905
55,0.5,0.01,-7.096548606352176
56,0.5,0.1,-6.890796067599844
57,0.5,0.2,-6.51629238067423
58,0.5,0.3,-5.083909318004714
59,0.5,0.4,-1.9656543785731573
60,0.5,0.5,5.27929012352584
61,0.5,0.6,8.989747577370682
62,0.5,0.7,8.197343921478197
63,0.5,0.8,7.838376160455056
64,0.5,0.9,7.383269531903998
65,0.5,0.99,7.367076081011422
66,0.6,0.01,-7.0674235174860485
67,0.6,0.1,-6.740178245052436
68,0.6,0.2,-5.597239867161891
69,0.6,0.3,-2.5151910106867326
70,0.6,0.4,5.259332749283729
71,0.6,0.5,8.98054335336642
72,0.6,0.6,8.124850831182284
73,0.6,0.7,7.676623961993484
74,0.6,0.8,7.473564737688314
75,0.6,0.9,7.053695536417409
76,0.6,0.99,7.143850697577805
77,0.7,0.01,-6.67293811476357
78,0.7,0.1,-5.940441307019171
79,0.7,0.2,-2.4922365129257744
80,0.7,0.3,5.452937823038332
81,0.7,0.4,8.980782798323808
82,0.7,0.5,7.925060884240793
83,0.7,0.6,7.438843608162308
84,0.7,0.7,7.186111523939504
85,0.7,0.8,6.882318601933798
86,0.7,0.9,6.84478892790363
87,0.7,0.99,6.652594969635106
88,0.8,0.01,-6.21439261269206
89,0.8,0.1,-3.4934761025464818
90,0.8,0.2,5.595663318990906
91,0.8,0.3,8.721709895043642
92,0.8,0.4,7.870089395137238
93,0.8,0.5,7.061416970826317
94,0.8,0.6,6.7648075750796375
95,0.8,0.7,6.807421151470045
96,0.8,0.8,6.54337049443321
97,0.8,0.9,6.45725107087214
98,0.8,0.99,6.39321800820723
99,0.9,0.01,-4.320170806089784
100,0.9,0.1,5.824690421352096
101,0.9,0.2,8.23869301456693
102,0.9,0.3,7.047502526101157
103,0.9,0.4,6.5608503639300775
104,0.9,0.5,6.216277218042865
105,0.9,0.6,6.141302295396017
106,0.9,0.7,6.1164630968145435
107,0.9,0.8,6.066116688512934
108,0.9,0.9,5.8002472050514235
109,0.9,0.99,5.953452040608049
110,0.99,0.01,7.583542540035737
111,0.99,0.1,6.03574067345452
112,0.99,0.2,5.3829749543299785
113,0.99,0.3,5.346300817112709
114,0.99,0.4,5.266629168729543
115,0.99,0.5,5.1763943721645305
116,0.99,0.6,5.132404327317022
117,0.99,0.7,5.320618537784775
118,0.99,0.8,5.194254646410011
119,0.99,0.9,5.309073496892203
120,0.99,0.99,5.3082058303079585
