,P,cost,value
0,0.01,0.01,-6.923354431121237
1,0.01,0.1,-6.941126599983947
2,0.01,0.2,-6.747106452161659
3,0.01,0.3,-6.832874934469448
4,0.01,0.4,-6.512405953280462
5,0.01,0.5,-6.643614817948588
6,0.01,0.6,-6.655256556950452
7,0.01,0.7,-6.482319416281089
8,0.01,0.8,-5.990046160021364
9,0.01,0.9,-3.360161892371684
10,0.01,0.99,7.371266727568708
11,0.1,0.01,-9.821010111019156
12,0.1,0.1,-9.80923969718917
13,0.1,0.2,-9.80619088304916
14,0.1,0.3,-9.781985453767875
15,0.1,0.4,-9.772387479890533
16,0.1,0.5,-9.724802894179753
17,0.1,0.6,-9.658558671204911
18,0.1,0.7,-9.51594153266498
19,0.1,0.8,-8.67654357455171
20,0.1,0.9,0.9457225681810137
21,0.1,0.99,9.997695467840963
22,0.2,0.01,-9.915690984780202
23,0.2,0.1,-9.906923292077138
24,0.2,0.2,-9.8964259970944
25,0.2,0.3,-9.882265194886005
26,0.2,0.4,-9.853745692472785
27,0.2,0.5,-9.80409403985005
28,0.2,0.6,-9.634100564720192
29,0.2,0.7,-8.820518452408535
30,0.2,0.8,-0.18801926621614132
31,0.2,0.9,9.876522512602698
32,0.2,0.99,9.99953662643539
33,0.3,0.01,-9.937840193618708
34,0.3,0.1,-9.933281939234671
35,0.3,0.2,-9.917373735011548
36,0.3,0.3,-9.894388301925453
37,0.3,0.4,-9.848900389989726
38,0.3,0.5,-9.66574047715024
39,0.3,0.6,-8.713857340224596
40,0.3,0.7,-1.2632176963247044
41,0.3,0.8,9.598946656276144
42,0.3,0.9,9.997077161682665
43,0.3,0.99,9.999768995537066
44,0.4,0.01,-9.944195258757759
45,0.4,0.1,-9.935491616495245
46,0.4,0.2,-9.912461853148963
47,0.4,0.3,-9.851823099250703
48,0.4,0.4,-9.693290943452935
49,0.4,0.5,-8.727964784194654
50,0.4,0.6,-1.0105534232888502
51,0.4,0.7,9.219259478493607
52,0.4,0.8,9.987509177238099
53,0.4,0.9,9.999416371170993
54,0.4,0.99,9.999886720662959
55,0.5,0.01,-9.948367647814608
56,0.5,0.1,-9.932504554450245
57,0.5,0.2,-9.88204886293088
58,0.5,0.3,-9.73639672380939
59,0.5,0.4,-8.861059827724635
60,0.5,0.5,-1.7307836732768702
61,0.5,0.6,8.992475241379346
62,0.5,0.7,9.964805210588372
63,0.5,0.8,9.99766870414786
64,0.5,0.9,9.999763149767661
65,0.5,0.99,9.999921427793026
66,0.6,0.01,-9.944447745976166
67,0.6,0.1,-9.915413989886524
68,0.6,0.2,-9.779662060667595
69,0.6,0.3,-8.901274497568284
70,0.6,0.4,-1.4897043862357746
71,0.6,0.5,9.073263394121998
72,0.6,0.6,9.963430170061569
73,0.6,0.7,9.99578827049724
74,0.6,0.8,9.999581040282145
75,0.6,0.9,9.99988861640038
76,0.6,0.99,9.999946947916857
77,0.7,0.01,-9.930876482668044
78,0.7,0.1,-9.855718808898919
79,0.7,0.2,-9.21968989620154
80,0.7,0.3,-2.218264517569453
81,0.7,0.4,9.184747478522544
82,0.7,0.5,9.955602311725924
83,0.7,0.6,9.995866895803594
84,0.7,0.7,9.999219333415576
85,0.7,0.8,9.999813625424563
86,0.7,0.9,9.999928332883279
87,0.7,0.99,9.999965228767955
88,0.8,0.01,-9.887363627522221
89,0.8,0.1,-9.49454732861156
90,0.8,0.2,-2.1584245082809006
91,0.8,0.3,9.365450527917671
92,0.8,0.4,9.971325725878271
93,0.8,0.5,9.99708809670078
94,0.8,0.6,9.999244167551605
95,0.8,0.7,9.999747488997922
96,0.8,0.8,9.99989521912078
97,0.8,0.9,9.999955602557414
98,0.8,0.99,9.999969988695025
99,0.9,0.01,-9.728299893823525
100,0.9,0.1,-2.262010916329239
101,0.9,0.2,9.748352677070951
102,0.9,0.3,9.986790236950958
103,0.9,0.4,9.998406823055863
104,0.9,0.5,9.99952257539792
105,0.9,0.6,9.999794379025415
106,0.9,0.7,9.999881382653808
107,0.9,0.8,9.999943242870826
108,0.9,0.9,9.999969882607092
109,0.9,0.99,9.999978900703892
110,0.99,0.01,-0.9853481217709347
111,0.99,0.1,9.98635034520731
112,0.99,0.2,9.998950397011852
113,0.99,0.3,9.999610759796887
114,0.99,0.4,9.999761779766326
115,0.99,0.5,9.999862290992155
116,0.99,0.6,9.999905297187814
117,0.99,0.7,9.999936344328313
118,0.99,0.8,9.999967972787037
119,0.99,0.9,9.9999789125453
120,0.99,0.99,9.999985857240345
