,P,cost,value
0,0.01,0.01,9.999999999526976
1,0.01,0.1,9.999999996722748
2,0.01,0.2,9.999999996984597
3,0.01,0.3,9.999999945356159
4,0.01,0.4,9.999999878777919
5,0.01,0.5,9.999998968521012
6,0.01,0.6,9.99999807577036
7,0.01,0.7,9.999986557078387
8,0.01,0.8,9.99986454498696
9,0.01,0.9,9.996263926542152
10,0.01,0.99,1.5725024413031337
11,0.1,0.01,9.999999974954587
12,0.1,0.1,9.999999910675403
13,0.1,0.2,9.999999472509636
14,0.1,0.3,9.999996540905435
15,0.1,0.4,9.999982046643469
16,0.1,0.5,9.999941866425514
17,0.1,0.6,9.999551651839147
18,0.1,0.7,9.99397252832029
19,0.1,0.8,9.851553599115023
20,0.1,0.9,-1.664108411862881
21,0.1,0.99,-9.70342319254606
22,0.2,0.01,9.999999943196073
23,0.2,0.1,9.999999618020215
24,0.2,0.2,9.999996991518568
25,0.2,0.3,9.999974325057773
26,0.2,0.4,9.999826044709803
27,0.2,0.5,9.998927420167421
28,0.2,0.6,9.981384555463986
29,0.2,0.7,9.442061104018308
30,0.2,0.8,-1.600424554496448
31,0.2,0.9,-9.35611865354243
32,0.2,0.99,-9.880435664537002
33,0.3,0.01,9.999999811088209
34,0.3,0.1,9.999998408278007
35,0.3,0.2,9.999981790659923
36,0.3,0.3,9.999841578142593
37,0.3,0.4,9.998383879838324
38,0.3,0.5,9.971809908058415
39,0.3,0.6,9.074762817334667
40,0.3,0.7,-1.294043108055756
41,0.3,0.8,-9.041106732764804
42,0.3,0.9,-9.812952009118037
43,0.3,0.99,-9.923926336769606
44,0.4,0.01,9.999999593962233
45,0.4,0.1,9.999995171370488
46,0.4,0.2,9.999921272486242
47,0.4,0.3,9.999140838806046
48,0.4,0.4,9.97688022409331
49,0.4,0.5,9.120640317962645
50,0.4,0.6,-1.3875037470049534
51,0.4,0.7,-8.92866451915763
52,0.4,0.8,-9.757878164799145
53,0.4,0.9,-9.901247065137817
54,0.4,0.99,-9.936095207862563
55,0.5,0.01,9.99999908936015
56,0.5,0.1,9.999976189332667
57,0.5,0.2,9.999399999760282
58,0.5,0.3,9.984222146085994
59,0.5,0.4,9.196882496079445
60,0.5,0.5,-1.5129223026530152
61,0.5,0.6,-8.600665786706562
62,0.5,0.7,-9.683827886939063
63,0.5,0.8,-9.87491576762848
64,0.5,0.9,-9.92332074073658
65,0.5,0.99,-9.943825947854133
66,0.6,0.01,9.999997899870836
67,0.6,0.1,9.999900634070668
68,0.6,0.2,9.991885857878664
69,0.6,0.3,9.515888057423787
70,0.6,0.4,-0.775973543413353
71,0.6,0.5,-8.691175560749588
72,0.6,0.6,-9.651522763373555
73,0.6,0.7,-9.853873738728415
74,0.6,0.8,-9.90810572522982
75,0.6,0.9,-9.927460291208297
76,0.6,0.99,-9.943912260674088
77,0.7,0.01,9.999993170434156
78,0.7,0.1,9.998622013947564
79,0.7,0.2,9.70455657961294
80,0.7,0.3,-0.4048055971449574
81,0.7,0.4,-8.489551470257599
82,0.7,0.5,-9.61965411413485
83,0.7,0.6,-9.815826049961341
84,0.7,0.7,-9.88297957353144
85,0.7,0.8,-9.910970336972287
86,0.7,0.9,-9.92639158187002
87,0.7,0.99,-9.93543575616047
88,0.8,0.01,9.999968943938516
89,0.8,0.1,9.948804229815908
90,0.8,0.2,-0.01923222104387699
91,0.8,0.3,-8.50878582815653
92,0.8,0.4,-9.53131056824956
93,0.8,0.5,-9.766491541751847
94,0.8,0.6,-9.837091893773113
95,0.8,0.7,-9.871917086612124
96,0.8,0.8,-9.889767618833519
97,0.8,0.9,-9.903156058270717
98,0.8,0.99,-9.906532965753215
99,0.9,0.01,9.99964746050076
100,0.9,0.1,1.7260788499249484
101,0.9,0.2,-8.527892822255653
102,0.9,0.3,-9.46058191774857
103,0.9,0.4,-9.61685222995335
104,0.9,0.5,-9.709482360871501
105,0.9,0.6,-9.748377411146615
106,0.9,0.7,-9.768914053402767
107,0.9,0.8,-9.7875725116098
108,0.9,0.9,-9.803091057220895
109,0.9,0.99,-9.814115623815415
110,0.99,0.01,9.101642333208773
111,0.99,0.1,-3.061408595224461
112,0.99,0.2,-5.706372110447005
113,0.99,0.3,-6.021667935206941
114,0.99,0.4,-6.41064417115739
115,0.99,0.5,-6.8339789948017575
116,0.99,0.6,-6.756951087031894
117,0.99,0.7,-6.806519249393951
118,0.99,0.8,-6.959664846413027
119,0.99,0.9,-6.6956264844801705
120,0.99,0.99,-6.737476634063872
