,P,cost,value
0,0.01,0.01,2.1416471609141017e-08
1,0.01,0.1,9.781247340937813e-09
2,0.01,0.2,4.4894897981104475e-08
3,0.01,0.3,2.63367043708822e-07
4,0.01,0.4,6.901240654005803e-08
5,0.01,0.5,1.58655380915029e-07
6,0.01,0.6,1.3509918123249644e-06
7,0.01,0.7,7.75638598330692e-06
8,0.01,0.8,2.4663736958285135e-05
9,0.01,0.9,0.0014028690363198006
10,0.01,0.99,0.8155805093144997
11,0.1,0.01,3.424082531350902e-06
12,0.1,0.1,5.532008410573581e-06
13,0.1,0.2,4.7765169363939105e-06
14,0.1,0.3,2.2491253827874973e-06
15,0.1,0.4,4.276957188797553e-06
16,0.1,0.5,1.6804899597706376e-05
17,0.1,0.6,0.00016460638206314103
18,0.1,0.7,0.003405526270835486
19,0.1,0.8,0.0668692179058879
20,0.1,0.9,1.934297364809506
21,0.1,0.99,1.6632963165468937
22,0.2,0.01,0.0001345576333383718
23,0.2,0.1,0.00012468287250250545
24,0.2,0.2,3.5873474192915606e-05
25,0.2,0.3,2.3379865467980347e-05
26,0.2,0.4,3.979043623654149e-05
27,0.2,0.5,0.00011630359382912464
28,0.2,0.6,0.005290357827267585
29,0.2,0.7,0.10855423302214098
30,0.2,0.8,2.100583053574792
31,0.2,0.9,2.337885330564462
32,0.2,0.99,1.2602985296510871
33,0.3,0.01,0.0017531518689470826
34,0.3,0.1,0.0007966859528700754
35,0.3,0.2,0.0003954407977493058
36,0.3,0.3,0.0002968490666866304
37,0.3,0.4,0.0006919515603979768
38,0.3,0.5,0.0020701847183405204
39,0.3,0.6,0.1489914913136541
40,0.3,0.7,1.8624566733783001
41,0.3,0.8,2.2329469522987186
42,0.3,0.9,1.7355747224426286
43,0.3,0.99,1.2439676678502325
44,0.4,0.01,0.02780721271295717
45,0.4,0.1,0.007105687490913842
46,0.4,0.2,0.005798920278359047
47,0.4,0.3,0.0049513751372326845
48,0.4,0.4,0.013390809179179092
49,0.4,0.5,0.041994987472864745
50,0.4,0.6,0.8882820571711043
51,0.4,0.7,1.656974290672454
52,0.4,0.8,1.0600209222993855
53,0.4,0.9,0.8799107123200094
54,0.4,0.99,0.9204572965326714
55,0.5,0.01,0.20012532003742411
56,0.5,0.1,0.09048247618811756
57,0.5,0.2,0.11622921745830309
58,0.5,0.3,0.10052153807122371
59,0.5,0.4,0.37224361231756736
60,0.5,0.5,0.2689826589640697
61,0.5,0.6,0.25002000865786433
62,0.5,0.7,0.15013658879651734
63,0.5,0.8,0.14051705669526832
64,0.5,0.9,0.11082798497662885
65,0.5,0.99,0.24563236545802347
66,0.6,0.01,1.2058826997936398
67,0.6,0.1,0.7833683627323766
68,0.6,0.2,1.0604197049446111
69,0.6,0.3,1.4390577992267652
70,0.6,0.4,1.292008611328356
71,0.6,0.5,0.14732921598917728
72,0.6,0.6,0.012102825046894266
73,0.6,0.7,0.0069659086199281555
74,0.6,0.8,0.007868603236323619
75,0.6,0.9,0.013545342974355208
76,0.6,0.99,0.03145831544336541
77,0.7,0.01,1.1997595542421438
78,0.7,0.1,1.5244811853801854
79,0.7,0.2,2.0732166852716785
80,0.7,0.3,1.8197907150793626
81,0.7,0.4,0.12220903926340893
82,0.7,0.5,0.006938374688165496
83,0.7,0.6,0.0010659116129978822
84,0.7,0.7,0.0012358429398384807
85,0.7,0.8,0.0008994691655600252
86,0.7,0.9,0.0008523665184891555
87,0.7,0.99,0.002240472445420374
88,0.8,0.01,1.2658245922285616
89,0.8,0.1,2.3282533810137664
90,0.8,0.2,1.6427461753390986
91,0.8,0.3,0.14100112089801484
92,0.8,0.4,0.004331673793137777
93,0.8,0.5,0.0008845248150891362
94,0.8,0.6,0.00035588156559528063
95,0.8,0.7,0.00035347445496073336
96,0.8,0.8,0.00014755431940817067
97,0.8,0.9,0.00012376166585956975
98,0.8,0.99,0.00028750841023852106
99,0.9,0.01,1.486103771330207
100,0.9,0.1,1.5509111549099681
101,0.9,0.2,0.06674315046611691
102,0.9,0.3,0.0025727328267756765
103,0.9,0.4,0.0004847827089456007
104,0.9,0.5,0.00016127772530272807
105,0.9,0.6,0.00013433130580198176
106,0.9,0.7,5.9996170368159114e-05
107,0.9,0.8,4.639536896882591e-05
108,0.9,0.9,2.7125009363325655e-05
109,0.9,0.99,7.486877704832357e-05
110,0.99,0.01,0.5051736898942535
111,0.99,0.1,0.01481273190612608
112,0.99,0.2,0.00036088408413905863
113,0.99,0.3,0.0002540394481799624
114,0.99,0.4,9.25968377305848e-05
115,0.99,0.5,5.383237852747212e-05
116,0.99,0.6,3.7975674117890715e-05
117,0.99,0.7,2.91296148762793e-05
118,0.99,0.8,1.90027665124202e-05
119,0.99,0.9,8.214015833086096e-06
120,0.99,0.99,8.997206889303597e-06
