,P,cost,value
0,0.01,0.01,0.9386355012497825
1,0.01,0.1,1.0105185362317295
2,0.01,0.2,0.9645740587802227
3,0.01,0.3,0.9654559066425941
4,0.01,0.4,1.0046392307115348
5,0.01,0.5,1.2618629832380226
6,0.01,0.6,1.4240079896500637
7,0.01,0.7,1.840837819531901
8,0.01,0.8,2.1849780653117037
9,0.01,0.9,2.708326200425544
10,0.01,0.99,1.6154986048750888
11,0.1,0.01,0.04967874326069621
12,0.1,0.1,0.057949215728531935
13,0.1,0.2,0.05765940228149993
14,0.1,0.3,0.0699432903354586
15,0.1,0.4,0.15117384704706857
16,0.1,0.5,0.09606482809565677
17,0.1,0.6,0.13751311352124376
18,0.1,0.7,0.3394564551396246
19,0.1,0.8,0.7429406026831495
20,0.1,0.9,2.781628293882623
21,0.1,0.99,0.04847186349852502
22,0.2,0.01,0.03352307339325368
23,0.2,0.1,0.0375032564627053
24,0.2,0.2,0.042324786015732786
25,0.2,0.3,0.05185323680289042
26,0.2,0.4,0.12114307960065232
27,0.2,0.5,0.10935207864065724
28,0.2,0.6,0.2711010038316821
29,0.2,0.7,0.9433208693194888
30,0.2,0.8,2.841497832106562
31,0.2,0.9,0.08061444995154182
32,0.2,0.99,0.18648833501308779
33,0.3,0.01,0.04806839800631664
34,0.3,0.1,0.04566548846470051
35,0.3,0.2,0.05610590764656312
36,0.3,0.3,0.05643941547439531
37,0.3,0.4,0.0885221621178653
38,0.3,0.5,0.4127743497518361
39,0.3,0.6,1.1162509349858363
40,0.3,0.7,2.965085395728566
41,0.3,0.8,0.16457494846165582
42,0.3,0.9,0.17580079246779054
43,0.3,0.99,0.35458444953512347
44,0.4,0.01,0.037594983347320664
45,0.4,0.1,0.07924676258446124
46,0.4,0.2,0.04993729521499311
47,0.4,0.3,0.10315281246541183
48,0.4,0.4,0.2631154147156026
49,0.4,0.5,0.7544829413508534
50,0.4,0.6,2.3639848750043786
51,0.4,0.7,0.3452281874692526
52,0.4,0.8,0.1775697198416051
53,0.4,0.9,0.3237552638516234
54,0.4,0.99,0.506934325532178
55,0.5,0.01,0.05841463241215673
56,0.5,0.1,0.0721334627344476
57,0.5,0.2,0.08871949201030627
58,0.5,0.3,0.21117348896902088
59,0.5,0.4,1.0356544172333875
60,0.5,0.5,2.465964328677396
61,0.5,0.6,0.3884234839127032
62,0.5,0.7,0.14298740017571837
63,0.5,0.8,0.2912283652770454
64,0.5,0.9,0.41587848508836667
65,0.5,0.99,0.41796938988656773
66,0.6,0.01,0.0577747260745535
67,0.6,0.1,0.07282642697073474
68,0.6,0.2,0.18359099371517532
69,0.6,0.3,0.7240434569364386
70,0.6,0.4,2.7653473266698865
71,0.6,0.5,0.2717809852323991
72,0.6,0.6,0.14975848907314895
73,0.6,0.7,0.21677109271115425
74,0.6,0.8,0.31142160812730785
75,0.6,0.9,0.3600835300906803
76,0.6,0.99,0.3484416647660296
77,0.7,0.01,0.0652703117062774
78,0.7,0.1,0.1681619688283191
79,0.7,0.2,0.7041885295092785
80,0.7,0.3,2.2869101763059354
81,0.7,0.4,0.25330367134084014
82,0.7,0.5,0.12208263295329783
83,0.7,0.6,0.19776774927211133
84,0.7,0.7,0.2002878528262558
85,0.7,0.8,0.23538202952281756
86,0.7,0.9,0.26877705565247995
87,0.7,0.99,0.2359269057191965
88,0.8,0.01,0.08067037312955798
89,0.8,0.1,0.4152000057971317
90,0.8,0.2,1.7731454612456181
91,0.8,0.3,0.2622974437532738
92,0.8,0.4,0.04004286654633587
93,0.8,0.5,0.10748641797277364
94,0.8,0.6,0.10055086105318904
95,0.8,0.7,0.08901755284667683
96,0.8,0.8,0.10378135169465963
97,0.8,0.9,0.11260462379005028
98,0.8,0.99,0.1109619021259048
99,0.9,0.01,0.23780512723807412
100,0.9,0.1,1.6647808202044148
101,0.9,0.2,0.10884423308658518
102,0.9,0.3,0.013989107967499637
103,0.9,0.4,0.019371008781051087
104,0.9,0.5,0.03092795884052035
105,0.9,0.6,0.02653287554057384
106,0.9,0.7,0.019304203844767998
107,0.9,0.8,0.024808339364196574
108,0.9,0.9,0.02211494287309599
109,0.9,0.99,0.024606843148647792
110,0.99,0.01,1.7873962504832512
111,0.99,0.1,0.01657971432978179
112,0.99,0.2,0.0019461954428232537
113,0.99,0.3,0.002888799271803608
114,0.99,0.4,0.002751623408770219
115,0.99,0.5,0.002145823110038487
116,0.99,0.6,0.0022895742153120173
117,0.99,0.7,0.002021899633309605
118,0.99,0.8,0.0018160986779014484
119,0.99,0.9,0.001671943753603672
120,0.99,0.99,0.0021356407219027063
