,P,cost,value
0,0.01,0.01,3.187508999897632e-07
1,0.01,0.1,1.9237590832437763e-07
2,0.01,0.2,2.4225730842182614e-07
3,0.01,0.3,3.305349596942202e-07
4,0.01,0.4,3.953019642187383e-07
5,0.01,0.5,1.5821047489547486e-06
6,0.01,0.6,1.3205164322137557e-06
7,0.01,0.7,2.1918344353887252e-05
8,0.01,0.8,9.93707667723332e-05
9,0.01,0.9,0.0033141048849172953
10,0.01,0.99,3.397784453462032
11,0.1,0.01,1.6042675511992602e-05
12,0.1,0.1,1.2222429676015292e-05
13,0.1,0.2,1.5375682565652478e-05
14,0.1,0.3,8.937575310137607e-06
15,0.1,0.4,9.780544385581679e-06
16,0.1,0.5,3.9742270091670465e-05
17,0.1,0.6,0.00022328112515916556
18,0.1,0.7,0.002423240392921149
19,0.1,0.8,0.1332453924784824
20,0.1,0.9,3.096727462964392
21,0.1,0.99,0.17580637583043388
22,0.2,0.01,0.00019466748902841773
23,0.2,0.1,0.0001449189049543093
24,0.2,0.2,0.00013778398891453234
25,0.2,0.3,0.0001439728365764563
26,0.2,0.4,0.00024096027196321619
27,0.2,0.5,0.0005166439930280039
28,0.2,0.6,0.020125459417631122
29,0.2,0.7,0.4238479636702528
30,0.2,0.8,2.765643684728576
31,0.2,0.9,0.3083623153109127
32,0.2,0.99,0.10254106610929992
33,0.3,0.01,0.001559273461941343
34,0.3,0.1,0.001689340986377573
35,0.3,0.2,0.0014155281559930669
36,0.3,0.3,0.0014579216395217373
37,0.3,0.4,0.0029487425220417304
38,0.3,0.5,0.020707499388935537
39,0.3,0.6,0.5418946276616541
40,0.3,0.7,2.692720598676085
41,0.3,0.8,0.49173416129034203
42,0.3,0.9,0.2749307448831502
43,0.3,0.99,0.24531353919744547
44,0.4,0.01,0.014224574569353811
45,0.4,0.1,0.015636945008322214
46,0.4,0.2,0.014546973259237086
47,0.4,0.3,0.017250760914702415
48,0.4,0.4,0.03256160782606155
49,0.4,0.5,0.559755343569777
50,0.4,0.6,2.6903402878381866
51,0.4,0.7,1.0316035820705571
52,0.4,0.8,0.5837091015967264
53,0.4,0.9,0.4033738977069623
54,0.4,0.99,0.39536144804284745
55,0.5,0.01,0.7322636258774712
56,0.5,0.1,0.7618108367512058
57,0.5,0.2,0.7616672440794687
58,0.5,0.3,0.9697169433339309
59,0.5,0.4,1.5623868440970994
60,0.5,0.5,1.6180936160648622
61,0.5,0.6,1.4271465635762837
62,0.5,0.7,0.9911424115554448
63,0.5,0.8,0.8241538527090293
64,0.5,0.9,0.7129709468829181
65,0.5,0.99,0.7762220531402181
66,0.6,0.01,0.38408748216475447
67,0.6,0.1,0.3870064749882062
68,0.6,0.2,0.5645852553389439
69,0.6,0.3,0.9954562403975855
70,0.6,0.4,2.584049995953874
71,0.6,0.5,0.5722724845147663
72,0.6,0.6,0.05103216148442134
73,0.6,0.7,0.020806896867995958
74,0.6,0.8,0.016155173502678425
75,0.6,0.9,0.01658444940276882
76,0.6,0.99,0.016331232763230785
77,0.7,0.01,0.19567525686221887
78,0.7,0.1,0.24496670801168738
79,0.7,0.2,0.45330364376754945
80,0.7,0.3,2.1827351835693234
81,0.7,0.4,0.44902818528855803
82,0.7,0.5,0.04100785061709453
83,0.7,0.6,0.005161815741664791
84,0.7,0.7,0.0020439873988559874
85,0.7,0.8,0.0016535495196154677
86,0.7,0.9,0.0015948799725117153
87,0.7,0.99,0.0017672432846438076
88,0.8,0.01,0.1080273913867078
89,0.8,0.1,0.25924073789485513
90,0.8,0.2,1.981742699505791
91,0.8,0.3,0.32383385062827985
92,0.8,0.4,0.028542078616542007
93,0.8,0.5,0.0017744647868940503
94,0.8,0.6,0.0005291545732792567
95,0.8,0.7,0.0003556865241038211
96,0.8,0.8,0.00027567871384300273
97,0.8,0.9,0.0002536867694114422
98,0.8,0.99,0.00027813378101028733
99,0.9,0.01,0.12402331387993479
100,0.9,0.1,1.6944709512630003
101,0.9,0.2,0.15155757508620882
102,0.9,0.3,0.010490458610021645
103,0.9,0.4,0.001149967883732748
104,0.9,0.5,0.000283855511808269
105,0.9,0.6,0.00010775170990300295
106,0.9,0.7,9.892443176757871e-05
107,0.9,0.8,4.725330732864825e-05
108,0.9,0.9,5.136412590368571e-05
109,0.9,0.99,3.885161210641446e-05
110,0.99,0.01,1.4215086426617503
111,0.99,0.1,0.015489285270319958
112,0.99,0.2,0.0005063088649899471
113,0.99,0.3,0.0001728903567740862
114,0.99,0.4,0.00014140960168377076
115,0.99,0.5,6.227261880114619e-05
116,0.99,0.6,4.923008617695946e-05
117,0.99,0.7,3.269534186252845e-05
118,0.99,0.8,1.609894522632975e-05
119,0.99,0.9,1.1917496652583319e-05
120,0.99,0.99,9.109059997160977e-06
