,P,cost,value
0,0.01,0.01,1.5604907173561567e-08
1,0.01,0.1,9.508493579935391e-09
2,0.01,0.2,8.821716573319558e-09
3,0.01,0.3,5.8150413347645275e-08
4,0.01,0.4,1.4621777243421406e-07
5,0.01,0.5,4.6348144839452924e-07
6,0.01,0.6,2.3245592727525924e-05
7,0.01,0.7,7.670240065147432e-05
8,0.01,0.8,9.97738407774166e-05
9,0.01,0.9,0.000464492878952798
10,0.01,0.99,0.31590883972254935
11,0.1,0.01,1.4927905083442046e-07
12,0.1,0.1,1.0400376598636806e-07
13,0.1,0.2,3.8116369333158043e-07
14,0.1,0.3,2.301297445746967e-06
15,0.1,0.4,6.083839382323008e-06
16,0.1,0.5,2.0027675880509532e-05
17,0.1,0.6,8.323741937166999e-05
18,0.1,0.7,0.0008802201531616256
19,0.1,0.8,0.008450463105525734
20,0.1,0.9,0.32308831615453293
21,0.1,0.99,0.001118663881303101
22,0.2,0.01,1.8790572135306192e-07
23,0.2,0.1,3.5195811969379483e-07
24,0.2,0.2,1.0154883530773894e-06
25,0.2,0.3,1.4333443902060932e-05
26,0.2,0.4,2.4624071974249718e-05
27,0.2,0.5,0.00024268611503823248
28,0.2,0.6,0.001454017310165404
29,0.2,0.7,0.05237251750506968
30,0.2,0.8,0.8357762946104101
31,0.2,0.9,0.03907070287550887
32,0.2,0.99,0.00028928167041883856
33,0.3,0.01,4.210089718812963e-07
34,0.3,0.1,9.119588385661266e-07
35,0.3,0.2,1.0233995480271991e-05
36,0.3,0.3,5.9589263701641e-05
37,0.3,0.4,0.0007698206062354638
38,0.3,0.5,0.0033760758089318296
39,0.3,0.6,0.1472964510417495
40,0.3,0.7,1.2155428374562358
41,0.3,0.8,0.23925640522010871
42,0.3,0.9,0.0018098530601169918
43,0.3,0.99,0.0001372640343870156
44,0.4,0.01,1.401684650839506e-06
45,0.4,0.1,2.546754422538599e-06
46,0.4,0.2,3.322918626881966e-05
47,0.4,0.3,0.0002865631623918159
48,0.4,0.4,0.0050336802211646105
49,0.4,0.5,0.1443829854177933
50,0.4,0.6,1.8721591462881193
51,0.4,0.7,1.1055674729074378
52,0.4,0.8,0.026952817107400197
53,0.4,0.9,0.0003232482561592085
54,0.4,0.99,9.26798453341055e-05
55,0.5,0.01,2.4880991371701737e-06
56,0.5,0.1,1.6465006810000815e-05
57,0.5,0.2,0.0001485791881560995
58,0.5,0.3,0.004205989411863874
59,0.5,0.4,0.254327510835892
60,0.5,0.5,2.174385383618122
61,0.5,0.6,1.9463195648318907
62,0.5,0.7,0.17151423524770307
63,0.5,0.8,0.001496728020833185
64,0.5,0.9,0.0001616989074423853
65,0.5,0.99,5.454623785579823e-05
66,0.6,0.01,5.012608057923623e-06
67,0.6,0.1,9.583208354102261e-05
68,0.6,0.2,0.0022741545173860446
69,0.6,0.3,0.12836531603763937
70,0.6,0.4,2.388059879149809
71,0.6,0.5,2.091173855300003
72,0.6,0.6,0.6576734002279143
73,0.6,0.7,0.01765748197417045
74,0.6,0.8,0.00037069669113570173
75,0.6,0.9,5.8878617369019636e-05
76,0.6,0.99,4.8017637222376724e-05
77,0.7,0.01,9.925077931979679e-06
78,0.7,0.1,0.00037481859893830137
79,0.7,0.2,0.08844693766081219
80,0.7,0.3,1.9586140801723804
81,0.7,0.4,1.9034195033801797
82,0.7,0.5,0.8684263792256175
83,0.7,0.6,0.07958694771697132
84,0.7,0.7,0.0025283650705338607
85,0.7,0.8,0.00011492097512661362
86,0.7,0.9,5.215300513113668e-05
87,0.7,0.99,3.0537622512527314e-05
88,0.8,0.01,5.954256026926087e-05
89,0.8,0.1,0.0114469270767435
90,0.8,0.2,1.8755039170200742
91,0.8,0.3,2.2917939378398566
92,0.8,0.4,0.6209081675321072
93,0.8,0.5,0.10950717224373194
94,0.8,0.6,0.00860459513414203
95,0.8,0.7,0.0003670857926428552
96,0.8,0.8,5.939486058807883e-05
97,0.8,0.9,3.271053328903855e-05
98,0.8,0.99,1.5761851858823532e-05
99,0.9,0.01,0.0006710936882096898
100,0.9,0.1,1.40362084175324
101,0.9,0.2,1.810978131232914
102,0.9,0.3,0.5184108840163516
103,0.9,0.4,0.02557527540107093
104,0.9,0.5,0.006247494450525261
105,0.9,0.6,0.0008625000551109262
106,0.9,0.7,0.00014703273834742022
107,0.9,0.8,2.6163389017548565e-05
108,0.9,0.9,1.648564246550868e-05
109,0.9,0.99,1.1931677195782974e-05
110,0.99,0.01,0.013320812011595216
111,0.99,0.1,0.33479171066208463
112,0.99,0.2,0.07713607605604003
113,0.99,0.3,0.01012270500952379
114,0.99,0.4,0.000810105261998929
115,0.99,0.5,0.0003638810970701725
116,0.99,0.6,8.965407527053332e-05
117,0.99,0.7,3.759170148587122e-05
118,0.99,0.8,1.550869884390048e-05
119,0.99,0.9,1.046094003880294e-05
120,0.99,0.99,6.176185891864902e-06
