,P,cost,value
0,0.01,0.01,0.6988382503555296
1,0.01,0.1,0.7369513069310805
2,0.01,0.2,0.7146494213906542
3,0.01,0.3,0.6964171402061253
4,0.01,0.4,0.7024836434074366
5,0.01,0.5,0.8625788631538316
6,0.01,0.6,0.9506762826300451
7,0.01,0.7,1.174124254267825
8,0.01,0.8,1.3720588861670857
9,0.01,0.9,1.772515572726415
10,0.01,0.99,1.6246991478375483
11,0.1,0.01,0.24348094052782845
12,0.1,0.1,0.3718470435463123
13,0.1,0.2,0.2898241174170948
14,0.1,0.3,0.3764270097890946
15,0.1,0.4,0.5961315152406235
16,0.1,0.5,0.5071548940037249
17,0.1,0.6,0.6387465238668779
18,0.1,0.7,1.0247460435561824
19,0.1,0.8,1.530718507281377
20,0.1,0.9,2.6140910636236065
21,0.1,0.99,0.03416503349668869
22,0.2,0.01,0.10172689611967325
23,0.2,0.1,0.09255999816523924
24,0.2,0.2,0.12262164925571974
25,0.2,0.3,0.16383656864922275
26,0.2,0.4,0.31193342860730966
27,0.2,0.5,0.3827592122564791
28,0.2,0.6,0.6615513850096612
29,0.2,0.7,1.2711907907262745
30,0.2,0.8,2.692728411051138
31,0.2,0.9,0.05938127397827611
32,0.2,0.99,0.0027003738668614934
33,0.3,0.01,0.05458668219285163
34,0.3,0.1,0.08280354538265808
35,0.3,0.2,0.08355985054303741
36,0.3,0.3,0.11397595848266455
37,0.3,0.4,0.19954759215136308
38,0.3,0.5,0.593072271779346
39,0.3,0.6,1.1870818982453557
40,0.3,0.7,2.784150299875944
41,0.3,0.8,0.27445818223743634
42,0.3,0.9,0.004997812895889858
43,0.3,0.99,0.00044401399124882363
44,0.4,0.01,0.03553840420664011
45,0.4,0.1,0.0612429914197271
46,0.4,0.2,0.06978323161474062
47,0.4,0.3,0.15818354447345667
48,0.4,0.4,0.34022239367339513
49,0.4,0.5,0.6819696646668238
50,0.4,0.6,2.2321250882988926
51,0.4,0.7,0.501871339429953
52,0.4,0.8,0.008478877824062793
53,0.4,0.9,0.000468203287536471
54,0.4,0.99,0.0001660467211198429
55,0.5,0.01,0.037081544789089295
56,0.5,0.1,0.07726543155977672
57,0.5,0.2,0.12582491168802176
58,0.5,0.3,0.2495166890861426
59,0.5,0.4,0.8778674970198103
60,0.5,0.5,2.399848032056959
61,0.5,0.6,0.6852374672555772
62,0.5,0.7,0.02153731558296962
63,0.5,0.8,0.0013850786659748739
64,0.5,0.9,0.00018889830110275875
65,0.5,0.99,7.207161934321007e-05
66,0.6,0.01,0.022677485691047754
67,0.6,0.1,0.05083435247388189
68,0.6,0.2,0.1690747439149523
69,0.6,0.3,0.5840378721667654
70,0.6,0.4,2.608696584038794
71,0.6,0.5,0.6260828855922205
72,0.6,0.6,0.04522540230619113
73,0.6,0.7,0.0016357669405302829
74,0.6,0.8,0.0005818390549894893
75,0.6,0.9,6.12490122181974e-05
76,0.6,0.99,5.3944986258373666e-05
77,0.7,0.01,0.03819345044854615
78,0.7,0.1,0.1428356439580075
79,0.7,0.2,0.5460725467022409
80,0.7,0.3,2.1578932680801675
81,0.7,0.4,0.5380052708271612
82,0.7,0.5,0.04100818811092238
83,0.7,0.6,0.0028165179397181567
84,0.7,0.7,0.0008121262584348867
85,0.7,0.8,0.00011151121847239169
86,0.7,0.9,5.603758045113116e-05
87,0.7,0.99,3.4499900756298464e-05
88,0.8,0.01,0.043394095405713984
89,0.8,0.1,0.313347582277227
90,0.8,0.2,1.6878130905596376
91,0.8,0.3,0.47157254240131474
92,0.8,0.4,0.028751800310399055
93,0.8,0.5,0.0019567480937513018
94,0.8,0.6,0.001538935137698704
95,0.8,0.7,0.0001371668167902795
96,0.8,0.8,5.224439423748629e-05
97,0.8,0.9,3.36690249175998e-05
98,0.8,0.99,1.6805504611588042e-05
99,0.9,0.01,0.13846650536193103
100,0.9,0.1,1.6246059062980982
101,0.9,0.2,0.22325316517447583
102,0.9,0.3,0.007644405162935061
103,0.9,0.4,0.0015594155672123868
104,0.9,0.5,0.0004872290303602779
105,0.9,0.6,0.00022196880040118415
106,0.9,0.7,8.090084644050505e-05
107,0.9,0.8,2.657444051793186e-05
108,0.9,0.9,1.6744556786606818e-05
109,0.9,0.99,1.2375163679792821e-05
110,0.99,0.01,1.4148681366364644
111,0.99,0.1,0.030461523321114667
112,0.99,0.2,0.0009724941956650766
113,0.99,0.3,0.00022628734400741862
114,0.99,0.4,9.026865550018641e-05
115,0.99,0.5,8.371767462042601e-05
116,0.99,0.6,3.9706343029911255e-05
117,0.99,0.7,2.448058775065927e-05
118,0.99,0.8,1.5550747477099238e-05
119,0.99,0.9,1.044018733885761e-05
120,0.99,0.99,6.196741081849829e-06
