,P,cost,value
0,0.01,0.01,2.095359379778591e-08
1,0.01,0.1,1.7113443285122534e-08
2,0.01,0.2,1.2392914091268483e-08
3,0.01,0.3,2.538415371472928e-07
4,0.01,0.4,3.379318496187403e-07
5,0.01,0.5,1.6317479951815167e-06
6,0.01,0.6,2.000564983949245e-06
7,0.01,0.7,1.977418494407822e-05
8,0.01,0.8,4.805379961219967e-05
9,0.01,0.9,0.0007452012892529
10,0.01,0.99,0.2179403172399233
11,0.1,0.01,1.4989633719844466e-07
12,0.1,0.1,6.843648566635717e-08
13,0.1,0.2,5.358139874094435e-07
14,0.1,0.3,2.098792611959331e-06
15,0.1,0.4,6.278060081060456e-06
16,0.1,0.5,4.225720371358136e-05
17,0.1,0.6,0.0002060143545930119
18,0.1,0.7,0.001049253997074666
19,0.1,0.8,0.040928737159416
20,0.1,0.9,1.5085538235721119
21,0.1,0.99,0.0005797697042656025
22,0.2,0.01,7.676400761743691e-07
23,0.2,0.1,3.7205975267310395e-07
24,0.2,0.2,3.213432548825682e-06
25,0.2,0.3,1.070826380936614e-05
26,0.2,0.4,0.00010701476986264652
27,0.2,0.5,0.00019437000642190698
28,0.2,0.6,0.012775584396072154
29,0.2,0.7,0.24058089113221967
30,0.2,0.8,2.2920950300414873
31,0.2,0.9,0.09320579544345975
32,0.2,0.99,0.00033579576098910924
33,0.3,0.01,6.053434749348501e-07
34,0.3,0.1,1.7460572725429103e-06
35,0.3,0.2,7.529408776784005e-06
36,0.3,0.3,2.8720234448822257e-05
37,0.3,0.4,0.0007017486162028026
38,0.3,0.5,0.006704095142844017
39,0.3,0.6,0.3213628254268411
40,0.3,0.7,2.3844251877245553
41,0.3,0.8,0.8660900317588645
42,0.3,0.9,0.0016112840311299022
43,0.3,0.99,0.00020247505917060318
44,0.4,0.01,1.1852300625064326e-06
45,0.4,0.1,2.5126781879170083e-06
46,0.4,0.2,0.00015730699055582583
47,0.4,0.3,0.0006039900697230968
48,0.4,0.4,0.005535461971490031
49,0.4,0.5,0.23292106376255317
50,0.4,0.6,2.463102598493575
51,0.4,0.7,1.946195790339738
52,0.4,0.8,0.029451698995065445
53,0.4,0.9,0.00036265632853698266
54,0.4,0.99,8.453056341274833e-05
55,0.5,0.01,2.1457351074597187e-06
56,0.5,0.1,2.0937363551955684e-05
57,0.5,0.2,0.0002666873349598478
58,0.5,0.3,0.007542698244603967
59,0.5,0.4,0.21398804588352038
60,0.5,0.5,2.3147174152832193
61,0.5,0.6,2.0559451720412882
62,0.5,0.7,0.26341848176404264
63,0.5,0.8,0.0031165837325631347
64,0.5,0.9,0.00014001896115760435
65,0.5,0.99,6.292926648813936e-05
66,0.6,0.01,5.821699663717009e-06
67,0.6,0.1,4.160005015981811e-05
68,0.6,0.2,0.0017067727295950468
69,0.6,0.3,0.1618726600140939
70,0.6,0.4,1.9247904303540289
71,0.6,0.5,1.3447873357321392
72,0.6,0.6,0.20064420697353755
73,0.6,0.7,0.006228424332738657
74,0.6,0.8,0.0002137597997103544
75,0.6,0.9,6.090810727862024e-05
76,0.6,0.99,3.901031474513237e-05
77,0.7,0.01,1.563434678319286e-05
78,0.7,0.1,0.0007168470198591825
79,0.7,0.2,0.049145325904410626
80,0.7,0.3,1.369210918772663
81,0.7,0.4,0.8020403091046777
82,0.7,0.5,0.0862538711919873
83,0.7,0.6,0.004692384727873399
84,0.7,0.7,0.00038888793638159393
85,0.7,0.8,9.956956588439621e-05
86,0.7,0.9,4.99846009799451e-05
87,0.7,0.99,2.1100474659433162e-05
88,0.8,0.01,5.841606266151227e-05
89,0.8,0.1,0.00567959082599339
90,0.8,0.2,0.7519940263874589
91,0.8,0.3,0.3325539579876914
92,0.8,0.4,0.0171208313165557
93,0.8,0.5,0.0013868780562347912
94,0.8,0.6,0.0006788896918364406
95,0.8,0.7,0.0001919831130775134
96,0.8,0.8,6.147178741868015e-05
97,0.8,0.9,2.5000425072187885e-05
98,0.8,0.99,2.113185274118986e-05
99,0.9,0.01,0.0010226925654425172
100,0.9,0.1,0.1038890181529719
101,0.9,0.2,0.04447642126339881
102,0.9,0.3,0.003121867386005191
103,0.9,0.4,0.0006489530421302262
104,0.9,0.5,0.0002397860022240291
105,0.9,0.6,0.0001222799279957852
106,0.9,0.7,7.29014762153375e-05
107,0.9,0.8,2.90367325095453e-05
108,0.9,0.9,2.1645497253931956e-05
109,0.9,0.99,9.528234636873473e-06
110,0.99,0.01,0.6137702395433896
111,0.99,0.1,0.006532475371322219
112,0.99,0.2,0.00044523199267985496
113,0.99,0.3,0.0001397694399059755
114,0.99,0.4,0.00013437632271905963
115,0.99,0.5,5.968035149095377e-05
116,0.99,0.6,4.472432871581522e-05
117,0.99,0.7,3.2305051764559405e-05
118,0.99,0.8,1.4882618418924936e-05
119,0.99,0.9,1.0596826301687743e-05
120,0.99,0.99,7.688005487828147e-06
