,P,cost,value
0,0.01,0.01,6.756125784154983e-07
1,0.01,0.1,2.412924296520162e-07
2,0.01,0.2,8.467220025964362e-07
3,0.01,0.3,1.835153013099654e-07
4,0.01,0.4,2.8352300796352e-07
5,0.01,0.5,6.699211057884667e-07
6,0.01,0.6,1.0106300865274605e-06
7,0.01,0.7,2.0539876345755756e-05
8,0.01,0.8,0.00013282571220740385
9,0.01,0.9,0.003730368435566048
10,0.01,0.99,3.410214444637451
11,0.1,0.01,1.4501395049609455e-05
12,0.1,0.1,1.0540939628681388e-05
13,0.1,0.2,1.0619991490209126e-05
14,0.1,0.3,4.830503340286246e-06
15,0.1,0.4,5.885823678489331e-06
16,0.1,0.5,1.6827352832446528e-05
17,0.1,0.6,0.00016672629699767097
18,0.1,0.7,0.0020104619341337407
19,0.1,0.8,0.12633865705437836
20,0.1,0.9,3.1048172392525193
21,0.1,0.99,0.18622014553710156
22,0.2,0.01,0.00047920602061063227
23,0.2,0.1,0.00035054966235344983
24,0.2,0.2,0.00017690408274939227
25,0.2,0.3,0.00023426320769171332
26,0.2,0.4,4.75921380822456e-05
27,0.2,0.5,0.00015039629886693214
28,0.2,0.6,0.011711753771090279
29,0.2,0.7,0.34884625984619533
30,0.2,0.8,2.8122943686891215
31,0.2,0.9,0.598302958031248
32,0.2,0.99,0.07687622542132953
33,0.3,0.01,0.01048028639324947
34,0.3,0.1,0.010795454913762225
35,0.3,0.2,0.006166756219243308
36,0.3,0.3,0.005442120713734108
37,0.3,0.4,0.0011915432548813296
38,0.3,0.5,0.0019974482943672955
39,0.3,0.6,0.2758517497207524
40,0.3,0.7,2.68773945503386
41,0.3,0.8,1.2175068587086335
42,0.3,0.9,0.3355391819943184
43,0.3,0.99,0.20508947439431227
44,0.4,0.01,0.2936253077503345
45,0.4,0.1,0.35753663606662733
46,0.4,0.2,0.21483528139687177
47,0.4,0.3,0.16970220085821217
48,0.4,0.4,0.04984589708149159
49,0.4,0.5,0.030924159134266105
50,0.4,0.6,2.3407248860836254
51,0.4,0.7,2.149718055781062
52,0.4,0.8,0.7858320652965891
53,0.4,0.9,0.7068628756007607
54,0.4,0.99,0.5659565835922019
55,0.5,0.01,1.3806570285101367
56,0.5,0.1,1.5181636824521292
57,0.5,0.2,1.4756933450287069
58,0.5,0.3,1.672046795123861
59,0.5,0.4,1.53148236080664
60,0.5,0.5,0.19561408965739405
61,0.5,0.6,1.65042047109658
62,0.5,0.7,1.857953033508262
63,0.5,0.8,1.605333586205652
64,0.5,0.9,1.3977541016266066
65,0.5,0.99,1.4454574505128797
66,0.6,0.01,0.4701730876042801
67,0.6,0.1,0.5901151214640981
68,0.6,0.2,1.0625803497262176
69,0.6,0.3,2.000754587563182
70,0.6,0.4,2.1093907153517657
71,0.6,0.5,0.06695818935855939
72,0.6,0.6,0.10935541209914784
73,0.6,0.7,0.22617347239813848
74,0.6,0.8,0.30514142358155816
75,0.6,0.9,0.2591362857325754
76,0.6,0.99,0.3085558885295796
77,0.7,0.01,0.17404315818309393
78,0.7,0.1,0.22988332108637852
79,0.7,0.2,0.7341680032594095
80,0.7,0.3,2.20943021666013
81,0.7,0.4,0.23315764625914243
82,0.7,0.5,0.008541111720801992
83,0.7,0.6,0.001983274674439931
84,0.7,0.7,0.00621908355867925
85,0.7,0.8,0.010138252894957272
86,0.7,0.9,0.011508108115861056
87,0.7,0.99,0.02493175866035228
88,0.8,0.01,0.14984065576975636
89,0.8,0.1,0.5728490133514135
90,0.8,0.2,2.058597855638749
91,0.8,0.3,0.2821093432331676
92,0.8,0.4,0.017734175901984874
93,0.8,0.5,0.0009293463893251198
94,0.8,0.6,0.00036431712389993986
95,0.8,0.7,0.0004813789308653576
96,0.8,0.8,0.0004201806748598889
97,0.8,0.9,0.0002942707827540617
98,0.8,0.99,0.0005127165994285082
99,0.9,0.01,0.1342624716295273
100,0.9,0.1,1.714499543188999
101,0.9,0.2,0.14439577773048767
102,0.9,0.3,0.009831875272774031
103,0.9,0.4,0.0008344592184307509
104,0.9,0.5,0.0002200404432842957
105,0.9,0.6,9.430255689816065e-05
106,0.9,0.7,9.095415959999083e-05
107,0.9,0.8,4.020068005098802e-05
108,0.9,0.9,7.720544374204012e-05
109,0.9,0.99,4.5440126492275894e-05
110,0.99,0.01,1.433969350337018
111,0.99,0.1,0.016618628991425438
112,0.99,0.2,0.0005530675680891559
113,0.99,0.3,0.00017013819965355686
114,0.99,0.4,0.00014122029332903463
115,0.99,0.5,5.901634803531037e-05
116,0.99,0.6,4.40759160953038e-05
117,0.99,0.7,3.087299559207147e-05
118,0.99,0.8,1.52849932984837e-05
119,0.99,0.9,1.1971101343208569e-05
120,0.99,0.99,1.0413669318342238e-05
