,P,cost,value
0,0.01,0.01,2.160967622199993e-07
1,0.01,0.1,2.420759300125797e-07
2,0.01,0.2,2.7869642282145e-07
3,0.01,0.3,1.6414227734762204e-07
4,0.01,0.4,2.2895519444074122e-07
5,0.01,0.5,1.6176900150410393e-06
6,0.01,0.6,2.3030560783198466e-06
7,0.01,0.7,1.368767617564855e-05
8,0.01,0.8,0.00014802455309535144
9,0.01,0.9,0.004673956298334325
10,0.01,0.99,3.8360258366389637
11,0.1,0.01,1.5776664541434243e-05
12,0.1,0.1,1.7228960009055312e-05
13,0.1,0.2,1.1077274136585173e-05
14,0.1,0.3,7.738445846240082e-06
15,0.1,0.4,1.2353986276341828e-05
16,0.1,0.5,3.103865885824595e-05
17,0.1,0.6,0.0002625701228222969
18,0.1,0.7,0.005448466510490933
19,0.1,0.8,0.10301096914447735
20,0.1,0.9,2.7953532731955684
21,0.1,0.99,0.17354300778128345
22,0.2,0.01,0.00016767597953437264
23,0.2,0.1,0.00015903573496289536
24,0.2,0.2,0.0001291306920815456
25,0.2,0.3,0.00012343543777363196
26,0.2,0.4,0.00015409501627451126
27,0.2,0.5,0.0009198536585265383
28,0.2,0.6,0.011612588342641408
29,0.2,0.7,0.37446223417237745
30,0.2,0.8,2.9092702096061407
31,0.2,0.9,0.4272878480521277
32,0.2,0.99,0.08848754615289117
33,0.3,0.01,0.0014996228322865731
34,0.3,0.1,0.0014816915880122381
35,0.3,0.2,0.0015144780751070923
36,0.3,0.3,0.0016342748281903956
37,0.3,0.4,0.003919497795515493
38,0.3,0.5,0.021190813219823412
39,0.3,0.6,0.5099291820404444
40,0.3,0.7,3.008986687023785
41,0.3,0.8,0.538229673584258
42,0.3,0.9,0.2550513035609355
43,0.3,0.99,0.2359479093325398
44,0.4,0.01,0.01607919136020966
45,0.4,0.1,0.015621868397674665
46,0.4,0.2,0.014527836005719358
47,0.4,0.3,0.015241796349805856
48,0.4,0.4,0.032515746949090936
49,0.4,0.5,0.480671566048215
50,0.4,0.6,2.549826209602481
51,0.4,0.7,1.0352356038438155
52,0.4,0.8,0.5147188951577711
53,0.4,0.9,0.44686647942169805
54,0.4,0.99,0.3951170743821458
55,0.5,0.01,0.7538635288213263
56,0.5,0.1,0.7937580725235625
57,0.5,0.2,0.8083098701861535
58,0.5,0.3,1.0406036316547351
59,0.5,0.4,1.6586245018764523
60,0.5,0.5,1.608959512312739
61,0.5,0.6,1.6843548345931036
62,0.5,0.7,1.055506672511393
63,0.5,0.8,0.749159587695936
64,0.5,0.9,0.7350686302419898
65,0.5,0.99,0.8451261706011246
66,0.6,0.01,0.32810295516067556
67,0.6,0.1,0.40374663052145787
68,0.6,0.2,0.5588563675621181
69,0.6,0.3,1.055871571981878
70,0.6,0.4,2.505469704487356
71,0.6,0.5,0.6179271732283328
72,0.6,0.6,0.04982844171486097
73,0.6,0.7,0.018143747974995225
74,0.6,0.8,0.015452092698778137
75,0.6,0.9,0.015367159003457316
76,0.6,0.99,0.01818129081693832
77,0.7,0.01,0.20228095952292235
78,0.7,0.1,0.24277852832353103
79,0.7,0.2,0.4626983643083873
80,0.7,0.3,2.29905645842921
81,0.7,0.4,0.4275362843809613
82,0.7,0.5,0.031725279568767126
83,0.7,0.6,0.004941109405404667
84,0.7,0.7,0.0022780206666786268
85,0.7,0.8,0.0016767735772649814
86,0.7,0.9,0.001902826551505669
87,0.7,0.99,0.001651875063320121
88,0.8,0.01,0.10820728429106569
89,0.8,0.1,0.24983282717421956
90,0.8,0.2,1.8100268724722346
91,0.8,0.3,0.3762096055512676
92,0.8,0.4,0.01631466516967186
93,0.8,0.5,0.001412391335968999
94,0.8,0.6,0.0006124276254260998
95,0.8,0.7,0.000301275119984151
96,0.8,0.8,0.00028133332032355553
97,0.8,0.9,0.0002547112970092266
98,0.8,0.99,0.0003388370994468416
99,0.9,0.01,0.13978498860915736
100,0.9,0.1,1.6872917574032387
101,0.9,0.2,0.19179329422370675
102,0.9,0.3,0.004637406371417372
103,0.9,0.4,0.0009062746982851194
104,0.9,0.5,0.00038406487016200147
105,0.9,0.6,0.00021086880768210435
106,0.9,0.7,0.00010508240292724292
107,0.9,0.8,5.7896305598927677e-05
108,0.9,0.9,4.6396291742867265e-05
109,0.9,0.99,4.202154397326832e-05
110,0.99,0.01,1.4447900201631556
111,0.99,0.1,0.025899393924859185
112,0.99,0.2,0.0008127756294733554
113,0.99,0.3,0.00020659515841579357
114,0.99,0.4,8.629492120671692e-05
115,0.99,0.5,7.423202668040875e-05
116,0.99,0.6,4.0472353469442106e-05
117,0.99,0.7,2.5000904738954556e-05
118,0.99,0.8,1.6687568537003457e-05
119,0.99,0.9,1.2653449051866821e-05
120,0.99,0.99,7.879816944925242e-06
