,P,cost,value
0,0.01,0.01,1.452751909064758
1,0.01,0.1,1.6819978804139017
2,0.01,0.2,1.5065697232735273
3,0.01,0.3,1.5069522782384683
4,0.01,0.4,1.811471461747125
5,0.01,0.5,1.5598645913429094
6,0.01,0.6,1.7504177338012856
7,0.01,0.7,1.6135877915765189
8,0.01,0.8,1.7650686668323958
9,0.01,0.9,2.2594031103275105
10,0.01,0.99,0.4205212218453647
11,0.1,0.01,2.0186233879224242
12,0.1,0.1,1.9647412610985426
13,0.1,0.2,1.8736824867761754
14,0.1,0.3,2.1613063273709585
15,0.1,0.4,2.0760094054133673
16,0.1,0.5,2.046111521090822
17,0.1,0.6,2.0381629030309445
18,0.1,0.7,2.0444066762864086
19,0.1,0.8,1.4050385581286822
20,0.1,0.9,0.5874218244785792
21,0.1,0.99,1.2122711293090147
22,0.2,0.01,1.7509449678748927
23,0.2,0.1,1.9556484196374635
24,0.2,0.2,1.997971337770231
25,0.2,0.3,1.9656288473256351
26,0.2,0.4,2.0001408913814327
27,0.2,0.5,1.9273352973709477
28,0.2,0.6,2.037381726269815
29,0.2,0.7,1.6638458556610551
30,0.2,0.8,0.6138582552887106
31,0.2,0.9,1.318714096379712
32,0.2,0.99,1.4212804248386954
33,0.3,0.01,1.940541694595915
34,0.3,0.1,1.9587617212915507
35,0.3,0.2,1.8223407269139398
36,0.3,0.3,1.9340115759977128
37,0.3,0.4,1.9323338981390892
38,0.3,0.5,1.639640390306917
39,0.3,0.6,1.158036302468499
40,0.3,0.7,0.608197947151664
41,0.3,0.8,1.305567548354196
42,0.3,0.9,1.6313869266839574
43,0.3,0.99,1.3629398936522863
44,0.4,0.01,1.8290546333239408
45,0.4,0.1,1.8684648676583218
46,0.4,0.2,1.7190216793686675
47,0.4,0.3,1.976964603489668
48,0.4,0.4,1.6191390032180388
49,0.4,0.5,1.2453029505852795
50,0.4,0.6,0.49057259489307553
51,0.4,0.7,1.4777454505712893
52,0.4,0.8,1.713182930984012
53,0.4,0.9,1.753811772857702
54,0.4,0.99,1.5698757092651339
55,0.5,0.01,1.7168398696363036
56,0.5,0.1,1.665970533119818
57,0.5,0.2,1.5943390746249961
58,0.5,0.3,1.4564631232412166
59,0.5,0.4,1.2754550502831412
60,0.5,0.5,0.39710509252163734
61,0.5,0.6,1.446893548631874
62,0.5,0.7,1.8114460832692225
63,0.5,0.8,1.892420052660675
64,0.5,0.9,1.537373134827149
65,0.5,0.99,1.8100449029564778
66,0.6,0.01,1.3790639765318122
67,0.6,0.1,1.7200907999925954
68,0.6,0.2,1.3369546383588216
69,0.6,0.3,1.2207930644295955
70,0.6,0.4,0.394173406813622
71,0.6,0.5,1.1407729406614862
72,0.6,0.6,1.709876380250974
73,0.6,0.7,1.8059638582419275
74,0.6,0.8,1.9142572376449989
75,0.6,0.9,1.8895240950790284
76,0.6,0.99,1.6886511988972388
77,0.7,0.01,1.5354072755429078
78,0.7,0.1,1.6723037829936007
79,0.7,0.2,1.3043839603641316
80,0.7,0.3,0.30470247653092764
81,0.7,0.4,1.0672855873093148
82,0.7,0.5,1.5467985320793252
83,0.7,0.6,1.9327964690939567
84,0.7,0.7,2.187304949964261
85,0.7,0.8,1.9453227804850548
86,0.7,0.9,1.7142838661961337
87,0.7,0.99,2.0137864505807803
88,0.8,0.01,1.357735167613157
89,0.8,0.1,1.3252032828024138
90,0.8,0.2,0.5138665127157332
91,0.8,0.3,1.3196391766360303
92,0.8,0.4,1.85419373393666
93,0.8,0.5,1.8661775369472189
94,0.8,0.6,1.982470809775233
95,0.8,0.7,2.0197760421894886
96,0.8,0.8,1.931544181942724
97,0.8,0.9,1.7684808996478771
98,0.8,0.99,2.0683690643945827
99,0.9,0.01,1.5328222430810148
100,0.9,0.1,0.28834975857316236
101,0.9,0.2,1.3582798872813178
102,0.9,0.3,1.7088217575791371
103,0.9,0.4,1.9331214634990266
104,0.9,0.5,2.1222684621307413
105,0.9,0.6,2.419647964534554
106,0.9,0.7,2.1380753463887574
107,0.9,0.8,2.00147421973268
108,0.9,0.9,2.3173301160270467
109,0.9,0.99,2.122808259567641
110,0.99,0.01,0.05406623951751
111,0.99,0.1,1.80184252823629
112,0.99,0.2,1.9145234918362999
113,0.99,0.3,1.7277316172746546
114,0.99,0.4,1.7585552504025368
115,0.99,0.5,1.7075682003254218
116,0.99,0.6,1.6526692785539134
117,0.99,0.7,1.6271865757207904
118,0.99,0.8,1.367319154220662
119,0.99,0.9,1.482957704573986
120,0.99,0.99,1.6989670925920706
