,P,cost,value
0,0.01,0.01,0.5075080084301266
1,0.01,0.1,0.46996572558986494
2,0.01,0.2,0.4534405971961848
3,0.01,0.3,0.4744865743288052
4,0.01,0.4,0.4687243774704185
5,0.01,0.5,0.5012901793047396
6,0.01,0.6,0.5587047129379337
7,0.01,0.7,0.6444588283864304
8,0.01,0.8,0.7060883123966768
9,0.01,0.9,0.8633214785291021
10,0.01,0.99,0.9979276757632695
11,0.1,0.01,0.7294678338670548
12,0.1,0.1,0.6470194782885781
13,0.1,0.2,0.6473155420962537
14,0.1,0.3,0.7315531766881469
15,0.1,0.4,0.6963977336331757
16,0.1,0.5,0.743915988018789
17,0.1,0.6,0.6949138120395322
18,0.1,0.7,0.7056808686835461
19,0.1,0.8,0.5986579881982674
20,0.1,0.9,1.8389142112469066
21,0.1,0.99,1.308359304004445
22,0.2,0.01,0.6940278452206061
23,0.2,0.1,0.6386819503146307
24,0.2,0.2,0.8142249971499282
25,0.2,0.3,0.7178653930161755
26,0.2,0.4,0.6324787278243916
27,0.2,0.5,0.7132542596321589
28,0.2,0.6,0.6709044172879325
29,0.2,0.7,0.42962823380173654
30,0.2,0.8,2.005665040975994
31,0.2,0.9,1.5595145255556324
32,0.2,0.99,0.9236071761036445
33,0.3,0.01,0.8804080107965131
34,0.3,0.1,0.8378534597930032
35,0.3,0.2,0.6940422738254783
36,0.3,0.3,0.6830407566238705
37,0.3,0.4,0.7344267380149766
38,0.3,0.5,0.6305543995552277
39,0.3,0.6,0.31405527445826914
40,0.3,0.7,1.8716590575576955
41,0.3,0.8,1.5601200553267736
42,0.3,0.9,1.1404675275264398
43,0.3,0.99,0.6939769686870273
44,0.4,0.01,0.6736132411129521
45,0.4,0.1,0.7294152240217182
46,0.4,0.2,0.6601263120082728
47,0.4,0.3,0.5993493521153257
48,0.4,0.4,0.4660658480080437
49,0.4,0.5,0.3003306036985536
50,0.4,0.6,1.8235535948381574
51,0.4,0.7,1.5868674277251669
52,0.4,0.8,1.3476254022282745
53,0.4,0.9,0.8882022196677152
54,0.4,0.99,0.6700494693705092
55,0.5,0.01,0.6583573374341188
56,0.5,0.1,0.6508702052110165
57,0.5,0.2,0.646398814588282
58,0.5,0.3,0.5774302959504634
59,0.5,0.4,0.27964917539754486
60,0.5,0.5,1.90057772386525
61,0.5,0.6,1.720652334503434
62,0.5,0.7,1.4392150797688796
63,0.5,0.8,1.0138400050604797
64,0.5,0.9,0.7778336459292466
65,0.5,0.99,0.660525095258933
66,0.6,0.01,0.6591272279380683
67,0.6,0.1,0.6742407752523315
68,0.6,0.2,0.5879574184285116
69,0.6,0.3,0.27406479870089284
70,0.6,0.4,1.8524091112131078
71,0.6,0.5,1.4625446465561711
72,0.6,0.6,1.473187209035034
73,0.6,0.7,0.8702719564348221
74,0.6,0.8,0.7142218863832632
75,0.6,0.9,0.5769614633648522
76,0.6,0.99,0.520794428849338
77,0.7,0.01,0.5770308143507971
78,0.7,0.1,0.5399123318347089
79,0.7,0.2,0.2780087638047443
80,0.7,0.3,1.7459129151644495
81,0.7,0.4,1.4297969614694415
82,0.7,0.5,1.3084631150512929
83,0.7,0.6,0.8960502277368049
84,0.7,0.7,0.765000148485741
85,0.7,0.8,0.6836622180971869
86,0.7,0.9,0.47721082324225017
87,0.7,0.99,0.46573835727458224
88,0.8,0.01,0.4744819523408047
89,0.8,0.1,0.2761773336989113
90,0.8,0.2,1.4171360072735804
91,0.8,0.3,1.6979174317314047
92,0.8,0.4,1.4273814235492086
93,0.8,0.5,0.9623251838664305
94,0.8,0.6,0.9368804648778201
95,0.8,0.7,0.5905363465862984
96,0.8,0.8,0.554855184644574
97,0.8,0.9,0.5082919909316995
98,0.8,0.99,0.41371026537653427
99,0.9,0.01,0.24326402529740151
100,0.9,0.1,1.0906186803982396
101,0.9,0.2,1.5834809175175515
102,0.9,0.3,1.1522543799597098
103,0.9,0.4,1.1798398847740486
104,0.9,0.5,0.8578218804349237
105,0.9,0.6,0.7061941981241955
106,0.9,0.7,0.7451577485099075
107,0.9,0.8,0.5246571113065102
108,0.9,0.9,0.5397794405998284
109,0.9,0.99,0.4663967203112698
110,0.99,0.01,0.12023016799626632
111,0.99,0.1,1.7133385449720335
112,0.99,0.2,1.2995361796068878
113,0.99,0.3,1.258968036580939
114,0.99,0.4,0.8738455329201716
115,0.99,0.5,0.7851133099781459
116,0.99,0.6,0.6954181082070257
117,0.99,0.7,0.7685947006658336
118,0.99,0.8,0.7620991633751616
119,0.99,0.9,0.8757688270943097
120,0.99,0.99,0.9073227740661309
