,P,cost,value
0,0.01,0.01,0.10609124203605683
1,0.01,0.1,0.12369487214156995
2,0.01,0.2,0.09926861845912856
3,0.01,0.3,0.11057704302354984
4,0.01,0.4,0.12344538382767206
5,0.01,0.5,0.14343472292062848
6,0.01,0.6,0.18480097882692556
7,0.01,0.7,0.2657127270247207
8,0.01,0.8,0.27910962005116874
9,0.01,0.9,0.4591062777704357
10,0.01,0.99,1.5983237744743728
11,0.1,0.01,0.14810277983225376
12,0.1,0.1,0.1561602864347644
13,0.1,0.2,0.14856479458999913
14,0.1,0.3,0.1921739158738412
15,0.1,0.4,0.16258943184286515
16,0.1,0.5,0.17791271827824887
17,0.1,0.6,0.22642522964709877
18,0.1,0.7,0.47926618210785343
19,0.1,0.8,0.9737403175887666
20,0.1,0.9,1.927489486482722
21,0.1,0.99,0.3559924224340025
22,0.2,0.01,0.24995508924075688
23,0.2,0.1,0.23889417189002593
24,0.2,0.2,0.25483182455317005
25,0.2,0.3,0.25482056526092955
26,0.2,0.4,0.2606327085809348
27,0.2,0.5,0.3388597229972263
28,0.2,0.6,0.674992642132647
29,0.2,0.7,1.2369353075410647
30,0.2,0.8,1.3917195568217706
31,0.2,0.9,0.6140925716925928
32,0.2,0.99,0.3862664172179206
33,0.3,0.01,0.33991613889165206
34,0.3,0.1,0.27926813589585886
35,0.3,0.2,0.3087951489802895
36,0.3,0.3,0.3507914950239128
37,0.3,0.4,0.3731056173311652
38,0.3,0.5,0.649564332836446
39,0.3,0.6,1.167684803709622
40,0.3,0.7,1.3296838844465373
41,0.3,0.8,1.0315369215411079
42,0.3,0.9,0.5099360762219453
43,0.3,0.99,0.39040742037109466
44,0.4,0.01,0.30671281309862664
45,0.4,0.1,0.34233679600137545
46,0.4,0.2,0.34611308101131544
47,0.4,0.3,0.3621390266349897
48,0.4,0.4,0.6117334541778311
49,0.4,0.5,1.0503918139812942
50,0.4,0.6,1.3027308105448037
51,0.4,0.7,1.0519376382679195
52,0.4,0.8,0.5797340434705688
53,0.4,0.9,0.376988894783612
54,0.4,0.99,0.4052050306193543
55,0.5,0.01,0.358146440957524
56,0.5,0.1,0.42200024096680777
57,0.5,0.2,0.45443904305629895
58,0.5,0.3,0.7051291293765821
59,0.5,0.4,1.2538347082577088
60,0.5,0.5,1.3579953411266554
61,0.5,0.6,1.293548267340213
62,0.5,0.7,0.7055177094626895
63,0.5,0.8,0.3860389437130223
64,0.5,0.9,0.36166588626245394
65,0.5,0.99,0.39884573543957835
66,0.6,0.01,0.3420035690811193
67,0.6,0.1,0.3760063747301254
68,0.6,0.2,0.637524904907735
69,0.6,0.3,1.0500592100066373
70,0.6,0.4,1.569494339805681
71,0.6,0.5,1.1691526832408043
72,0.6,0.6,0.6934330523894074
73,0.6,0.7,0.3935263242470681
74,0.6,0.8,0.38553674129118054
75,0.6,0.9,0.2803932742699404
76,0.6,0.99,0.36388310649242245
77,0.7,0.01,0.34684047803675155
78,0.7,0.1,0.5517621530558157
79,0.7,0.2,0.9226203702605402
80,0.7,0.3,1.310113820607619
81,0.7,0.4,1.0413414661453093
82,0.7,0.5,0.7001544795135468
83,0.7,0.6,0.4106995776651979
84,0.7,0.7,0.3018644392705246
85,0.7,0.8,0.3675633213884721
86,0.7,0.9,0.2672838751468767
87,0.7,0.99,0.30648943348618746
88,0.8,0.01,0.38547185337094086
89,0.8,0.1,0.5394857796809105
90,0.8,0.2,1.521323027452067
91,0.8,0.3,1.1028297852415563
92,0.8,0.4,0.6504541433634908
93,0.8,0.5,0.3455795662713741
94,0.8,0.6,0.29258739672748474
95,0.8,0.7,0.2882821905402739
96,0.8,0.8,0.25373499684226475
97,0.8,0.9,0.25141590110580053
98,0.8,0.99,0.2546449621656543
99,0.9,0.01,0.2991726285581938
100,0.9,0.1,1.3737230925085115
101,0.9,0.2,0.9978709327639641
102,0.9,0.3,0.4737014736732736
103,0.9,0.4,0.31140178034352173
104,0.9,0.5,0.20654732998230585
105,0.9,0.6,0.1962824446572518
106,0.9,0.7,0.16904406472616867
107,0.9,0.8,0.188648519877191
108,0.9,0.9,0.16085973414471816
109,0.9,0.99,0.15410994362207805
110,0.99,0.01,0.1272844830730239
111,0.99,0.1,0.5478033205314434
112,0.99,0.2,0.4065027586047739
113,0.99,0.3,0.361449096008715
114,0.99,0.4,0.2829042269873696
115,0.99,0.5,0.27984236196972606
116,0.99,0.6,0.23536766653203928
117,0.99,0.7,0.12563159428450935
118,0.99,0.8,0.12271955081104904
119,0.99,0.9,0.1577650598220395
120,0.99,0.99,0.17751171365224883
