,P,cost,value
0,0.01,0.01,1.3649132202014693
1,0.01,0.1,1.3653679838983181
2,0.01,0.2,1.5160783999252132
3,0.01,0.3,1.3928668123696897
4,0.01,0.4,1.5604630940291115
5,0.01,0.5,1.4006742696016845
6,0.01,0.6,1.4538948316857903
7,0.01,0.7,1.5365609218691134
8,0.01,0.8,1.546118575253008
9,0.01,0.9,2.3300161776132544
10,0.01,0.99,0.44645606004686395
11,0.1,0.01,1.406042450903007
12,0.1,0.1,1.4765788904359312
13,0.1,0.2,1.337576493188999
14,0.1,0.3,1.4949612249463209
15,0.1,0.4,1.2544186366225707
16,0.1,0.5,1.4539693581616944
17,0.1,0.6,1.5582599751690795
18,0.1,0.7,1.7025071101688325
19,0.1,0.8,1.7130012750808739
20,0.1,0.9,0.2632298579937893
21,0.1,0.99,1.4691525946164345
22,0.2,0.01,1.1645849225403853
23,0.2,0.1,1.3894978857433329
24,0.2,0.2,1.3649153146329294
25,0.2,0.3,1.4064952495181853
26,0.2,0.4,1.6446756465450931
27,0.2,0.5,1.4922335771146686
28,0.2,0.6,1.909695930124272
29,0.2,0.7,2.122470153321128
30,0.2,0.8,0.2223385829070313
31,0.2,0.9,1.5893263134068496
32,0.2,0.99,1.3492911724597683
33,0.3,0.01,1.2638057242132597
34,0.3,0.1,1.4633141020297369
35,0.3,0.2,1.4884914155104645
36,0.3,0.3,1.4191924880578044
37,0.3,0.4,1.5937482694034104
38,0.3,0.5,1.6518550447140483
39,0.3,0.6,1.6039480559098167
40,0.3,0.7,0.29638615495327103
41,0.3,0.8,1.443951464763561
42,0.3,0.9,1.6665923121337531
43,0.3,0.99,1.3285250345690411
44,0.4,0.01,1.349459782569664
45,0.4,0.1,1.4635534812939701
46,0.4,0.2,1.4089452256162105
47,0.4,0.3,1.705520346935452
48,0.4,0.4,1.6607100643352495
49,0.4,0.5,1.5250118732682942
50,0.4,0.6,0.29180990913918814
51,0.4,0.7,1.4590207112634546
52,0.4,0.8,1.6129729890069475
53,0.4,0.9,1.481002344932961
54,0.4,0.99,1.3418807537299995
55,0.5,0.01,1.400948850192666
56,0.5,0.1,1.5305615387115892
57,0.5,0.2,1.460274543764455
58,0.5,0.3,1.693593922080293
59,0.5,0.4,1.562839176007909
60,0.5,0.5,0.20826613056405544
61,0.5,0.6,1.6643387590714565
62,0.5,0.7,1.8311896578477116
63,0.5,0.8,1.5902181462094191
64,0.5,0.9,1.387044048492223
65,0.5,0.99,1.4649955870302125
66,0.6,0.01,1.30408031893997
67,0.6,0.1,1.5578892808080012
68,0.6,0.2,1.5564184095182223
69,0.6,0.3,1.4023835461667666
70,0.6,0.4,0.17695481546986555
71,0.6,0.5,1.369595320208029
72,0.6,0.6,1.7473186707190984
73,0.6,0.7,1.6099704177046268
74,0.6,0.8,1.568054285643015
75,0.6,0.9,1.4127511771751242
76,0.6,0.99,1.3074657298798287
77,0.7,0.01,1.504667570771692
78,0.7,0.1,1.6735979556017333
79,0.7,0.2,1.5217950428188054
80,0.7,0.3,0.1672112149438849
81,0.7,0.4,1.391872552953499
82,0.7,0.5,1.6437906261552118
83,0.7,0.6,1.6758154291303056
84,0.7,0.7,1.7022425093482088
85,0.7,0.8,1.5427045471029857
86,0.7,0.9,1.3460237259472754
87,0.7,0.99,1.4053331826425888
88,0.8,0.01,1.366265621227506
89,0.8,0.1,1.5948324164655054
90,0.8,0.2,0.15596415928966936
91,0.8,0.3,1.5727726770940833
92,0.8,0.4,1.563493317219273
93,0.8,0.5,1.4838921797538973
94,0.8,0.6,1.3954514681967825
95,0.8,0.7,1.4070068024764446
96,0.8,0.8,1.4418678410890462
97,0.8,0.9,1.168547804231954
98,0.8,0.99,1.2846870477921255
99,0.9,0.01,1.6932753251429553
100,0.9,0.1,0.08669073998096333
101,0.9,0.2,1.5154352427116886
102,0.9,0.3,1.605272700458813
103,0.9,0.4,1.5800953549236383
104,0.9,0.5,1.422229112794538
105,0.9,0.6,1.5772039043350925
106,0.9,0.7,1.4542415626317347
107,0.9,0.8,1.2861587301909239
108,0.9,0.9,1.5048233106616624
109,0.9,0.99,1.4404688417362108
110,0.99,0.01,0.012854968813094631
111,0.99,0.1,1.8614373595052913
112,0.99,0.2,1.7696421135978702
113,0.99,0.3,1.6314450265838603
114,0.99,0.4,1.5985968424739074
115,0.99,0.5,1.5048087351702952
116,0.99,0.6,1.4652783501736395
117,0.99,0.7,1.3875643050387478
118,0.99,0.8,1.3445059879331898
119,0.99,0.9,1.4572372359566885
120,0.99,0.99,1.4522592925926463
