,P,cost,value
0,0.01,0.01,3.767927497004458e-14
1,0.01,0.1,3.193855203606815e-14
2,0.01,0.2,3.2653582452328164e-14
3,0.01,0.3,1.8325407295416752e-14
4,0.01,0.4,2.6076064167078206e-14
5,0.01,0.5,1.671872020917761e-14
6,0.01,0.6,2.3303314175952697e-14
7,0.01,0.7,4.0943002132167226e-15
8,0.01,0.8,5.0292000132872715e-15
9,0.01,0.9,8.772869659673791e-15
10,0.01,0.99,2.982121870696444e-14
11,0.1,0.01,3.1665499211193976e-14
12,0.1,0.1,2.3021806939154955e-14
13,0.1,0.2,2.4957062897676183e-14
14,0.1,0.3,2.287355830290058e-14
15,0.1,0.4,2.2313825684148008e-14
16,0.1,0.5,1.8123179452285813e-14
17,0.1,0.6,2.0377658966067573e-14
18,0.1,0.7,1.1772552836407934e-14
19,0.1,0.8,1.6850537738392443e-14
20,0.1,0.9,3.3252245310410074e-14
21,0.1,0.99,1.9097449651632363e-14
22,0.2,0.01,3.035642925007127e-14
23,0.2,0.1,2.3755919178683142e-14
24,0.2,0.2,2.076918399302593e-14
25,0.2,0.3,2.004467624438022e-14
26,0.2,0.4,2.095941117004366e-14
27,0.2,0.5,1.9853134657345476e-14
28,0.2,0.6,2.1184323765682186e-14
29,0.2,0.7,2.186491162724472e-14
30,0.2,0.8,3.859314730383479e-14
31,0.2,0.9,2.1815246800755283e-14
32,0.2,0.99,1.3990572258058766e-14
33,0.3,0.01,2.955321102005839e-14
34,0.3,0.1,2.1788392037313724e-14
35,0.3,0.2,2.0868649297177207e-14
36,0.3,0.3,2.218557867289774e-14
37,0.3,0.4,2.2928995082097954e-14
38,0.3,0.5,1.953014525358179e-14
39,0.3,0.6,2.6311583001433082e-14
40,0.3,0.7,3.4120171933669916e-14
41,0.3,0.8,2.2978398346651197e-14
42,0.3,0.9,1.2692039317480048e-14
43,0.3,0.99,1.3252175633639471e-14
44,0.4,0.01,2.98639675388072e-14
45,0.4,0.1,2.277040087280314e-14
46,0.4,0.2,2.5477864734551365e-14
47,0.4,0.3,2.1631976983525778e-14
48,0.4,0.4,2.288837252354602e-14
49,0.4,0.5,2.456128509187743e-14
50,0.4,0.6,3.4196130752255485e-14
51,0.4,0.7,2.3806454095364994e-14
52,0.4,0.8,1.6287770173829732e-14
53,0.4,0.9,1.1035415816519724e-14
54,0.4,0.99,8.856768951650165e-15
55,0.5,0.01,2.7169632275984262e-14
56,0.5,0.1,2.2992876983234675e-14
57,0.5,0.2,2.217140675549224e-14
58,0.5,0.3,2.3270232221180096e-14
59,0.5,0.4,3.271637187813576e-14
60,0.5,0.5,3.4986825117775016e-14
61,0.5,0.6,2.5733235826970207e-14
62,0.5,0.7,1.6044163241968446e-14
63,0.5,0.8,1.4550276472929616e-14
64,0.5,0.9,1.0206808673417459e-14
65,0.5,0.99,9.860380650283724e-15
66,0.6,0.01,2.630127483923475e-14
67,0.6,0.1,2.4936558192583565e-14
68,0.6,0.2,1.9878883512641012e-14
69,0.6,0.3,2.7878537998204958e-14
70,0.6,0.4,3.191191195829153e-14
71,0.6,0.5,2.8863663517011365e-14
72,0.6,0.6,2.197512533551743e-14
73,0.6,0.7,1.2308964116001419e-14
74,0.6,0.8,1.1644117316690923e-14
75,0.6,0.9,1.096369830089517e-14
76,0.6,0.99,9.336440972175735e-15
77,0.7,0.01,3.0069832635960127e-14
78,0.7,0.1,2.1862092785247723e-14
79,0.7,0.2,2.8199227726412438e-14
80,0.7,0.3,3.3596493416771685e-14
81,0.7,0.4,2.419267426035027e-14
82,0.7,0.5,2.4324274517836023e-14
83,0.7,0.6,1.9747619049276538e-14
84,0.7,0.7,9.790127679675732e-15
85,0.7,0.8,9.729507111180987e-15
86,0.7,0.9,7.711056395269962e-15
87,0.7,0.99,7.53644380168212e-15
88,0.8,0.01,3.04866919117461e-14
89,0.8,0.1,2.2558846724268978e-14
90,0.8,0.2,3.4431415234914405e-14
91,0.8,0.3,2.7324120168545434e-14
92,0.8,0.4,1.9617361245371737e-14
93,0.8,0.5,2.146782084823907e-14
94,0.8,0.6,1.9660353954256563e-14
95,0.8,0.7,7.53644380168212e-15
96,0.8,0.8,7.317372065289299e-15
97,0.8,0.9,8.367281836914828e-15
98,0.8,0.99,7.300507852813707e-15
99,0.9,0.01,2.734035499958779e-14
100,0.9,0.1,3.408221945440085e-14
101,0.9,0.2,2.6579351355523112e-14
102,0.9,0.3,2.1875901640420226e-14
103,0.9,0.4,2.1518287558759082e-14
104,0.9,0.5,1.8508786401162786e-14
105,0.9,0.6,1.6022253115314932e-14
106,0.9,0.7,7.477333525899404e-15
107,0.9,0.8,7.44760245974182e-15
108,0.9,0.9,6.319500243438062e-15
109,0.9,0.99,6.416282295162951e-15
110,0.99,0.01,4.6856015418423966e-14
111,0.99,0.1,2.6733561832029576e-14
112,0.99,0.2,2.3253806110521248e-14
113,0.99,0.3,1.6299495750987633e-14
114,0.99,0.4,1.7103921664944405e-14
115,0.99,0.5,1.3371621238615755e-14
116,0.99,0.6,1.5984127304249524e-14
117,0.99,0.7,6.141450319825085e-15
118,0.99,0.8,6.2488890859448035e-15
119,0.99,0.9,4.9848890172662694e-15
120,0.99,0.99,4.803559250984065e-15
