,P,cost,value
0,0.01,0.01,2.095359379778591e-08
1,0.01,0.1,1.7113443285122534e-08
2,0.01,0.2,1.2392914091268483e-08
3,0.01,0.3,2.538415371472928e-07
4,0.01,0.4,3.191128736921979e-07
5,0.01,0.5,7.128221113376024e-07
6,0.01,0.6,5.842454964377211e-07
7,0.01,0.7,4.651488522423316e-06
8,0.01,0.8,1.5474354462895336e-05
9,0.01,0.9,0.0004627179947113932
10,0.01,0.99,0.442488394677238
11,0.1,0.01,1.4989633719844466e-07
12,0.1,0.1,6.833591596368615e-08
13,0.1,0.2,4.628100689869659e-07
14,0.1,0.3,1.3455843401818608e-06
15,0.1,0.4,3.895423583925738e-06
16,0.1,0.5,1.3462468373269577e-05
17,0.1,0.6,0.00010152358166401904
18,0.1,0.7,0.000350304558339225
19,0.1,0.8,0.0157042706864173
20,0.1,0.9,0.27155182283275286
21,0.1,0.99,0.0005812564322773496
22,0.2,0.01,7.676400761743691e-07
23,0.2,0.1,3.6350221141117326e-07
24,0.2,0.2,3.170902770346181e-06
25,0.2,0.3,8.728466658304184e-06
26,0.2,0.4,3.5605985815513106e-05
27,0.2,0.5,0.000139751238117925
28,0.2,0.6,0.003960861777406501
29,0.2,0.7,0.043296944529006676
30,0.2,0.8,0.23036835580532616
31,0.2,0.9,0.033563839713074355
32,0.2,0.99,0.0003358103777584385
33,0.3,0.01,6.053434749348501e-07
34,0.3,0.1,1.4111735207500303e-06
35,0.3,0.2,7.074565364352904e-06
36,0.3,0.3,2.3661028975919587e-05
37,0.3,0.4,0.00014124384224716122
38,0.3,0.5,0.0018105596021239954
39,0.3,0.6,0.06497423464002226
40,0.3,0.7,0.29402741422951256
41,0.3,0.8,0.07945485804229355
42,0.3,0.9,0.0010813362586760704
43,0.3,0.99,0.00020247505917060318
44,0.4,0.01,1.1852300625064326e-06
45,0.4,0.1,2.439566183720041e-06
46,0.4,0.2,0.00014019528502525583
47,0.4,0.3,0.0004158342728938823
48,0.4,0.4,0.0035385183113067296
49,0.4,0.5,0.03136103368516864
50,0.4,0.6,0.2888766759153687
51,0.4,0.7,0.1003898565425814
52,0.4,0.8,0.004208577970373217
53,0.4,0.9,0.0003116590807401245
54,0.4,0.99,8.453056341274833e-05
55,0.5,0.01,2.1457351074597187e-06
56,0.5,0.1,2.10369423721458e-05
57,0.5,0.2,0.0002696924776529129
58,0.5,0.3,0.0023011769340941612
59,0.5,0.4,0.06050006524142507
60,0.5,0.5,0.1929306759427259
61,0.5,0.6,0.08057035060461536
62,0.5,0.7,0.00492845573866579
63,0.5,0.8,0.0012390584286128589
64,0.5,0.9,0.00010570920853314518
65,0.5,0.99,6.292926648813936e-05
66,0.6,0.01,5.820281019483514e-06
67,0.6,0.1,4.296452263704957e-05
68,0.6,0.2,0.0006446671851130383
69,0.6,0.3,0.045151124901704205
70,0.6,0.4,0.17597460800303644
71,0.6,0.5,0.06654865391996304
72,0.6,0.6,0.008879835896995104
73,0.6,0.7,0.0019545948970751533
74,0.6,0.8,0.00018605587494337062
75,0.6,0.9,5.973072015664921e-05
76,0.6,0.99,3.901031474513237e-05
77,0.7,0.01,1.5617506529473506e-05
78,0.7,0.1,0.0005853388110721495
79,0.7,0.2,0.020961905053883713
80,0.7,0.3,0.1672999080634385
81,0.7,0.4,0.07843418908740288
82,0.7,0.5,0.008983507884330513
83,0.7,0.6,0.0010183788345332885
84,0.7,0.7,0.000307432730810968
85,0.7,0.8,8.790052190826196e-05
86,0.7,0.9,4.592624762259957e-05
87,0.7,0.99,2.1100474659433162e-05
88,0.8,0.01,5.7643612065816084e-05
89,0.8,0.1,0.005160073672037604
90,0.8,0.2,0.1586593901239275
91,0.8,0.3,0.08857105705024365
92,0.8,0.4,0.009050943829749511
93,0.8,0.5,0.0008943256674876628
94,0.8,0.6,0.0002516281078539178
95,0.8,0.7,0.00012288519959431892
96,0.8,0.8,5.890600963164968e-05
97,0.8,0.9,2.484698610437883e-05
98,0.8,0.99,2.113185274118986e-05
99,0.9,0.01,0.00031197922616167634
100,0.9,0.1,0.08736390930871286
101,0.9,0.2,0.020885902834563413
102,0.9,0.3,0.00225583400634776
103,0.9,0.4,0.0005466279031368007
104,0.9,0.5,0.0002188975052785648
105,0.9,0.6,8.449106842357735e-05
106,0.9,0.7,6.306779173944663e-05
107,0.9,0.8,2.9363597778033098e-05
108,0.9,0.9,2.1682125575425926e-05
109,0.9,0.99,9.528234636873473e-06
110,0.99,0.01,0.012850570353098025
111,0.99,0.1,0.006489596275001494
112,0.99,0.2,0.00041326832359737204
113,0.99,0.3,0.00013646892994698072
114,0.99,0.4,0.00014017664731192454
115,0.99,0.5,5.87349716415537e-05
116,0.99,0.6,4.774610970131962e-05
117,0.99,0.7,3.227539833070668e-05
118,0.99,0.8,1.4882618418924936e-05
119,0.99,0.9,1.0596826301687743e-05
120,0.99,0.99,7.688005487828147e-06
