,P,cost,value
0,0.01,0.01,1.6608603973778937e-07
1,0.01,0.1,0.005913079265794211
2,0.01,0.2,0.1545099113237135
3,0.01,0.3,0.57205282113386
4,0.01,0.4,1.0611081247300798
5,0.01,0.5,1.4006742696016845
6,0.01,0.6,1.5003777586819755
7,0.01,0.7,1.6071394276264164
8,0.01,0.8,1.4216858678141497
9,0.01,0.9,1.9906100056629263
10,0.01,0.99,1.1036746956093284
11,0.1,0.01,1.4992550793715257e-07
12,0.1,0.1,2.0765945156519648e-05
13,0.1,0.2,0.0015026886439333995
14,0.1,0.3,0.09329230240725857
15,0.1,0.4,0.6783546602557035
16,0.1,0.5,1.4539693581616944
17,0.1,0.6,1.2289492808951437
18,0.1,0.7,0.8975798176407884
19,0.1,0.8,0.9247943500829168
20,0.1,0.9,3.0691820563013446
21,0.1,0.99,0.0005813980378688175
22,0.2,0.01,7.676400761743691e-07
23,0.2,0.1,2.3940963004167523e-06
24,0.2,0.2,0.0002374709217051676
25,0.2,0.3,0.012242942355175394
26,0.2,0.4,0.39684765624103285
27,0.2,0.5,1.4922335771146686
28,0.2,0.6,1.2557180026906987
29,0.2,0.7,1.2416808454051516
30,0.2,0.8,3.042973749167441
31,0.2,0.9,0.12948606477578675
32,0.2,0.99,0.0003358103777584385
33,0.3,0.01,6.053434749348501e-07
34,0.3,0.1,5.968109432097525e-06
35,0.3,0.2,7.335942452835048e-05
36,0.3,0.3,0.006728903091879604
37,0.3,0.4,0.194317687421217
38,0.3,0.5,1.6518550447140483
39,0.3,0.6,2.299146749344129
40,0.3,0.7,2.81656046210264
41,0.3,0.8,0.25527638796756297
42,0.3,0.9,0.002424483054194108
43,0.3,0.99,0.00020247505917060318
44,0.4,0.01,1.1852300625064326e-06
45,0.4,0.1,2.7940236676984386e-06
46,0.4,0.2,8.517230134539131e-05
47,0.4,0.3,0.0013506681839973527
48,0.4,0.4,0.050273063950502433
49,0.4,0.5,1.5250118732682942
50,0.4,0.6,2.295489057307496
51,0.4,0.7,0.27848550996470783
52,0.4,0.8,0.007147534431475101
53,0.4,0.9,0.0003102478155277503
54,0.4,0.99,8.453056341274833e-05
55,0.5,0.01,2.1457351074597187e-06
56,0.5,0.1,2.096135022400843e-05
57,0.5,0.2,0.0002652810505976026
58,0.5,0.3,0.002246337296296352
59,0.5,0.4,0.06034303742620968
60,0.5,0.5,0.20826613056405544
61,0.5,0.6,0.08131730339382784
62,0.5,0.7,0.004897328720718711
63,0.5,0.8,0.0012446344399829245
64,0.5,0.9,0.00010212027200553488
65,0.5,0.99,6.292926648813936e-05
66,0.6,0.01,5.820281019483514e-06
67,0.6,0.1,4.713534559414989e-05
68,0.6,0.2,0.0034464338271116457
69,0.6,0.3,0.19894170108800951
70,0.6,0.4,2.189897561752589
71,0.6,0.5,1.369595320208029
72,0.6,0.6,0.14410907612175947
73,0.6,0.7,0.0034857793136351656
74,0.6,0.8,0.0002011812799785489
75,0.6,0.9,6.118309977119589e-05
76,0.6,0.99,3.901031474513237e-05
77,0.7,0.01,1.5617506529473506e-05
78,0.7,0.1,0.0017123089883774928
79,0.7,0.2,0.14244218034885434
80,0.7,0.3,2.259014136026038
81,0.7,0.4,2.327794176356084
82,0.7,0.5,1.6437906261552118
83,0.7,0.6,0.21100682471837914
84,0.7,0.7,0.007145491263042637
85,0.7,0.8,0.0002121998624143223
86,0.7,0.9,5.3930629365817187e-05
87,0.7,0.99,2.1100474659433162e-05
88,0.8,0.01,5.7643612065816084e-05
89,0.8,0.1,0.06024524504839704
90,0.8,0.2,2.362643096750228
91,0.8,0.3,1.401596858580095
92,0.8,0.4,1.5084863023216246
93,0.8,0.5,1.4838921797538973
94,0.8,0.6,0.38538457646370766
95,0.8,0.7,0.022590667731451256
96,0.8,0.8,0.00043555738162192107
97,0.8,0.9,3.777416328265063e-05
98,0.8,0.99,2.113185274118986e-05
99,0.9,0.01,0.0003119779969865418
100,0.9,0.1,1.7718383486336777
101,0.9,0.2,1.0900048568951866
102,0.9,0.3,1.021627174445691
103,0.9,0.4,1.3014201291572147
104,0.9,0.5,1.422229112794538
105,0.9,0.6,0.8723042482223088
106,0.9,0.7,0.09075066890030765
107,0.9,0.8,0.0010410643373691692
108,0.9,0.9,7.36708781971651e-05
109,0.9,0.99,9.527080891906253e-06
110,0.99,0.01,0.09115260993825876
111,0.99,0.1,1.8669593388692582
112,0.99,0.2,1.57998625485313
113,0.99,0.3,1.6675295862459725
114,0.99,0.4,1.682244026634225
115,0.99,0.5,1.5048087351702952
116,0.99,0.6,1.1470649573731648
117,0.99,0.7,0.5554326148248425
118,0.99,0.8,0.15018893847355808
119,0.99,0.9,0.007820668469274558
120,0.99,0.99,1.1371266940453833e-05
