,P,cost,value
0,0.01,0.01,1.2521966875051822
1,0.01,0.1,1.3853456737970335
2,0.01,0.2,1.5480655326310278
3,0.01,0.3,1.4277616520845653
4,0.01,0.4,1.380106772360712
5,0.01,0.5,1.4270047376174932
6,0.01,0.6,1.6051925551156785
7,0.01,0.7,1.6341155978329727
8,0.01,0.8,1.6941054780408547
9,0.01,0.9,2.28910211831996
10,0.01,0.99,0.4456988206980127
11,0.1,0.01,1.328291265428641
12,0.1,0.1,1.3639623178164053
13,0.1,0.2,1.4081666658500769
14,0.1,0.3,1.5092095625851498
15,0.1,0.4,1.477051556506202
16,0.1,0.5,1.5014340085272178
17,0.1,0.6,1.67888565708419
18,0.1,0.7,1.8823416423764416
19,0.1,0.8,1.826901152441129
20,0.1,0.9,0.308764924716349
21,0.1,0.99,1.537528781006616
22,0.2,0.01,1.3927772446097395
23,0.2,0.1,1.164855955796177
24,0.2,0.2,1.2851836454373256
25,0.2,0.3,1.4452103858931484
26,0.2,0.4,1.342483824022718
27,0.2,0.5,1.6019663412363974
28,0.2,0.6,1.7578862900332828
29,0.2,0.7,1.7735145098677538
30,0.2,0.8,0.3806474286199365
31,0.2,0.9,1.5645737015779844
32,0.2,0.99,1.5485283885674215
33,0.3,0.01,1.2278594439073822
34,0.3,0.1,1.3536399410098832
35,0.3,0.2,1.1722496878651318
36,0.3,0.3,1.53258277623149
37,0.3,0.4,1.437477787401612
38,0.3,0.5,1.7176805174903382
39,0.3,0.6,1.5864048852100958
40,0.3,0.7,0.24555593326067787
41,0.3,0.8,1.5518665301908587
42,0.3,0.9,1.6398007373586623
43,0.3,0.99,1.4554969536311897
44,0.4,0.01,1.12938466288611
45,0.4,0.1,1.3721560549109473
46,0.4,0.2,1.4972759228885633
47,0.4,0.3,1.4682673568570235
48,0.4,0.4,1.5336657476742201
49,0.4,0.5,1.4307824469572463
50,0.4,0.6,0.31437656773094913
51,0.4,0.7,1.427457052837005
52,0.4,0.8,1.760013637447786
53,0.4,0.9,1.5630085908593696
54,0.4,0.99,1.412043967914411
55,0.5,0.01,1.478626754366521
56,0.5,0.1,1.4431260077517805
57,0.5,0.2,1.510431282642572
58,0.5,0.3,1.7711164278452984
59,0.5,0.4,1.395534183291508
60,0.5,0.5,0.3321742357087115
61,0.5,0.6,1.4702473422946027
62,0.5,0.7,1.9802048538108117
63,0.5,0.8,1.5840976606223722
64,0.5,0.9,1.6275202368983546
65,0.5,0.99,1.1896750993948495
66,0.6,0.01,1.1992384321166174
67,0.6,0.1,1.469324133565641
68,0.6,0.2,1.7153420674988584
69,0.6,0.3,1.454373239294227
70,0.6,0.4,0.1853866959497888
71,0.6,0.5,1.3166068932406692
72,0.6,0.6,1.6438191038071412
73,0.6,0.7,1.598991678961019
74,0.6,0.8,1.489499910856238
75,0.6,0.9,1.3429118875167294
76,0.6,0.99,1.4228810363481934
77,0.7,0.01,1.584896090436236
78,0.7,0.1,1.673822653862467
79,0.7,0.2,1.4268988871298944
80,0.7,0.3,0.1588190305298623
81,0.7,0.4,1.2847482635337872
82,0.7,0.5,1.765455542868653
83,0.7,0.6,1.482860294177578
84,0.7,0.7,1.4830594985059702
85,0.7,0.8,1.3903302440418366
86,0.7,0.9,1.3513421828673733
87,0.7,0.99,1.2351561959418627
88,0.8,0.01,1.463158006651732
89,0.8,0.1,1.55327555358308
90,0.8,0.2,0.17538494338211488
91,0.8,0.3,1.6150986396223637
92,0.8,0.4,1.7163727496459749
93,0.8,0.5,1.6395760106293595
94,0.8,0.6,1.6088192008556466
95,0.8,0.7,1.3566818139445014
96,0.8,0.8,1.3895758225067505
97,0.8,0.9,1.4117418371865076
98,0.8,0.99,1.3134149889202358
99,0.9,0.01,1.4279129805455406
100,0.9,0.1,0.10541891540478181
101,0.9,0.2,1.7526195602942483
102,0.9,0.3,1.7749400120195435
103,0.9,0.4,1.825540131902477
104,0.9,0.5,1.5086458672928984
105,0.9,0.6,1.472058728113753
106,0.9,0.7,1.5871881986518406
107,0.9,0.8,1.547101700505443
108,0.9,0.9,1.4095283756460917
109,0.9,0.99,1.4909988510881376
110,0.99,0.01,0.013281116055505826
111,0.99,0.1,2.045222659673966
112,0.99,0.2,1.784607314282851
113,0.99,0.3,1.741306533484793
114,0.99,0.4,1.39340756102649
115,0.99,0.5,1.3005614182935943
116,0.99,0.6,1.3147779975231744
117,0.99,0.7,1.523993092289666
118,0.99,0.8,1.4190035568551442
119,0.99,0.9,1.5049665120547573
120,0.99,0.99,1.4727577744823648
