,P,cost,value
0,0.01,0.01,1.4472686848550544e-07
1,0.01,0.1,6.066783743769863e-08
2,0.01,0.2,1.64407761878584e-07
3,0.01,0.3,8.562287120790078e-08
4,0.01,0.4,5.187647334709718e-08
5,0.01,0.5,7.251910545493708e-07
6,0.01,0.6,1.4805795765460503e-06
7,0.01,0.7,1.6713521846818993e-05
8,0.01,0.8,0.0001668643279632776
9,0.01,0.9,0.005179244265999947
10,0.01,0.99,3.8402670850094656
11,0.1,0.01,1.6681895611435815e-05
12,0.1,0.1,2.4106077383918127e-05
13,0.1,0.2,9.470596062740194e-06
14,0.1,0.3,4.643376654414449e-06
15,0.1,0.4,3.88706292918014e-06
16,0.1,0.5,1.736534622636028e-05
17,0.1,0.6,0.00016312292183799307
18,0.1,0.7,0.004868485391503412
19,0.1,0.8,0.09710679859354132
20,0.1,0.9,2.79340506616049
21,0.1,0.99,0.20504195314033305
22,0.2,0.01,0.0003872380160374613
23,0.2,0.1,0.00030905175647560814
24,0.2,0.2,0.00012378450636621292
25,0.2,0.3,0.0002128405837115331
26,0.2,0.4,0.00012380112001272062
27,0.2,0.5,0.00014611256400636304
28,0.2,0.6,0.0049710101803591015
29,0.2,0.7,0.3143870238785217
30,0.2,0.8,2.9205691641345304
31,0.2,0.9,0.6893388243817454
32,0.2,0.99,0.07168022220078346
33,0.3,0.01,0.007936343126490417
34,0.3,0.1,0.007788859909178353
35,0.3,0.2,0.005488271514381584
36,0.3,0.3,0.002227207505112297
37,0.3,0.4,0.001318171395296611
38,0.3,0.5,0.0015145228147101881
39,0.3,0.6,0.28112773706175315
40,0.3,0.7,2.903915160462394
41,0.3,0.8,1.1443638446095985
42,0.3,0.9,0.3567777062141282
43,0.3,0.99,0.167259692388788
44,0.4,0.01,0.28751838536494884
45,0.4,0.1,0.20609864413758516
46,0.4,0.2,0.23728853619920393
47,0.4,0.3,0.13718870166270478
48,0.4,0.4,0.07069456155925301
49,0.4,0.5,0.0371878311444147
50,0.4,0.6,2.060659884728464
51,0.4,0.7,2.028978766667075
52,0.4,0.8,1.125572251952573
53,0.4,0.9,0.7735211032549473
54,0.4,0.99,0.44956418380789065
55,0.5,0.01,1.4588045136508887
56,0.5,0.1,1.4483083512532158
57,0.5,0.2,1.5450853330651952
58,0.5,0.3,1.769079624505467
59,0.5,0.4,1.3930917691874176
60,0.5,0.5,0.33168586601136163
61,0.5,0.6,1.477742652408921
62,0.5,0.7,1.9331234156343233
63,0.5,0.8,1.555830098212908
64,0.5,0.9,1.613286020948892
65,0.5,0.99,1.1644824997583234
66,0.6,0.01,0.43079827308847735
67,0.6,0.1,0.5849277583839326
68,0.6,0.2,0.9713738059722847
69,0.6,0.3,1.927953054173883
70,0.6,0.4,2.5928605525727955
71,0.6,0.5,0.10770172118245713
72,0.6,0.6,0.1287508530836211
73,0.6,0.7,0.19604611729128052
74,0.6,0.8,0.17036529119765362
75,0.6,0.9,0.2518378001012842
76,0.6,0.99,0.26227936258341306
77,0.7,0.01,0.2590439210017764
78,0.7,0.1,0.39144717648472305
79,0.7,0.2,1.0866187121902648
80,0.7,0.3,2.3669252070455604
81,0.7,0.4,0.2279907463393503
82,0.7,0.5,0.007885721400201
83,0.7,0.6,0.002986018751948756
84,0.7,0.7,0.003961341697264456
85,0.7,0.8,0.005054359742423155
86,0.7,0.9,0.00975093096368113
87,0.7,0.99,0.01869937722508897
88,0.8,0.01,0.07133191426560113
89,0.8,0.1,0.4352055023813296
90,0.8,0.2,1.808278519791287
91,0.8,0.3,0.3353031022304939
92,0.8,0.4,0.00926241538589987
93,0.8,0.5,0.0006314076804318951
94,0.8,0.6,0.00032596403536023783
95,0.8,0.7,0.0002589954639961585
96,0.8,0.8,0.00022339574244053015
97,0.8,0.9,0.0005061337635919903
98,0.8,0.99,0.0011706405983234766
99,0.9,0.01,0.15739298432166604
100,0.9,0.1,1.7088248238413726
101,0.9,0.2,0.18462150939605668
102,0.9,0.3,0.0038958278449530022
103,0.9,0.4,0.0006833839077311227
104,0.9,0.5,0.00030198555148273876
105,0.9,0.6,0.00016902006344621934
106,0.9,0.7,9.157864080218605e-05
107,0.9,0.8,4.859951014228154e-05
108,0.9,0.9,6.143863044139454e-05
109,0.9,0.99,4.2644343395194096e-05
110,0.99,0.01,1.458750978272464
111,0.99,0.1,0.027286527998013163
112,0.99,0.2,0.0008849524869071733
113,0.99,0.3,0.00020476670775785384
114,0.99,0.4,8.73913033523259e-05
115,0.99,0.5,7.727992700340468e-05
116,0.99,0.6,3.939806163091075e-05
117,0.99,0.7,2.443968462289051e-05
118,0.99,0.8,1.57934289375129e-05
119,0.99,0.9,1.1687915634458884e-05
120,0.99,0.99,6.7714267829143425e-06
