,P,cost,value
0,0.01,0.01,1.2519895777360834
1,0.01,0.1,1.3857816722315501
2,0.01,0.2,1.5465609661855524
3,0.01,0.3,1.4277214331191392
4,0.01,0.4,1.3803859447607594
5,0.01,0.5,1.427307536751312
6,0.01,0.6,1.6049012689030047
7,0.01,0.7,1.635897869976026
8,0.01,0.8,1.6932824096270858
9,0.01,0.9,2.2890280958215516
10,0.01,0.99,0.4456988206980127
11,0.1,0.01,1.327714407606744
12,0.1,0.1,1.3612339270372742
13,0.1,0.2,1.411028078638859
14,0.1,0.3,1.508846519086906
15,0.1,0.4,1.4771277561311804
16,0.1,0.5,1.5059330438851728
17,0.1,0.6,1.678704756861282
18,0.1,0.7,1.8827021438137224
19,0.1,0.8,1.820808137720634
20,0.1,0.9,0.308764924716349
21,0.1,0.99,1.5392553610963908
22,0.2,0.01,1.3961439224836885
23,0.2,0.1,1.165623689630155
24,0.2,0.2,1.2866019258858172
25,0.2,0.3,1.4449939215517014
26,0.2,0.4,1.3449867865595122
27,0.2,0.5,1.6030535499659282
28,0.2,0.6,1.76645458063169
29,0.2,0.7,1.7733613895397238
30,0.2,0.8,0.38063338443788125
31,0.2,0.9,1.5679371740587664
32,0.2,0.99,1.548086196286621
33,0.3,0.01,1.2280069307229047
34,0.3,0.1,1.3535850515066365
35,0.3,0.2,1.1722493117853245
36,0.3,0.3,1.5326690507933733
37,0.3,0.4,1.4374898244749388
38,0.3,0.5,1.7167286739982355
39,0.3,0.6,1.5867644757666048
40,0.3,0.7,0.24555593326067787
41,0.3,0.8,1.5520300705718792
42,0.3,0.9,1.639768762835116
43,0.3,0.99,1.4566060299561667
44,0.4,0.01,1.129428923053029
45,0.4,0.1,1.3721431388387637
46,0.4,0.2,1.4958141629077342
47,0.4,0.3,1.4683099804392579
48,0.4,0.4,1.5339202917591253
49,0.4,0.5,1.4307903264639443
50,0.4,0.6,0.31437656773094913
51,0.4,0.7,1.430873153374399
52,0.4,0.8,1.759802246949135
53,0.4,0.9,1.5618147762574577
54,0.4,0.99,1.41241249179908
55,0.5,0.01,1.4781326781124238
56,0.5,0.1,1.4441904697828047
57,0.5,0.2,1.5104394385286892
58,0.5,0.3,1.7747328509311469
59,0.5,0.4,1.3960369959689543
60,0.5,0.5,0.3321742357087115
61,0.5,0.6,1.4708248156697943
62,0.5,0.7,1.9752457038333069
63,0.5,0.8,1.5848209753791462
64,0.5,0.9,1.6243817636389615
65,0.5,0.99,1.1890659302146116
66,0.6,0.01,1.1992384321166174
67,0.6,0.1,1.4694428956821133
68,0.6,0.2,1.7152263738380693
69,0.6,0.3,1.4540612127423216
70,0.6,0.4,0.1853866959497888
71,0.6,0.5,1.31549410721491
72,0.6,0.6,1.6438376453197465
73,0.6,0.7,1.5988986413462865
74,0.6,0.8,1.4888703975477116
75,0.6,0.9,1.3430959508694804
76,0.6,0.99,1.420936546993171
77,0.7,0.01,1.5849279162774332
78,0.7,0.1,1.6738692374601682
79,0.7,0.2,1.427024988179062
80,0.7,0.3,0.1588190305298623
81,0.7,0.4,1.2845136563156538
82,0.7,0.5,1.765815843109335
83,0.7,0.6,1.4828419364555137
84,0.7,0.7,1.4833454740708352
85,0.7,0.8,1.3900534158826485
86,0.7,0.9,1.3513458195957817
87,0.7,0.99,1.2350000885689567
88,0.8,0.01,1.4623066295216536
89,0.8,0.1,1.5533398600459338
90,0.8,0.2,0.17538494338211488
91,0.8,0.3,1.61599322222642
92,0.8,0.4,1.7164560063107395
93,0.8,0.5,1.6398689931269452
94,0.8,0.6,1.6040086995273883
95,0.8,0.7,1.3579649882082645
96,0.8,0.8,1.3902688614551806
97,0.8,0.9,1.4119344325681018
98,0.8,0.99,1.3143426881690252
99,0.9,0.01,1.4278214641910854
100,0.9,0.1,0.10541891540478181
101,0.9,0.2,1.7524938386779851
102,0.9,0.3,1.7735245018897623
103,0.9,0.4,1.8259391061329042
104,0.9,0.5,1.5078090130489175
105,0.9,0.6,1.4761029601128695
106,0.9,0.7,1.5870066524910627
107,0.9,0.8,1.5498651206921146
108,0.9,0.9,1.4069613218567347
109,0.9,0.99,1.4909994413049277
110,0.99,0.01,0.013281116055505826
111,0.99,0.1,2.044938406789894
112,0.99,0.2,1.7846445558673012
113,0.99,0.3,1.7429317659654937
114,0.99,0.4,1.3934236893551257
115,0.99,0.5,1.3002162441509149
116,0.99,0.6,1.3147706389158056
117,0.99,0.7,1.5239892343042496
118,0.99,0.8,1.420499370714837
119,0.99,0.9,1.5050849852871742
120,0.99,0.99,1.4727232976465707
