,P,cost,value
0,0.01,0.01,0.7887700079400911
1,0.01,0.1,0.7240097142832471
2,0.01,0.2,0.8666496220258195
3,0.01,0.3,0.825492709090342
4,0.01,0.4,0.9763700442632893
5,0.01,0.5,0.8939584851316469
6,0.01,0.6,0.9241394885635829
7,0.01,0.7,1.110669260237627
8,0.01,0.8,1.167340567755932
9,0.01,0.9,1.7893715505072536
10,0.01,0.99,1.4993392348801806
11,0.1,0.01,0.2823778362391404
12,0.1,0.1,0.34118093286627216
13,0.1,0.2,0.33229310183425537
14,0.1,0.3,0.38688611964522285
15,0.1,0.4,0.4184444180065899
16,0.1,0.5,0.5477284431568352
17,0.1,0.6,0.642079368895325
18,0.1,0.7,0.8734935812521528
19,0.1,0.8,1.300228285194517
20,0.1,0.9,2.5670735120847055
21,0.1,0.99,0.03345006210268724
22,0.2,0.01,0.09665485175958302
23,0.2,0.1,0.13375259017595612
24,0.2,0.2,0.13770918927135836
25,0.2,0.3,0.24894623964873577
26,0.2,0.4,0.31068591732926676
27,0.2,0.5,0.3191918832788959
28,0.2,0.6,0.6332131401102926
29,0.2,0.7,1.1326400233077338
30,0.2,0.8,2.7853239762240256
31,0.2,0.9,0.07281278136859708
32,0.2,0.99,0.002698737184563857
33,0.3,0.01,0.052970018346373555
34,0.3,0.1,0.0618026095553087
35,0.3,0.2,0.1442559638130707
36,0.3,0.3,0.09962358260321927
37,0.3,0.4,0.22837512865063353
38,0.3,0.5,0.42846140801101723
39,0.3,0.6,1.0528736472642837
40,0.3,0.7,2.605662937277642
41,0.3,0.8,0.22524562462065456
42,0.3,0.9,0.0026124933131962697
43,0.3,0.99,0.0005814215689190956
44,0.4,0.01,0.0402824542334102
45,0.4,0.1,0.07345219072093861
46,0.4,0.2,0.09833791023070444
47,0.4,0.3,0.2738169372414766
48,0.4,0.4,0.32259794727171914
49,0.4,0.5,0.8377482636106847
50,0.4,0.6,2.436213333945056
51,0.4,0.7,0.47721546043583074
52,0.4,0.8,0.010897730616650876
53,0.4,0.9,0.00037147093641462064
54,0.4,0.99,0.00014755012598636542
55,0.5,0.01,0.027149438686307207
56,0.5,0.1,0.035236022308605265
57,0.5,0.2,0.14688977014560523
58,0.5,0.3,0.26632572669540383
59,0.5,0.4,0.8640591661782024
60,0.5,0.5,2.357446540380768
61,0.5,0.6,0.6065398844844339
62,0.5,0.7,0.03338823026449729
63,0.5,0.8,0.004696708325864871
64,0.5,0.9,0.00011982121019631117
65,0.5,0.99,8.65362628463958e-05
66,0.6,0.01,0.024558300050124448
67,0.6,0.1,0.05767904664160362
68,0.6,0.2,0.18976795553772383
69,0.6,0.3,0.67401541048615
70,0.6,0.4,2.4186813678260735
71,0.6,0.5,0.5507308151002076
72,0.6,0.6,0.04811816390152557
73,0.6,0.7,0.007141291345699002
74,0.6,0.8,0.0002502138341257563
75,0.6,0.9,6.170739017317273e-05
76,0.6,0.99,4.831249417479314e-05
77,0.7,0.01,0.03786854117671374
78,0.7,0.1,0.09332628868100826
79,0.7,0.2,0.44271517988827247
80,0.7,0.3,2.0479232795990394
81,0.7,0.4,0.570087468192813
82,0.7,0.5,0.06613685594364391
83,0.7,0.6,0.004790394667409328
84,0.7,0.7,0.0007775895675081542
85,0.7,0.8,0.00010710807906572114
86,0.7,0.9,4.9728056225142e-05
87,0.7,0.99,2.4086624369670596e-05
88,0.8,0.01,0.0803913470790672
89,0.8,0.1,0.3968952341714276
90,0.8,0.2,1.8515118347553292
91,0.8,0.3,0.40430357256560295
92,0.8,0.4,0.038671786184660606
93,0.8,0.5,0.0021706847711414155
94,0.8,0.6,0.000788009311393405
95,0.8,0.7,0.00012984760778673535
96,0.8,0.8,5.7910254890647725e-05
97,0.8,0.9,2.526166899022666e-05
98,0.8,0.99,2.2560081014318335e-05
99,0.9,0.01,0.11716379352746603
100,0.9,0.1,1.628009491043398
101,0.9,0.2,0.1936981483572489
102,0.9,0.3,0.01942620810626767
103,0.9,0.4,0.0017182972894975433
104,0.9,0.5,0.0003216603571951657
105,0.9,0.6,9.1878075722699e-05
106,0.9,0.7,6.17174041071423e-05
107,0.9,0.8,2.937248759685391e-05
108,0.9,0.9,2.179403716066742e-05
109,0.9,0.99,1.0092862784638482e-05
110,0.99,0.01,1.4070388243748246
111,0.99,0.1,0.01723042314711773
112,0.99,0.2,0.0006127455340310791
113,0.99,0.3,0.00019298287154218536
114,0.99,0.4,0.0001488942354243803
115,0.99,0.5,6.057774388078856e-05
116,0.99,0.6,4.791620174617147e-05
117,0.99,0.7,3.235682853511389e-05
118,0.99,0.8,1.4892621144385503e-05
119,0.99,0.9,1.0860514867934512e-05
120,0.99,0.99,7.67513367253304e-06
