,P,cost,value
0,0.01,0.01,1.3514896611587133
1,0.01,0.1,1.545819282511525
2,0.01,0.2,1.5742843288469721
3,0.01,0.3,1.461531081185678
4,0.01,0.4,1.471785376544443
5,0.01,0.5,1.4206884624938199
6,0.01,0.6,1.4987277510969486
7,0.01,0.7,1.4960682804662042
8,0.01,0.8,1.459473902592523
9,0.01,0.9,1.802921790580304
10,0.01,0.99,1.151563259684824
11,0.1,0.01,0.6705056704742931
12,0.1,0.1,0.8789378917353347
13,0.1,0.2,0.8412576626197148
14,0.1,0.3,0.8776639363204548
15,0.1,0.4,1.1132178141435594
16,0.1,0.5,1.0203216106129342
17,0.1,0.6,1.303177781097967
18,0.1,0.7,1.5192337196601917
19,0.1,0.8,1.9311506597884278
20,0.1,0.9,1.3868579263735226
21,0.1,0.99,0.6251798378272653
22,0.2,0.01,1.0748612087744152
23,0.2,0.1,0.889998537874347
24,0.2,0.2,1.0670911966463223
25,0.2,0.3,1.0071349667645628
26,0.2,0.4,1.2441268738246154
27,0.2,0.5,1.4374090480992474
28,0.2,0.6,1.79753182897374
29,0.2,0.7,2.0629647708483896
30,0.2,0.8,1.0579390717536579
31,0.2,0.9,0.8609761543435905
32,0.2,0.99,1.2751577512027206
33,0.3,0.01,1.0809955488983383
34,0.3,0.1,1.1513263278820733
35,0.3,0.2,1.222672540972727
36,0.3,0.3,1.4206876105779935
37,0.3,0.4,1.380805270655259
38,0.3,0.5,1.8716499541375096
39,0.3,0.6,1.9254226880038288
40,0.3,0.7,0.5321130897305805
41,0.3,0.8,1.084330770178244
42,0.3,0.9,1.388972897523613
43,0.3,0.99,1.3936671375378524
44,0.4,0.01,1.1202026082419274
45,0.4,0.1,1.32425257458284
46,0.4,0.2,1.416947733514696
47,0.4,0.3,1.4921683663907448
48,0.4,0.4,1.611652559848419
49,0.4,0.5,1.5090053526609126
50,0.4,0.6,0.45431427604883773
51,0.4,0.7,1.173877183201605
52,0.4,0.8,1.7511631277768005
53,0.4,0.9,1.4771838343169306
54,0.4,0.99,1.4733227338242476
55,0.5,0.01,1.4588045136508887
56,0.5,0.1,1.4483083512532158
57,0.5,0.2,1.5450853330651952
58,0.5,0.3,1.769079624505467
59,0.5,0.4,1.3930917691874176
60,0.5,0.5,0.33168586601136163
61,0.5,0.6,1.477742652408921
62,0.5,0.7,1.9331234156343233
63,0.5,0.8,1.555830098212908
64,0.5,0.9,1.613286020948892
65,0.5,0.99,1.1644824997583234
66,0.6,0.01,1.244464769506061
67,0.6,0.1,1.49075733562114
68,0.6,0.2,1.7448987123825255
69,0.6,0.3,1.2270674841860316
70,0.6,0.4,0.2427338951881686
71,0.6,0.5,1.541113356947419
72,0.6,0.6,1.6803206648764155
73,0.6,0.7,1.545405129627759
74,0.6,0.8,1.4952888556939827
75,0.6,0.9,1.3112119488154996
76,0.6,0.99,1.4257431568383596
77,0.7,0.01,1.5908949370346943
78,0.7,0.1,1.5672350567930426
79,0.7,0.2,0.9240698530321587
80,0.7,0.3,0.24787117819984905
81,0.7,0.4,1.5994109032551729
82,0.7,0.5,1.626294745497674
83,0.7,0.6,1.5491033040863658
84,0.7,0.7,1.433769668899103
85,0.7,0.8,1.28908787675829
86,0.7,0.9,1.272870014525638
87,0.7,0.99,1.0005965523195617
88,0.8,0.01,1.2305313387601322
89,0.8,0.1,0.8122053188689875
90,0.8,0.2,0.4123180114562832
91,0.8,0.3,2.07597935346532
92,0.8,0.4,1.761762790911265
93,0.8,0.5,1.470176032166131
94,0.8,0.6,1.513279445153066
95,0.8,0.7,1.0514832933732179
96,0.8,0.8,1.0282171831970481
97,0.8,0.9,1.1011201734758662
98,0.8,0.99,0.869182014706611
99,0.9,0.01,0.5977201754770376
100,0.9,0.1,0.5933170445670313
101,0.9,0.2,1.7617212507378834
102,0.9,0.3,1.4142192910384388
103,0.9,0.4,1.381252499212704
104,0.9,0.5,1.1080907055883116
105,0.9,0.6,0.9168042880256377
106,0.9,0.7,0.9761635766742162
107,0.9,0.8,0.7822772999123595
108,0.9,0.9,0.7975152738282549
109,0.9,0.99,0.7112170225731619
110,0.99,0.01,0.060019569644510884
111,0.99,0.1,1.808707365003359
112,0.99,0.2,1.5065669603421952
113,0.99,0.3,1.5703114322049903
114,0.99,0.4,1.4599887948386585
115,0.99,0.5,1.4122538446454047
116,0.99,0.6,1.416990222703193
117,0.99,0.7,1.5336728972637927
118,0.99,0.8,1.3793998411622095
119,0.99,0.9,1.5303053147588201
120,0.99,0.99,1.484004232630919
