,P,cost,value
0,0.01,0.01,1.2339225309723887
1,0.01,0.1,1.1466405195418055
2,0.01,0.2,1.1112792286962319
3,0.01,0.3,1.1702821182479952
4,0.01,0.4,1.1688237542108868
5,0.01,0.5,1.2119390184433234
6,0.01,0.6,1.4244627092588322
7,0.01,0.7,1.4886620461225333
8,0.01,0.8,1.5975466636611557
9,0.01,0.9,1.8332986435159284
10,0.01,0.99,0.4662440131753899
11,0.1,0.01,1.930898345908516
12,0.1,0.1,1.5575869082180882
13,0.1,0.2,1.6737776026590243
14,0.1,0.3,2.0540434263388088
15,0.1,0.4,1.7926749188983246
16,0.1,0.5,1.8997204043673914
17,0.1,0.6,2.1960483418038454
18,0.1,0.7,1.7607114196134
19,0.1,0.8,1.304030309818559
20,0.1,0.9,1.2706844382150526
21,0.1,0.99,0.8299668827356907
22,0.2,0.01,2.2612688133775256
23,0.2,0.1,2.139518791879294
24,0.2,0.2,2.8963071815342527
25,0.2,0.3,2.24468662935559
26,0.2,0.4,2.191029154090655
27,0.2,0.5,2.2379934546475897
28,0.2,0.6,2.1743917973403577
29,0.2,0.7,1.274837964018166
30,0.2,0.8,1.2005921200387293
31,0.2,0.9,1.149691082205411
32,0.2,0.99,1.1411018213390347
33,0.3,0.01,2.636520763479367
34,0.3,0.1,2.553019282670965
35,0.3,0.2,2.1105785102602166
36,0.3,0.3,2.2468416988760556
37,0.3,0.4,2.2849418793710363
38,0.3,0.5,1.6678514765664216
39,0.3,0.6,1.0541213351244285
40,0.3,0.7,1.0378105939917768
41,0.3,0.8,1.2742059383197146
42,0.3,0.9,1.035938359027812
43,0.3,0.99,1.048603240862803
44,0.4,0.01,2.1500197776242684
45,0.4,0.1,2.452307008446763
46,0.4,0.2,2.301128402811562
47,0.4,0.3,1.8170504977478794
48,0.4,0.4,1.2916537187860577
49,0.4,0.5,1.064079207004465
50,0.4,0.6,1.0459071797498325
51,0.4,0.7,1.3130852266158823
52,0.4,0.8,1.19066320408476
53,0.4,0.9,1.1280855722185754
54,0.4,0.99,1.205914077758859
55,0.5,0.01,1.877390761527003
56,0.5,0.1,2.104137777970098
57,0.5,0.2,1.9575809428794861
58,0.5,0.3,1.7404919779753636
59,0.5,0.4,1.0827262897819214
60,0.5,0.5,1.1106349081755775
61,0.5,0.6,1.095631437264333
62,0.5,0.7,1.3353220382483453
63,0.5,0.8,1.1568701296494588
64,0.5,0.9,1.1917718169713767
65,0.5,0.99,1.3679686388426215
66,0.6,0.01,1.5121156304755499
67,0.6,0.1,1.4221710209308083
68,0.6,0.2,1.450744860397418
69,0.6,0.3,0.7064791427673554
70,0.6,0.4,1.0155040874770382
71,0.6,0.5,0.7344857517492119
72,0.6,0.6,1.0537175522639277
73,0.6,0.7,1.0411757431971211
74,0.6,0.8,1.112619065111314
75,0.6,0.9,1.0103533556034086
76,0.6,0.99,1.0618455625287972
77,0.7,0.01,1.127446547793072
78,0.7,0.1,1.2403454723964265
79,0.7,0.2,0.6639949748757356
80,0.7,0.3,0.9053142692994
81,0.7,0.4,0.8661118590103928
82,0.7,0.5,1.0365974427885392
83,0.7,0.6,1.0690577692121248
84,0.7,0.7,1.0185918560513567
85,0.7,0.8,1.072599637695534
86,0.7,0.9,1.1401454582367252
87,0.7,0.99,1.0212593308004634
88,0.8,0.01,0.9010568760702782
89,0.8,0.1,0.6138826903676508
90,0.8,0.2,0.9364357311096116
91,0.8,0.3,0.9152591320480757
92,0.8,0.4,0.8879545192766267
93,0.8,0.5,1.0004706922607451
94,0.8,0.6,1.1351649120893845
95,0.8,0.7,1.129875627508648
96,0.8,0.8,0.9905556787811041
97,0.8,0.9,1.0410681034609464
98,0.8,0.99,0.8731563614466986
99,0.9,0.01,0.65245324617927
100,0.9,0.1,1.1283295717610067
101,0.9,0.2,0.9546342845855366
102,0.9,0.3,1.0024791814798042
103,0.9,0.4,0.9722788058220191
104,0.9,0.5,0.9955420441781195
105,0.9,0.6,0.9864186170267675
106,0.9,0.7,0.9240742823655511
107,0.9,0.8,0.9467190788295888
108,0.9,0.9,0.8733290628187593
109,0.9,0.99,0.8876137515824968
110,0.99,0.01,0.36457935893882076
111,0.99,0.1,0.9067238425289208
112,0.99,0.2,0.7747588672939125
113,0.99,0.3,0.7270692683525861
114,0.99,0.4,0.6346276562892432
115,0.99,0.5,0.5896465732365431
116,0.99,0.6,0.5633824992204055
117,0.99,0.7,0.4929485894434662
118,0.99,0.8,0.5344927360134208
119,0.99,0.9,0.5557475003550018
120,0.99,0.99,0.5211130339311033
