,P,cost,value
0,0.01,0.01,0.7840299005203627
1,0.01,0.1,0.7240590130943964
2,0.01,0.2,0.8650410335859037
3,0.01,0.3,0.8190351305892378
4,0.01,0.4,0.9702951589464726
5,0.01,0.5,0.8884118610983744
6,0.01,0.6,0.9167409013715968
7,0.01,0.7,1.1061173681048844
8,0.01,0.8,1.1633585531507746
9,0.01,0.9,1.7779324668118721
10,0.01,0.99,1.4988295539822727
11,0.1,0.01,0.5284309437646127
12,0.1,0.1,0.5904676208856268
13,0.1,0.2,0.5709526532659086
14,0.1,0.3,0.6147109831917179
15,0.1,0.4,0.6657463213733051
16,0.1,0.5,0.8435858641306627
17,0.1,0.6,0.9997841294571483
18,0.1,0.7,1.208141918192772
19,0.1,0.8,1.4727152071458116
20,0.1,0.9,2.255190382009076
21,0.1,0.99,0.2767393915825467
22,0.2,0.01,0.47348553763841594
23,0.2,0.1,0.5024562138603298
24,0.2,0.2,0.5121704701133794
25,0.2,0.3,0.734209050616111
26,0.2,0.4,0.8482605579837577
27,0.2,0.5,0.8330733758654933
28,0.2,0.6,1.2547389424163338
29,0.2,0.7,1.7798169978224028
30,0.2,0.8,2.2287665980097513
31,0.2,0.9,0.306178201136329
32,0.2,0.99,0.47883371310597883
33,0.3,0.01,0.4647437734704995
34,0.3,0.1,0.4688407320306801
35,0.3,0.2,0.7153907810320941
36,0.3,0.3,0.6151094002957835
37,0.3,0.4,1.0364954694763926
38,0.3,0.5,1.2550875777953654
39,0.3,0.6,1.655066534981052
40,0.3,0.7,2.048679574951331
41,0.3,0.8,0.38871930232479374
42,0.3,0.9,0.5481471234970933
43,0.3,0.99,0.6331246463978037
44,0.4,0.01,0.5249311059184348
45,0.4,0.1,0.7235958853756265
46,0.4,0.2,0.6243479414219574
47,0.4,0.3,1.1116697678318634
48,0.4,0.4,1.307610388509176
49,0.4,0.5,1.4591481292445474
50,0.4,0.6,2.0872618511874004
51,0.4,0.7,0.3986574095165408
52,0.4,0.8,0.6649824656172834
53,0.4,0.9,0.654263695922196
54,0.4,0.99,0.7072047120923303
55,0.5,0.01,0.5875865319635514
56,0.5,0.1,0.685765354853805
57,0.5,0.2,1.0148574977507174
58,0.5,0.3,1.3004855485430176
59,0.5,0.4,1.620756999505958
60,0.5,0.5,1.8793142619874679
61,0.5,0.6,0.3152391635731528
62,0.5,0.7,0.6685574617396233
63,0.5,0.8,0.6647810511666851
64,0.5,0.9,0.6368412836817408
65,0.5,0.99,0.7004612542453365
66,0.6,0.01,0.46568559375318763
67,0.6,0.1,0.883192243155666
68,0.6,0.2,1.3357431822275843
69,0.6,0.3,1.5277643971491695
70,0.6,0.4,1.8322959754864898
71,0.6,0.5,0.3099355541338417
72,0.6,0.6,0.5485838231266903
73,0.6,0.7,0.6663901799281187
74,0.6,0.8,0.8142207108867954
75,0.6,0.9,0.7453286230739603
76,0.6,0.99,0.7049467206178178
77,0.7,0.01,0.7568801890470743
78,0.7,0.1,1.162394002411872
79,0.7,0.2,1.5278865951049891
80,0.7,0.3,1.3456484867080842
81,0.7,0.4,0.33978338644091943
82,0.7,0.5,0.6383744671253766
83,0.7,0.6,0.7605255760379408
84,0.7,0.7,0.8298026460813095
85,0.7,0.8,0.6881243946628377
86,0.7,0.9,0.7419216290070454
87,0.7,0.99,0.801025884346458
88,0.8,0.01,1.0309674022725073
89,0.8,0.1,1.5652762092334918
90,0.8,0.2,1.4465640885258835
91,0.8,0.3,0.44805219113122363
92,0.8,0.4,0.6711887645966041
93,0.8,0.5,0.7049044885125179
94,0.8,0.6,0.7378017859116701
95,0.8,0.7,0.8560446289793819
96,0.8,0.8,0.771367710683788
97,0.8,0.9,0.7688944990231482
98,0.8,0.99,0.8048054396692488
99,0.9,0.01,1.3238851105246146
100,0.9,0.1,1.0420652987650658
101,0.9,0.2,0.6201155078428723
102,0.9,0.3,0.633923863367763
103,0.9,0.4,0.7442984763446364
104,0.9,0.5,0.8214279358862924
105,0.9,0.6,0.8082052985120213
106,0.9,0.7,0.7181394344098744
107,0.9,0.8,0.6973969596257285
108,0.9,0.9,0.6884454145230391
109,0.9,0.99,0.6019022570690964
110,0.99,0.01,0.3881432690168304
111,0.99,0.1,0.8533400492091281
112,0.99,0.2,0.8028012344491395
113,0.99,0.3,0.5859484826214624
114,0.99,0.4,0.6368695168968856
115,0.99,0.5,0.6399478407535797
116,0.99,0.6,0.6032102650266482
117,0.99,0.7,0.5250786784915857
118,0.99,0.8,0.47713655193578375
119,0.99,0.9,0.5007965975074462
120,0.99,0.99,0.555533548105972
