,P,cost,value
0,0.01,0.01,0.7909186563769262
1,0.01,0.1,0.9147381946680444
2,0.01,0.2,0.8573621086611507
3,0.01,0.3,0.8540170450643938
4,0.01,0.4,0.8976966248458813
5,0.01,0.5,1.1060619712625475
6,0.01,0.6,1.3011123818618868
7,0.01,0.7,1.7420877490550875
8,0.01,0.8,2.1498275235361026
9,0.01,0.9,2.652099927967005
10,0.01,0.99,2.2319350817636843
11,0.1,0.01,0.04949986393484258
12,0.1,0.1,0.04901525275696467
13,0.1,0.2,0.04822453918480524
14,0.1,0.3,0.06234290763889826
15,0.1,0.4,0.13033247292352815
16,0.1,0.5,0.08389782653253401
17,0.1,0.6,0.11889195421363437
18,0.1,0.7,0.30064284933379554
19,0.1,0.8,0.6564422409089709
20,0.1,0.9,2.7494030542916454
21,0.1,0.99,0.0023180712742341203
22,0.2,0.01,0.02303226665126315
23,0.2,0.1,0.02020118550562616
24,0.2,0.2,0.02509893532513975
25,0.2,0.3,0.03170956268663647
26,0.2,0.4,0.08153655381923293
27,0.2,0.5,0.08139742579063486
28,0.2,0.6,0.20703442969597458
29,0.2,0.7,0.7489182107913419
30,0.2,0.8,2.7198434281037183
31,0.2,0.9,0.1895613802194932
32,0.2,0.99,0.0002742122158922446
33,0.3,0.01,0.013494059592014124
34,0.3,0.1,0.019794439948961136
35,0.3,0.2,0.020922595090872107
36,0.3,0.3,0.026505200787604134
37,0.3,0.4,0.058404644780381196
38,0.3,0.5,0.3122496920820971
39,0.3,0.6,0.8039681246993342
40,0.3,0.7,2.8197402049184674
41,0.3,0.8,0.4722693554400572
42,0.3,0.9,0.009594498420417931
43,0.3,0.99,0.00010735580038753371
44,0.4,0.01,0.011171894002918351
45,0.4,0.1,0.017673526864275035
46,0.4,0.2,0.02376967489522778
47,0.4,0.3,0.04958252774897025
48,0.4,0.4,0.17648673934855325
49,0.4,0.5,0.5163106570052414
50,0.4,0.6,2.2796857203999705
51,0.4,0.7,0.654252744192274
52,0.4,0.8,0.011732111927161615
53,0.4,0.9,0.0005229543746230137
54,0.4,0.99,5.963661063891427e-05
55,0.5,0.01,0.01146900816291734
56,0.5,0.1,0.029219576573690963
57,0.5,0.2,0.05103950282989412
58,0.5,0.3,0.13446892585076797
59,0.5,0.4,0.7078314138322803
60,0.5,0.5,2.42635300870452
61,0.5,0.6,0.8380427234110926
62,0.5,0.7,0.029939758874898966
63,0.5,0.8,0.001798092068204295
64,0.5,0.9,0.00019388259020857248
65,0.5,0.99,4.172814583235023e-05
66,0.6,0.01,0.01113880211761545
67,0.6,0.1,0.02651610474751161
68,0.6,0.2,0.11619983401188946
69,0.6,0.3,0.4804152349500102
70,0.6,0.4,2.597511369344223
71,0.6,0.5,0.7109169866793636
72,0.6,0.6,0.05861706228421504
73,0.6,0.7,0.002148152754291503
74,0.6,0.8,0.0006621383353249138
75,0.6,0.9,5.07364903329458e-05
76,0.6,0.99,3.289840792412299e-05
77,0.7,0.01,0.022088785385059553
78,0.7,0.1,0.09477026795866915
79,0.7,0.2,0.4661566511937941
80,0.7,0.3,2.176793302376203
81,0.7,0.4,0.605631045461182
82,0.7,0.5,0.04735438896478267
83,0.7,0.6,0.0034188764662244344
84,0.7,0.7,0.0009091894460592548
85,0.7,0.8,0.0001421044269863287
86,0.7,0.9,5.8495537224685874e-05
87,0.7,0.99,1.970825945860159e-05
88,0.8,0.01,0.03152691795449254
89,0.8,0.1,0.2736538690395046
90,0.8,0.2,1.6795489536554902
91,0.8,0.3,0.5162393583977327
92,0.8,0.4,0.032268272885989095
93,0.8,0.5,0.002270742065891581
94,0.8,0.6,0.0016367829804980521
95,0.8,0.7,0.00015360927776268674
96,0.8,0.8,5.3733939587496933e-05
97,0.8,0.9,3.4322762302533706e-05
98,0.8,0.99,1.3904252403333705e-05
99,0.9,0.01,0.12157130702946475
100,0.9,0.1,1.6165359414498046
101,0.9,0.2,0.24334693140149583
102,0.9,0.3,0.00849522124743761
103,0.9,0.4,0.0017278651525730105
104,0.9,0.5,0.0005772107121494986
105,0.9,0.6,0.0002538086262145102
106,0.9,0.7,7.450241125781682e-05
107,0.9,0.8,2.7349183952859454e-05
108,0.9,0.9,1.49132138141677e-05
109,0.9,0.99,8.5224755256981e-06
110,0.99,0.01,1.4042088770932546
111,0.99,0.1,0.03189765193011688
112,0.99,0.2,0.0010909046297977267
113,0.99,0.3,0.00024924735643682804
114,0.99,0.4,9.22637601742275e-05
115,0.99,0.5,9.2123702700257e-05
116,0.99,0.6,4.0257170842423275e-05
117,0.99,0.7,2.4813308728213263e-05
118,0.99,0.8,1.582767062195322e-05
119,0.99,0.9,1.0205659227106785e-05
120,0.99,0.99,6.1066184937180885e-06
