,P,cost,value
0,0.01,0.01,1.5176444466243763e-09
1,0.01,0.1,9.103778047179176e-09
2,0.01,0.2,5.214556624079962e-09
3,0.01,0.3,1.5892894733995003e-07
4,0.01,0.4,4.0913848458197646e-07
5,0.01,0.5,3.437044111699294e-06
6,0.01,0.6,5.150449622432047e-06
7,0.01,0.7,4.319307967694634e-05
8,0.01,0.8,0.0003083622691857202
9,0.01,0.9,0.00652297454700418
10,0.01,0.99,3.8649616322953366
11,0.1,0.01,8.437570825595407e-08
12,0.1,0.1,8.988791406276739e-08
13,0.1,0.2,8.599351237105095e-07
14,0.1,0.3,6.021150800763716e-06
15,0.1,0.4,4.020147348950062e-05
16,0.1,0.5,5.374577212009364e-05
17,0.1,0.6,0.0006765005416738439
18,0.1,0.7,0.011332269946498236
19,0.1,0.8,0.149870720573745
20,0.1,0.9,2.7970139885655696
21,0.1,0.99,0.1374727795800813
22,0.2,0.01,7.455499624278396e-08
23,0.2,0.1,3.069131233202891e-07
24,0.2,0.2,3.5217083625547936e-06
25,0.2,0.3,5.508039096841546e-05
26,0.2,0.4,0.000415390442916436
27,0.2,0.5,0.001435285352065072
28,0.2,0.6,0.02475912366752745
29,0.2,0.7,0.5077677653756569
30,0.2,0.8,2.8481838121598995
31,0.2,0.9,0.46084854476675785
32,0.2,0.99,0.02926397103123223
33,0.3,0.01,2.4067974308036874e-07
34,0.3,0.1,2.750542996218914e-06
35,0.3,0.2,3.230185996648742e-05
36,0.3,0.3,0.00027218510517972673
37,0.3,0.4,0.0025745567403523775
38,0.3,0.5,0.04824706840964351
39,0.3,0.6,0.733251258811165
40,0.3,0.7,2.937347386275428
41,0.3,0.8,0.6006144189923115
42,0.3,0.9,0.10097470926583327
43,0.3,0.99,0.021092562518317846
44,0.4,0.01,4.2000747977218306e-07
45,0.4,0.1,6.03657382446719e-06
46,0.4,0.2,0.0001069235909645365
47,0.4,0.3,0.0010890344831189782
48,0.4,0.4,0.030877581441833817
49,0.4,0.5,0.5717502823078079
50,0.4,0.6,2.3762813786131813
51,0.4,0.7,0.6663240844810147
52,0.4,0.8,0.10358505847315998
53,0.4,0.9,0.037880138663652786
54,0.4,0.99,0.01746197322350706
55,0.5,0.01,1.2307217186674757e-06
56,0.5,0.1,4.474646719086116e-05
57,0.5,0.2,0.0010181769115017725
58,0.5,0.3,0.020395713441792397
59,0.5,0.4,0.7169705894803889
60,0.5,0.5,2.4749436605749384
61,0.5,0.6,0.8286744858346778
62,0.5,0.7,0.15121309455551862
63,0.5,0.8,0.04805563166981913
64,0.5,0.9,0.020166403279815934
65,0.5,0.99,0.01114624730425997
66,0.6,0.01,2.0866719100520966e-06
67,0.6,0.1,0.0001547826219655191
68,0.6,0.2,0.014386530752982157
69,0.6,0.3,0.38830931473545094
70,0.6,0.4,2.619825156435201
71,0.6,0.5,0.5878918441197788
72,0.6,0.6,0.21999152818966478
73,0.6,0.7,0.045310341261788074
74,0.6,0.8,0.023837222074459433
75,0.6,0.9,0.02185269162152083
76,0.6,0.99,0.010053659828602074
77,0.7,0.01,7.400770050095087e-06
78,0.7,0.1,0.0031500980850176184
79,0.7,0.2,0.3029616349205124
80,0.7,0.3,2.198637570800672
81,0.7,0.4,0.7301805759093349
82,0.7,0.5,0.1866062755277194
83,0.7,0.6,0.06315744959696507
84,0.7,0.7,0.041778793490318995
85,0.7,0.8,0.023261691255316172
86,0.7,0.9,0.01706388594264085
87,0.7,0.99,0.014256904586551822
88,0.8,0.01,2.601138666169141e-05
89,0.8,0.1,0.06427763036193923
90,0.8,0.2,1.9611438618504118
91,0.8,0.3,0.8982239527681046
92,0.8,0.4,0.24629207302900546
93,0.8,0.5,0.08544260477247947
94,0.8,0.6,0.07304850243840055
95,0.8,0.7,0.03157447963151067
96,0.8,0.8,0.028672277500849216
97,0.8,0.9,0.02053281795771023
98,0.8,0.99,0.0279325178238849
99,0.9,0.01,0.00019408019229021043
100,0.9,0.1,1.5991771187529888
101,0.9,0.2,0.6651186618022229
102,0.9,0.3,0.20619117412364454
103,0.9,0.4,0.1832800258168649
104,0.9,0.5,0.11705235810120147
105,0.9,0.6,0.08632714406554441
106,0.9,0.7,0.07276166283736082
107,0.9,0.8,0.06538395478774163
108,0.9,0.9,0.05782525010488728
109,0.9,0.99,0.04173666485935515
110,0.99,0.01,0.22294699586247188
111,0.99,0.1,2.6649153044175438
112,0.99,0.2,1.8962577451536922
113,0.99,0.3,1.8234760405892962
114,0.99,0.4,1.204959383745329
115,0.99,0.5,0.9956772202621613
116,0.99,0.6,0.8794249383793447
117,0.99,0.7,0.9821694127672718
118,0.99,0.8,0.9289339549258633
119,0.99,0.9,1.1510794210703825
120,0.99,0.99,1.2419121429135773
