,P,cost,value
0,0.01,0.01,9.999822593306808
1,0.01,0.1,9.999713275449526
2,0.01,0.2,9.999691442183916
3,0.01,0.3,9.99968970660206
4,0.01,0.4,9.999260527311842
5,0.01,0.5,9.998065535539297
6,0.01,0.6,9.997742640010859
7,0.01,0.7,9.996481664063614
8,0.01,0.8,9.989471664056296
9,0.01,0.9,9.943341306202877
10,0.01,0.99,8.689343431358065
11,0.1,0.01,9.999533315251199
12,0.1,0.1,9.997642949179683
13,0.1,0.2,9.99628677738461
14,0.1,0.3,9.993521008957279
15,0.1,0.4,9.988859430093362
16,0.1,0.5,9.982717813944701
17,0.1,0.6,9.962766866199539
18,0.1,0.7,9.919455604333422
19,0.1,0.8,9.402243026660148
20,0.1,0.9,7.027391364998888
21,0.1,0.99,9.727809846057959
22,0.2,0.01,9.999335771193751
23,0.2,0.1,9.994296181919761
24,0.2,0.2,9.99051638022231
25,0.2,0.3,9.981832784918957
26,0.2,0.4,9.968082132133363
27,0.2,0.5,9.936622780704326
28,0.2,0.6,9.853319496149068
29,0.2,0.7,9.346667201599347
30,0.2,0.8,6.4561752576562785
31,0.2,0.9,9.593666478963044
32,0.2,0.99,9.845749076400178
33,0.3,0.01,9.999094817890365
34,0.3,0.1,9.990280275764935
35,0.3,0.2,9.980362974019178
36,0.3,0.3,9.959886695661611
37,0.3,0.4,9.92246751133665
38,0.3,0.5,9.814532508116882
39,0.3,0.6,9.192004449863584
40,0.3,0.7,6.618099177870476
41,0.3,0.8,9.47691487029539
42,0.3,0.9,9.806389803452713
43,0.3,0.99,9.891322151618148
44,0.4,0.01,9.998814297804007
45,0.4,0.1,9.983702871242192
46,0.4,0.2,9.960695180699059
47,0.4,0.3,9.921529371713827
48,0.4,0.4,9.791328419707545
49,0.4,0.5,9.17409995205465
50,0.4,0.6,6.509511469563257
51,0.4,0.7,9.051061725327173
52,0.4,0.8,9.768097169543129
53,0.4,0.9,9.876668367445294
54,0.4,0.99,9.918439190187677
55,0.5,0.01,9.998399077419444
56,0.5,0.1,9.968804172273419
57,0.5,0.2,9.917688895701795
58,0.5,0.3,9.798806349776886
59,0.5,0.4,9.163984137872676
60,0.5,0.5,6.520690882651711
61,0.5,0.6,8.953947106268398
62,0.5,0.7,9.658615859840262
63,0.5,0.8,9.854535003942217
64,0.5,0.9,9.908663373087704
65,0.5,0.99,9.933920496527264
66,0.6,0.01,9.997738429735644
67,0.6,0.1,9.939938169569729
68,0.6,0.2,9.795086620137855
69,0.6,0.3,9.13707477503381
70,0.6,0.4,6.359569308292378
71,0.6,0.5,8.953842399520557
72,0.6,0.6,9.61851702655374
73,0.6,0.7,9.803087130063236
74,0.6,0.8,9.898318175731086
75,0.6,0.9,9.927366687008629
76,0.6,0.99,9.946706516920349
77,0.7,0.01,9.996479663711433
78,0.7,0.1,9.862753954623727
79,0.7,0.2,9.262513293310406
80,0.7,0.3,6.2311513015559505
81,0.7,0.4,8.889429305149324
82,0.7,0.5,9.595043312424988
83,0.7,0.6,9.793578174390762
84,0.7,0.7,9.868579373446186
85,0.7,0.8,9.921147496366377
86,0.7,0.9,9.940727799212052
87,0.7,0.99,9.952344022461947
88,0.8,0.01,9.993405703847525
89,0.8,0.1,9.49085897799182
90,0.8,0.2,5.929335853853921
91,0.8,0.3,8.919144887335438
92,0.8,0.4,9.60483760839417
93,0.8,0.5,9.785245155724855
94,0.8,0.6,9.863460282586638
95,0.8,0.7,9.901413583360457
96,0.8,0.8,9.936126475470267
97,0.8,0.9,9.950373255610492
98,0.8,0.99,9.958824737697652
99,0.9,0.01,9.977425014322584
100,0.9,0.1,5.7489424953728445
101,0.9,0.2,9.003619883271185
102,0.9,0.3,9.611673247401276
103,0.9,0.4,9.790750169703447
104,0.9,0.5,9.863020049209059
105,0.9,0.6,9.899961115896744
106,0.9,0.7,9.924488731675705
107,0.9,0.8,9.947049249140356
108,0.9,0.9,9.956639645402088
109,0.9,0.99,9.963289936456333
110,0.99,0.01,7.919256490298579
111,0.99,0.1,9.180327627674442
112,0.99,0.2,9.645381772923223
113,0.99,0.3,9.794388843564832
114,0.99,0.4,9.864809032188287
115,0.99,0.5,9.900582663644409
116,0.99,0.6,9.9220729092504
117,0.99,0.7,9.937011850301241
118,0.99,0.8,9.955465346534654
119,0.99,0.9,9.962820452194471
120,0.99,0.99,9.96860588148367
