,P,cost,value
0,0.01,0.01,5.1081945281630784e-05
1,0.01,0.1,0.00019427048100985355
2,0.01,0.2,0.0006949102276035476
3,0.01,0.3,0.002130541028162041
4,0.01,0.4,0.003970413522128127
5,0.01,0.5,0.007746994390466269
6,0.01,0.6,0.01764728024321934
7,0.01,0.7,0.04244869393912026
8,0.01,0.8,0.09893752788182458
9,0.01,0.9,2.128921191518254
10,0.01,0.99,1.7854807806732722
11,0.1,0.01,0.00010623890753862655
12,0.1,0.1,0.0008517351131352334
13,0.1,0.2,0.0029390531048084294
14,0.1,0.3,0.008219787297951472
15,0.1,0.4,0.016831730533213518
16,0.1,0.5,0.04379588647049743
17,0.1,0.6,0.08040262075919152
18,0.1,0.7,0.3619371682742295
19,0.1,0.8,1.2932549794559831
20,0.1,0.9,1.2102767428553987
21,0.1,0.99,0.2771966465005601
22,0.2,0.01,0.00016959155864655054
23,0.2,0.1,0.0011382789333070661
24,0.2,0.2,0.005179929432572469
25,0.2,0.3,0.013864208420900448
26,0.2,0.4,0.0630632957554094
27,0.2,0.5,0.1397109345397292
28,0.2,0.6,0.46206068815374624
29,0.2,0.7,1.695750662164198
30,0.2,0.8,0.9643310746748689
31,0.2,0.9,0.1971604513446629
32,0.2,0.99,0.09308526935985649
33,0.3,0.01,0.00020434992157204743
34,0.3,0.1,0.0018412764247126836
35,0.3,0.2,0.010487491879424861
36,0.3,0.3,0.04403174551634709
37,0.3,0.4,0.12770360243098733
38,0.3,0.5,0.5692250406722814
39,0.3,0.6,2.196613948532375
40,0.3,0.7,0.771303263958204
41,0.3,0.8,1.7546672417337028
42,0.3,0.9,0.10579886077992323
43,0.3,0.99,0.07213434407556082
44,0.4,0.01,0.00020544717638997087
45,0.4,0.1,0.002565322831889453
46,0.4,0.2,0.01858187962477141
47,0.4,0.3,0.09107076379248237
48,0.4,0.4,0.4084524376891354
49,0.4,0.5,2.1854616022085116
50,0.4,0.6,0.7289002135238699
51,0.4,0.7,1.8256528563865924
52,0.4,0.8,0.4273533001531845
53,0.4,0.9,0.06000304485771554
54,0.4,0.99,0.047968341040557874
55,0.5,0.01,0.00027331179635881796
56,0.5,0.1,0.004469628946273023
57,0.5,0.2,0.0344203977382867
58,0.5,0.3,0.2595673535992676
59,0.5,0.4,1.758786438479754
60,0.5,0.5,0.7148794839065219
61,0.5,0.6,2.208626061408342
62,0.5,0.7,0.4258901721721765
63,0.5,0.8,0.15288251750722778
64,0.5,0.9,0.04371560255102562
65,0.5,0.99,0.033199897733663726
66,0.6,0.01,0.0003318881283682321
67,0.6,0.1,0.008622031488295158
68,0.6,0.2,0.09449860428694619
69,0.6,0.3,0.9252226614032767
70,0.6,0.4,0.7620057509994731
71,0.6,0.5,1.3417024948251428
72,0.6,0.6,0.48739447228651145
73,0.6,0.7,0.17517951957101674
74,0.6,0.8,0.08998953128076116
75,0.6,0.9,0.03352883308711244
76,0.6,0.99,0.029310538843576345
77,0.7,0.01,0.00046938635948866705
78,0.7,0.1,0.02306501423551315
79,0.7,0.2,0.43383505266126826
80,0.7,0.3,0.6044616744848881
81,0.7,0.4,1.254005931452125
82,0.7,0.5,0.41521029051655134
83,0.7,0.6,0.17713784077737355
84,0.7,0.7,0.09170245042122195
85,0.7,0.8,0.052456383142286
86,0.7,0.9,0.02371191575206913
87,0.7,0.99,0.025873698607310258
88,0.8,0.01,0.0008293138483016532
89,0.8,0.1,0.09056550745585888
90,0.8,0.2,0.5846497000485464
91,0.8,0.3,0.6250165649183749
92,0.8,0.4,0.2695101863149757
93,0.8,0.5,0.16051834751174002
94,0.8,0.6,0.08392854961565283
95,0.8,0.7,0.05644978700724006
96,0.8,0.8,0.0369704908155955
97,0.8,0.9,0.022287142568424984
98,0.8,0.99,0.01868347664112806
99,0.9,0.01,0.002387967984842363
100,0.9,0.1,0.5393968697604757
101,0.9,0.2,0.20432812072233453
102,0.9,0.3,0.1522663778756712
103,0.9,0.4,0.10469057285969285
104,0.9,0.5,0.06856506448856303
105,0.9,0.6,0.044749591821880486
106,0.9,0.7,0.0390330969622879
107,0.9,0.8,0.028094510577445737
108,0.9,0.9,0.02038721122597812
109,0.9,0.99,0.01759474349153875
110,0.99,0.01,0.30644100893031867
111,0.99,0.1,0.05796695600485095
112,0.99,0.2,0.053349595524333146
113,0.99,0.3,0.04932318638877922
114,0.99,0.4,0.05478993865303996
115,0.99,0.5,0.03948100985254336
116,0.99,0.6,0.038790353354376125
117,0.99,0.7,0.03289748639966179
118,0.99,0.8,0.02273380941846606
119,0.99,0.9,0.01631345237653866
120,0.99,0.99,0.015542184776537042
