,P,cost,value
0,0.01,0.01,9.925378962036358
1,0.01,0.1,9.924559996783803
2,0.01,0.2,9.923808881133422
3,0.01,0.3,9.923050208334118
4,0.01,0.4,9.923444012810505
5,0.01,0.5,9.923389980490919
6,0.01,0.6,9.92080815162868
7,0.01,0.7,9.923769556906215
8,0.01,0.8,9.92046318845803
9,0.01,0.9,9.91274113751546
10,0.01,0.99,3.817585340623615
11,0.1,0.01,9.923626784636618
12,0.1,0.1,9.922269354383946
13,0.1,0.2,9.922710682695243
14,0.1,0.3,9.919616812710922
15,0.1,0.4,9.917356949753685
16,0.1,0.5,9.916867760450208
17,0.1,0.6,9.910728681120883
18,0.1,0.7,9.901396664409491
19,0.1,0.8,9.86881296750187
20,0.1,0.9,2.1561135492149357
21,0.1,0.99,
22,0.2,0.01,9.922184456598274
23,0.2,0.1,9.919178991774753
24,0.2,0.2,9.916673182130111
25,0.2,0.3,9.909922558539217
26,0.2,0.4,9.906233558230573
27,0.2,0.5,9.89422347292135
28,0.2,0.6,9.866100543696172
29,0.2,0.7,9.710872205623446
30,0.2,0.8,2.9942598187805247
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.913862580247045
34,0.3,0.1,9.908945227512293
35,0.3,0.2,9.90427387175851
36,0.3,0.3,9.89639641793649
37,0.3,0.4,9.872806485455314
38,0.3,0.5,9.838935733968011
39,0.3,0.6,9.616927095918463
40,0.3,0.7,3.2861461268774024
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.891485501624986
45,0.4,0.1,9.884552879127424
46,0.4,0.2,9.8673272271941
47,0.4,0.3,9.837855185530476
48,0.4,0.4,9.782720571179294
49,0.4,0.5,9.595569775611551
50,0.4,0.6,5.787307767956276
51,0.4,0.7,5.008603373376904
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.814316181839938
56,0.5,0.1,9.80154802126004
57,0.5,0.2,9.73817336301276
58,0.5,0.3,9.571622762592401
59,0.5,0.4,9.128436256275718
60,0.5,0.5,8.082943402562234
61,0.5,0.6,9.31299738099191
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.533602211308654
67,0.6,0.1,9.409300080515695
68,0.6,0.2,8.71049807310433
69,0.6,0.3,4.9536206766943645
70,0.6,0.4,5.318385004043461
71,0.6,0.5,9.766052946134018
72,0.6,0.6,9.892728385354122
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,8.571696697607694
78,0.7,0.1,6.986820400314011
79,0.7,0.2,-1.700642553272533
80,0.7,0.3,3.5749340573079555
81,0.7,0.4,9.68573927860958
82,0.7,0.5,9.935391939072067
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,6.320310726180368
89,0.8,0.1,-3.2522471243607995
90,0.8,0.2,3.0084528988124815
91,0.8,0.3,9.681089805587757
92,0.8,0.4,9.938584599236211
93,0.8,0.5,9.96771757385996
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,2.622859205512724
100,0.9,0.1,2.3152770969785994
101,0.9,0.2,9.77938398618721
102,0.9,0.3,9.952111384892913
103,0.9,0.4,9.974020872724287
104,0.9,0.5,9.979365870432066
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,4.167594226918351
111,0.99,0.1,9.958207439484497
112,0.99,0.2,9.98160451367835
113,0.99,0.3,9.985166136758426
114,0.99,0.4,9.98594502689847
115,0.99,0.5,9.986054046735017
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
