,P,cost,value
0,0.01,0.01,-5.103193136972536
1,0.01,0.1,-5.131957867211865
2,0.01,0.2,-5.1254653886755195
3,0.01,0.3,-5.155622505989776
4,0.01,0.4,-5.00774955218386
5,0.01,0.5,-5.0572017478431155
6,0.01,0.6,-5.154810983280394
7,0.01,0.7,-5.071790943594527
8,0.01,0.8,-5.068545674400099
9,0.01,0.9,-5.021455957105713
10,0.01,0.99,6.731579344583722
11,0.1,0.01,-9.074984455852555
12,0.1,0.1,-9.05301178340388
13,0.1,0.2,-9.047936079988034
14,0.1,0.3,-9.053056558983956
15,0.1,0.4,-9.018067446094364
16,0.1,0.5,-9.016427626625404
17,0.1,0.6,-8.970668094473615
18,0.1,0.7,-8.861321161741301
19,0.1,0.8,-8.60016771251363
20,0.1,0.9,2.8957566579228655
21,0.1,0.99,
22,0.2,0.01,-9.218268034808789
23,0.2,0.1,-9.21683574740099
24,0.2,0.2,-9.19546776020314
25,0.2,0.3,-9.166745149543907
26,0.2,0.4,-9.122487398939645
27,0.2,0.5,-9.06438304440342
28,0.2,0.6,-8.830366655083008
29,0.2,0.7,-8.048204431574797
30,0.2,0.8,1.7777065761891881
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-9.267557617816985
34,0.3,0.1,-9.245287867501041
35,0.3,0.2,-9.18530535241488
36,0.3,0.3,-9.090138178977188
37,0.3,0.4,-8.98569312097627
38,0.3,0.5,-8.707151535508842
39,0.3,0.6,-7.6032664416702485
40,0.3,0.7,2.0547756447297627
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.268387958431541
45,0.4,0.1,-9.240859731642793
46,0.4,0.2,-9.152980246330307
47,0.4,0.3,-9.005304804918215
48,0.4,0.4,-8.653272953042013
49,0.4,0.5,-7.450654863324729
50,0.4,0.6,2.005477745167386
51,0.4,0.7,9.430629070003446
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.278700390360012
56,0.5,0.1,-9.184099138995162
57,0.5,0.2,-9.065682906185108
58,0.5,0.3,-8.70424545396223
59,0.5,0.4,-7.528860802483881
60,0.5,0.5,1.8018798650005468
61,0.5,0.6,9.373640692952744
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.275258084644687
67,0.6,0.1,-9.1340518385894
68,0.6,0.2,-8.807156596357725
69,0.6,0.3,-7.613750252071418
70,0.6,0.4,1.4824926738099855
71,0.6,0.5,9.370706098659
72,0.6,0.6,9.816090692327013
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.27843108243916
78,0.7,0.1,-9.009481844975811
79,0.7,0.2,-7.8052947446705945
80,0.7,0.3,1.1043573702978906
81,0.7,0.4,9.410757037005663
82,0.7,0.5,9.843398002686076
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.209640625878672
89,0.8,0.1,-8.354077056447428
90,0.8,0.2,1.36224046823979
91,0.8,0.3,9.536464299177839
92,0.8,0.4,9.881332185896433
93,0.8,0.5,9.912080897982417
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-8.921485740650354
100,0.9,0.1,1.1152188784314334
101,0.9,0.2,9.705483977911753
102,0.9,0.3,9.931221326573459
103,0.9,0.4,9.948190405273472
104,0.9,0.5,9.944769760489297
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.7288542833186685
111,0.99,0.1,9.940276893120195
112,0.99,0.2,9.979438081296859
113,0.99,0.3,9.982534172325625
114,0.99,0.4,9.982869032460881
115,0.99,0.5,9.982219334949608
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
