,P,cost,value
0,0.01,0.01,9.918283831285098
1,0.01,0.1,9.918664001358945
2,0.01,0.2,9.91959657019136
3,0.01,0.3,9.917743388845977
4,0.01,0.4,9.91772950584335
5,0.01,0.5,9.917632257940948
6,0.01,0.6,9.918720152244042
7,0.01,0.7,9.918299013406223
8,0.01,0.8,9.91750027672444
9,0.01,0.9,9.920125465920243
10,0.01,0.99,0.8849847365582064
11,0.1,0.01,9.804609764732973
12,0.1,0.1,9.803230701144262
13,0.1,0.2,9.806830638274198
14,0.1,0.3,9.807058959759354
15,0.1,0.4,9.810006472029533
16,0.1,0.5,9.808349349203453
17,0.1,0.6,9.815375392235614
18,0.1,0.7,9.810336517883528
19,0.1,0.8,9.78922933767358
20,0.1,0.9,1.0125760965022659
21,0.1,0.99,
22,0.2,0.01,9.253952666562387
23,0.2,0.1,9.255275882184272
24,0.2,0.2,9.268775102193317
25,0.2,0.3,9.25554439355248
26,0.2,0.4,9.275427879013913
27,0.2,0.5,9.276453217435163
28,0.2,0.6,9.288959615961796
29,0.2,0.7,9.140194732633525
30,0.2,0.8,2.0682457398045746
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,7.787516585177996
34,0.3,0.1,7.800683546329284
35,0.3,0.2,7.799245288854289
36,0.3,0.3,7.85314278945809
37,0.3,0.4,7.872723264288474
38,0.3,0.5,7.9008242556836645
39,0.3,0.6,7.749324446883427
40,0.3,0.7,1.984797664269924
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,4.972786961984729
45,0.4,0.1,5.006036070825691
46,0.4,0.2,5.009924577955822
47,0.4,0.3,5.077264851450241
48,0.4,0.4,5.187433364365086
49,0.4,0.5,5.2870638500489715
50,0.4,0.6,2.3387523920808535
51,0.4,0.7,-3.0009576893197587
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.2944555701078073
56,0.5,0.1,0.3457169704065769
57,0.5,0.2,0.4462712877615692
58,0.5,0.3,0.6764960293742979
59,0.5,0.4,1.1930606205395484
60,0.5,0.5,2.5010941836571132
61,0.5,0.6,1.2834467728308327
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-4.358897430669396
67,0.6,0.1,-4.2354034912769425
68,0.6,0.2,-3.9367926471845993
69,0.6,0.3,-2.986759038728828
70,0.6,0.4,2.139657218426387
71,0.6,0.5,5.425836063921552
72,0.6,0.6,5.277831637099859
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-7.1923719181426335
78,0.7,0.1,-6.904849274033108
79,0.7,0.2,-5.7817998727512485
80,0.7,0.3,1.5857976393172948
81,0.7,0.4,7.81947841974082
82,0.7,0.5,7.996537813771613
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-8.584366472228059
89,0.8,0.1,-7.719156368316891
90,0.8,0.2,1.6070108272942782
91,0.8,0.3,9.098484070835994
92,0.8,0.4,9.373993018527141
93,0.8,0.5,9.363006294337893
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-8.82862522619283
100,0.9,0.1,1.1800718067610623
101,0.9,0.2,9.663577424201867
102,0.9,0.3,9.875692432687435
103,0.9,0.4,9.88936295758372
104,0.9,0.5,9.883825385387278
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.7311979862926974
111,0.99,0.1,9.940025363487674
112,0.99,0.2,9.979445760431558
113,0.99,0.3,9.982238394755246
114,0.99,0.4,9.982676549558406
115,0.99,0.5,9.982530879661075
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
