,P,cost,value
0,0.01,0.01,9.584338852817421
1,0.01,0.1,9.58625231828785
2,0.01,0.2,9.6123029916493
3,0.01,0.3,9.61174579807238
4,0.01,0.4,9.621124834195097
5,0.01,0.5,9.646401843601456
6,0.01,0.6,9.649802549788685
7,0.01,0.7,9.677417665035303
8,0.01,0.8,9.683507402619632
9,0.01,0.9,9.71037571238848
10,0.01,0.99,3.2438254765775074
11,0.1,0.01,9.386460058979653
12,0.1,0.1,9.480414908144542
13,0.1,0.2,9.548293776057452
14,0.1,0.3,9.571346261847808
15,0.1,0.4,9.558464351584318
16,0.1,0.5,9.511988493090836
17,0.1,0.6,9.378075726144328
18,0.1,0.7,9.017767547523313
19,0.1,0.8,7.229843159153547
20,0.1,0.9,6.9402570458250015
21,0.1,0.99,
22,0.2,0.01,9.106404808607312
23,0.2,0.1,9.515763470515399
24,0.2,0.2,9.596089354796067
25,0.2,0.3,9.545320122880398
26,0.2,0.4,9.413707024990597
27,0.2,0.5,9.03838694944559
28,0.2,0.6,7.811659138274334
29,0.2,0.7,2.1769808540946505
30,0.2,0.8,1.462707038305685
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,8.682398507983196
34,0.3,0.1,9.603495327378726
35,0.3,0.2,9.669032772060545
36,0.3,0.3,9.570490094566827
37,0.3,0.4,9.203519086680119
38,0.3,0.5,7.944694572532764
39,0.3,0.6,4.144139255856692
40,0.3,0.7,1.5258598858927988
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,7.796049248018423
45,0.4,0.1,9.65377804017081
46,0.4,0.2,9.726495151284013
47,0.4,0.3,9.583699011784482
48,0.4,0.4,9.066571466910677
49,0.4,0.5,8.192047828726954
50,0.4,0.6,3.863809871955673
51,0.4,0.7,9.468055595361292
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,6.909051746611245
56,0.5,0.1,9.801694267671925
57,0.5,0.2,9.796569140008284
58,0.5,0.3,9.659102240647341
59,0.5,0.4,9.287606030261259
60,0.5,0.5,8.077788745886709
61,0.5,0.6,9.417092498203704
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,8.553575660763936
67,0.6,0.1,9.881836330373586
68,0.6,0.2,9.824382363986853
69,0.6,0.3,9.541639266518423
70,0.6,0.4,7.629169484511793
71,0.6,0.5,9.511735839491182
72,0.6,0.6,9.876804860070054
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.528820948015493
78,0.7,0.1,9.875768394102328
79,0.7,0.2,9.675957685941622
80,0.7,0.3,1.8361016069970784
81,0.7,0.4,9.633679799962326
82,0.7,0.5,9.905051681537643
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.479024177569173
89,0.8,0.1,9.765410996683787
90,0.8,0.2,7.617893271335917
91,0.8,0.3,9.763514809800856
92,0.8,0.4,9.92790989078301
93,0.8,0.5,9.959710764757597
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.838237211480221
100,0.9,0.1,8.135823717907924
101,0.9,0.2,9.861793108732575
102,0.9,0.3,9.957448388208064
103,0.9,0.4,9.972596829561448
104,0.9,0.5,9.97684154631144
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.4018770695552556
111,0.99,0.1,9.969562471426311
112,0.99,0.2,9.982666431861096
113,0.99,0.3,9.985243571367558
114,0.99,0.4,9.985479828139297
115,0.99,0.5,9.985687305703848
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
