,P,cost,value
0,0.01,0.01,-2.8262830974518787
1,0.01,0.1,-2.6360270926132303
2,0.01,0.2,-2.6903008428289277
3,0.01,0.3,-2.556011054103423
4,0.01,0.4,-2.6515763388995777
5,0.01,0.5,-2.7071001354136404
6,0.01,0.6,-2.484018144186146
7,0.01,0.7,-2.6457611677815907
8,0.01,0.8,-2.6313949512459915
9,0.01,0.9,-2.6014948563188707
10,0.01,0.99,7.448828570005963
11,0.1,0.01,-4.82656623430214
12,0.1,0.1,-4.9449011366954565
13,0.1,0.2,-4.876283035963731
14,0.1,0.3,-4.965520995324893
15,0.1,0.4,-4.930640277914858
16,0.1,0.5,-4.849641300784887
17,0.1,0.6,-4.785212404626861
18,0.1,0.7,-4.607553525290286
19,0.1,0.8,-4.211759522160753
20,0.1,0.9,6.686674454358418
21,0.1,0.99,
22,0.2,0.01,-7.797070230781684
23,0.2,0.1,-7.819433489204911
24,0.2,0.2,-7.749085826442361
25,0.2,0.3,-7.731947096146361
26,0.2,0.4,-7.642383590701662
27,0.2,0.5,-7.517204813754304
28,0.2,0.6,-7.19746276700868
29,0.2,0.7,-6.148717571282248
30,0.2,0.8,4.0973149984825845
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-8.914986748611526
34,0.3,0.1,-8.869756283910217
35,0.3,0.2,-8.808949509322165
36,0.3,0.3,-8.73814331106968
37,0.3,0.4,-8.566458414653063
38,0.3,0.5,-8.227325606280544
39,0.3,0.6,-6.9926403559179064
40,0.3,0.7,3.3078230351509106
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.302557612202037
45,0.4,0.1,-9.264859591317325
46,0.4,0.2,-9.15867825441411
47,0.4,0.3,-8.995705336724395
48,0.4,0.4,-8.650264168769692
49,0.4,0.5,-7.3478259220962325
50,0.4,0.6,1.9243604541751178
51,0.4,0.7,9.588679994461573
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.491671589418893
56,0.5,0.1,-9.41214454384988
57,0.5,0.2,-9.262610978097758
58,0.5,0.3,-8.942595549112337
59,0.5,0.4,-7.704938203675807
60,0.5,0.5,1.702697780372364
61,0.5,0.6,9.392353233901925
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.565490874785013
67,0.6,0.1,-9.435571607329019
68,0.6,0.2,-9.132770075582489
69,0.6,0.3,-7.921082331739125
70,0.6,0.4,0.8317130164724007
71,0.6,0.5,9.292535085177198
72,0.6,0.6,9.879102937970105
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.59062961181877
78,0.7,0.1,-9.339066276540207
79,0.7,0.2,-8.34497314830816
80,0.7,0.3,0.836990507432187
81,0.7,0.4,9.27420210681709
82,0.7,0.5,9.863243623509671
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.503757998607835
89,0.8,0.1,-8.810612085086271
90,0.8,0.2,1.0438777509868529
91,0.8,0.3,9.380374255393978
92,0.8,0.4,9.876109043516083
93,0.8,0.5,9.95250511252162
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.17797128323381
100,0.9,0.1,0.34825155102464983
101,0.9,0.2,9.597982851456658
102,0.9,0.3,9.912297747342905
103,0.9,0.4,9.962720510957535
104,0.9,0.5,9.976135505975167
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.32295641451592627
111,0.99,0.1,9.924676624438103
112,0.99,0.2,9.976119179547974
113,0.99,0.3,9.983709249809642
114,0.99,0.4,9.98542810608059
115,0.99,0.5,9.985864304098687
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
