,P,cost,value
0,0.01,0.01,-1.6312547212178568
1,0.01,0.1,-1.6874450339593674
2,0.01,0.2,-1.7434153728732071
3,0.01,0.3,-1.7369289782971795
4,0.01,0.4,-1.5713572585236288
5,0.01,0.5,-1.5411715753472666
6,0.01,0.6,-1.758044505594421
7,0.01,0.7,-1.6274262059756552
8,0.01,0.8,-1.605697305227463
9,0.01,0.9,-1.5626059603691465
10,0.01,0.99,6.690660176980861
11,0.1,0.01,0.2554993521932446
12,0.1,0.1,0.2302477534064971
13,0.1,0.2,0.1817902324590719
14,0.1,0.3,0.279701725050833
15,0.1,0.4,0.32396709157719994
16,0.1,0.5,0.29848853526497926
17,0.1,0.6,0.32729586226690727
18,0.1,0.7,0.460883004012827
19,0.1,0.8,0.687836945474976
20,0.1,0.9,4.35772227269916
21,0.1,0.99,
22,0.2,0.01,0.32138462573530363
23,0.2,0.1,0.2837903814525112
24,0.2,0.2,0.3060443970934653
25,0.2,0.3,0.35630704590248674
26,0.2,0.4,0.4318209144565008
27,0.2,0.5,0.49316185564962706
28,0.2,0.6,0.6465066214690196
29,0.2,0.7,1.2806894260629464
30,0.2,0.8,3.618385365276713
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.30309965479483847
34,0.3,0.1,0.2865709195867112
35,0.3,0.2,0.3593492748762166
36,0.3,0.3,0.4758097813324209
37,0.3,0.4,0.5982604164404606
38,0.3,0.5,0.8214466096600054
39,0.3,0.6,1.4784131802236564
40,0.3,0.7,3.2910863447137038
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.3745774490787896
45,0.4,0.1,0.42023049633977105
46,0.4,0.2,0.4414880222687714
47,0.4,0.3,0.5845357989044587
48,0.4,0.4,0.8931064336328131
49,0.4,0.5,1.5651675030499577
50,0.4,0.6,3.255880202918213
51,0.4,0.7,1.6582502899310847
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.38888716489842245
56,0.5,0.1,0.453494105432786
57,0.5,0.2,0.5756668087046845
58,0.5,0.3,0.8883453925420716
59,0.5,0.4,1.5492150028376448
60,0.5,0.5,3.220012765736124
61,0.5,0.6,1.6850321570685243
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.4542623479448366
67,0.6,0.1,0.5696428467489985
68,0.6,0.2,0.8686258652996972
69,0.6,0.3,1.6450090143735006
70,0.6,0.4,3.1965982004648636
71,0.6,0.5,1.7440285166725307
72,0.6,0.6,0.9594016468929294
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.5576599739738113
78,0.7,0.1,0.8329381055381608
79,0.7,0.2,1.639701955402251
80,0.7,0.3,3.2764275890721506
81,0.7,0.4,1.675565306903771
82,0.7,0.5,0.9309164762619595
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.8495045788755184
89,0.8,0.1,1.5090201679363793
90,0.8,0.2,3.726438668108107
91,0.8,0.3,1.617926745802911
92,0.8,0.4,0.9318399462978355
93,0.8,0.5,0.6041428240592057
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.5556558053844651
100,0.9,0.1,4.392553476807668
101,0.9,0.2,1.4963546729508779
102,0.9,0.3,0.7777675326677911
103,0.9,0.4,0.4555174069761473
104,0.9,0.5,0.41612288758457794
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,6.749460107470071
111,0.99,0.1,-0.9520920977265758
112,0.99,0.2,-1.3960052480243492
113,0.99,0.3,-1.4763143563062877
114,0.99,0.4,-1.5215798365464297
115,0.99,0.5,-1.761790367829612
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
