,P,cost,value
0,0.01,0.01,9.923790702073617
1,0.01,0.1,9.923601972620835
2,0.01,0.2,9.924512296455573
3,0.01,0.3,9.92227519029424
4,0.01,0.4,9.92279881027391
5,0.01,0.5,9.923028443515584
6,0.01,0.6,9.923610787570734
7,0.01,0.7,9.923571065113531
8,0.01,0.8,9.922370714259376
9,0.01,0.9,9.924590286770234
10,0.01,0.99,0.7974138583499082
11,0.1,0.01,9.918971992816923
12,0.1,0.1,9.91794551215243
13,0.1,0.2,9.914073249129657
14,0.1,0.3,9.914644945407645
15,0.1,0.4,9.914657929828948
16,0.1,0.5,9.908949619641426
17,0.1,0.6,9.903111077672245
18,0.1,0.7,9.874780438582446
19,0.1,0.8,9.769797568170649
20,0.1,0.9,3.9249998680829985
21,0.1,0.99,
22,0.2,0.01,9.899547422172601
23,0.2,0.1,9.902753907433873
24,0.2,0.2,9.902299388603971
25,0.2,0.3,9.889808355673114
26,0.2,0.4,9.875810610919304
27,0.2,0.5,9.835332956433984
28,0.2,0.6,9.708713007153186
29,0.2,0.7,8.74548861090904
30,0.2,0.8,1.6523157538773636
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.826167830809892
34,0.3,0.1,9.878207187665845
35,0.3,0.2,9.878505951559552
36,0.3,0.3,9.84873189225437
37,0.3,0.4,9.768520633049295
38,0.3,0.5,9.479143675979726
39,0.3,0.6,7.911514268639922
40,0.3,0.7,1.8403319838593701
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.486969772822139
45,0.4,0.1,9.82601578268435
46,0.4,0.2,9.827753521254559
47,0.4,0.3,9.760336855971106
48,0.4,0.4,9.48195539341719
49,0.4,0.5,8.70092924832277
50,0.4,0.6,3.558084402306328
51,0.4,0.7,9.136522740026876
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,6.968671291207597
56,0.5,0.1,9.798750057930999
57,0.5,0.2,9.791817733014428
58,0.5,0.3,9.669750417784797
59,0.5,0.4,9.274410939233896
60,0.5,0.5,8.151937803003385
61,0.5,0.6,9.419040742689074
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.8782334624734607
67,0.6,0.1,9.86082705653698
68,0.6,0.2,9.799300787394268
69,0.6,0.3,9.526870017289667
70,0.6,0.4,7.827513415973197
71,0.6,0.5,9.59288535544302
72,0.6,0.6,9.896726980859892
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.9235438932096622
78,0.7,0.1,9.86142499743069
79,0.7,0.2,9.615105724749483
80,0.7,0.3,1.3624185773764137
81,0.7,0.4,9.694261181831283
82,0.7,0.5,9.91876839604227
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-5.296742444676318
89,0.8,0.1,9.728601618228573
90,0.8,0.2,7.93882733460244
91,0.8,0.3,9.79128331816144
92,0.8,0.4,9.938336668489665
93,0.8,0.5,9.96494480417821
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.830942620144398
100,0.9,0.1,8.156217701253084
101,0.9,0.2,9.879037826020443
102,0.9,0.3,9.95970093762516
103,0.9,0.4,9.974078357368443
104,0.9,0.5,9.978689558901085
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5944135571089022
111,0.99,0.1,9.969451750083838
112,0.99,0.2,9.982737401602922
113,0.99,0.3,9.984703154376964
114,0.99,0.4,9.985812914784477
115,0.99,0.5,9.985864636017144
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
