,P,cost,value
0,0.01,0.01,9.923809410660304
1,0.01,0.1,9.924118296517298
2,0.01,0.2,9.925107712752864
3,0.01,0.3,9.922870858039008
4,0.01,0.4,9.923307265367106
5,0.01,0.5,9.92355890290125
6,0.01,0.6,9.924150153373613
7,0.01,0.7,9.92417862111066
8,0.01,0.8,9.922827493936566
9,0.01,0.9,9.924985871553073
10,0.01,0.99,0.7476382594721791
11,0.1,0.01,9.917002882279853
12,0.1,0.1,9.915976134939918
13,0.1,0.2,9.91672585244217
14,0.1,0.3,9.917093610795062
15,0.1,0.4,9.917373500162022
16,0.1,0.5,9.915276900492461
17,0.1,0.6,9.916100185454248
18,0.1,0.7,9.902460356171845
19,0.1,0.8,9.851979057087446
20,0.1,0.9,0.610681752142755
21,0.1,0.99,
22,0.2,0.01,9.893898874036257
23,0.2,0.1,9.895137115018672
24,0.2,0.2,9.897206656878053
25,0.2,0.3,9.895414204632655
26,0.2,0.4,9.897991370056017
27,0.2,0.5,9.895385437584904
28,0.2,0.6,9.866883174197987
29,0.2,0.7,9.627992955194163
30,0.2,0.8,1.6519432860404653
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.804494589065417
34,0.3,0.1,9.812936338175493
35,0.3,0.2,9.826363623580395
36,0.3,0.3,9.834942064703114
37,0.3,0.4,9.851027832670074
38,0.3,0.5,9.83586853775664
39,0.3,0.6,9.508332979449763
40,0.3,0.7,1.8390040443385882
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.264792571295068
45,0.4,0.1,9.30710075037769
46,0.4,0.2,9.358464004591172
47,0.4,0.3,9.458482344566656
48,0.4,0.4,9.58682434327467
49,0.4,0.5,9.609177309376737
50,0.4,0.6,3.5617029399550972
51,0.4,0.7,-6.082952150378286
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.935226876334666
56,0.5,0.1,1.0988220284191943
57,0.5,0.2,1.4385810802112406
58,0.5,0.3,2.1748829246647574
59,0.5,0.4,3.873710330676055
60,0.5,0.5,8.153179143621598
61,0.5,0.6,4.226537260911092
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-8.355282089026478
67,0.6,0.1,-8.130733165292243
68,0.6,0.2,-7.671344603485646
69,0.6,0.3,-6.108105513849119
70,0.6,0.4,3.302621935779903
71,0.6,0.5,9.766678593915533
72,0.6,0.6,9.699989399261506
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.232451074046434
78,0.7,0.1,-8.935139250834549
79,0.7,0.2,-7.6560449513107995
80,0.7,0.3,1.3647080831115856
81,0.7,0.4,9.574173498853714
82,0.7,0.5,9.9341193166954
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.350956296433978
89,0.8,0.1,-8.524594203596966
90,0.8,0.2,1.1462409943746934
91,0.8,0.3,9.52774997877546
92,0.8,0.4,9.92386009981351
93,0.8,0.5,9.967418849581012
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.096660216641945
100,0.9,0.1,0.7781963850377732
101,0.9,0.2,9.653436658872906
102,0.9,0.3,9.93501451212811
103,0.9,0.4,9.971237285128126
104,0.9,0.5,9.97927011002449
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5928670971914101
111,0.99,0.1,9.928292041917492
112,0.99,0.2,9.977596639641671
113,0.99,0.3,9.983557043605721
114,0.99,0.4,9.985725792590026
115,0.99,0.5,9.985975098941807
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
