,P,cost,value
0,0.01,0.01,9.919441905853718
1,0.01,0.1,9.9185814941861
2,0.01,0.2,9.917969430488379
3,0.01,0.3,9.91740176195375
4,0.01,0.4,9.917797669393282
5,0.01,0.5,9.917645557671436
6,0.01,0.6,9.916140679485775
7,0.01,0.7,9.91924217888784
8,0.01,0.8,9.91730805888309
9,0.01,0.9,9.918935189157736
10,0.01,0.99,0.16802281034361632
11,0.1,0.01,9.803152324618548
12,0.1,0.1,9.802176193838775
13,0.1,0.2,9.8039014698555
14,0.1,0.3,9.805906778948419
15,0.1,0.4,9.805832627586277
16,0.1,0.5,9.812935552985158
17,0.1,0.6,9.809674100985635
18,0.1,0.7,9.814564866356504
19,0.1,0.8,9.787895913532958
20,0.1,0.9,0.7904386514156121
21,0.1,0.99,
22,0.2,0.01,9.248017726285608
23,0.2,0.1,9.255533830262763
24,0.2,0.2,9.249674619288106
25,0.2,0.3,9.260021680010674
26,0.2,0.4,9.279891243503592
27,0.2,0.5,9.280356869968887
28,0.2,0.6,9.283587067383364
29,0.2,0.7,9.136959854350161
30,0.2,0.8,1.8280177824029187
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,7.781364270997539
34,0.3,0.1,7.8224544717353295
35,0.3,0.2,7.808290612537392
36,0.3,0.3,7.846966642942875
37,0.3,0.4,7.880205380633432
38,0.3,0.5,7.878510965333573
39,0.3,0.6,7.773808232794091
40,0.3,0.7,1.6475088758751
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,4.935462966974727
45,0.4,0.1,4.959645083697759
46,0.4,0.2,5.0232962393218585
47,0.4,0.3,5.09848908508665
48,0.4,0.4,5.187776165867197
49,0.4,0.5,5.300382350167347
50,0.4,0.6,2.3248397835014525
51,0.4,0.7,-2.9631276924342216
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.2734354450364347
56,0.5,0.1,0.3668730193735869
57,0.5,0.2,0.4428246416834034
58,0.5,0.3,0.6833165992114941
59,0.5,0.4,1.2614342282643787
60,0.5,0.5,2.3816016860451086
61,0.5,0.6,1.3154903681583432
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-4.352141658467841
67,0.6,0.1,-4.203588851724202
68,0.6,0.2,-3.895335212641917
69,0.6,0.3,-2.9263434203811083
70,0.6,0.4,2.1065565092559675
71,0.6,0.5,5.412624802265574
72,0.6,0.6,5.279956983099428
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-7.208447541774317
78,0.7,0.1,-6.878497259658057
79,0.7,0.2,-5.847574855105276
80,0.7,0.3,1.9662306225498793
81,0.7,0.4,7.811381841571987
82,0.7,0.5,7.982802671423805
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-8.589982763593703
89,0.8,0.1,-7.7849387261846665
90,0.8,0.2,1.8690973528349621
91,0.8,0.3,9.099619912466876
92,0.8,0.4,9.368963855952007
93,0.8,0.5,9.363960976612189
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-8.824175620179593
100,0.9,0.1,0.9411415614899493
101,0.9,0.2,9.658574665369965
102,0.9,0.3,9.874336008318235
103,0.9,0.4,9.885742987073545
104,0.9,0.5,9.882758390076692
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5079838218445246
111,0.99,0.1,9.941053326337006
112,0.99,0.2,9.979712050617946
113,0.99,0.3,9.983049978922448
114,0.99,0.4,9.982726977243656
115,0.99,0.5,9.982036604983472
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
