,P,cost,value
0,0.01,0.01,-1.0366804391701898
1,0.01,0.1,-0.8603040285064157
2,0.01,0.2,-0.9332624461571917
3,0.01,0.3,-0.881425720836656
4,0.01,0.4,-0.8889107814346402
5,0.01,0.5,-0.9399072680075327
6,0.01,0.6,-0.8367387070719762
7,0.01,0.7,-0.8690418364076635
8,0.01,0.8,-0.8831873165849735
9,0.01,0.9,-0.8647361479151171
10,0.01,0.99,8.354323099533286
11,0.1,0.01,-0.03504222826645238
12,0.1,0.1,-0.09386373236829496
13,0.1,0.2,0.022583912379342083
14,0.1,0.3,-0.06364435714780377
15,0.1,0.4,0.03209001448379195
16,0.1,0.5,0.10984832991470772
17,0.1,0.6,0.07771209152083358
18,0.1,0.7,0.30352010317533157
19,0.1,0.8,0.7920711674019008
20,0.1,0.9,8.089929443111984
21,0.1,0.99,
22,0.2,0.01,0.1696144256607636
23,0.2,0.1,0.1955070796534791
24,0.2,0.2,0.3282213955232469
25,0.2,0.3,0.35255206490171587
26,0.2,0.4,0.5181898164432404
27,0.2,0.5,0.5916070937826154
28,0.2,0.6,0.9813251612937139
29,0.2,0.7,2.393443787297474
30,0.2,0.8,8.03988719119595
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.4352715970092899
34,0.3,0.1,0.5456727355982987
35,0.3,0.2,0.5539668634549177
36,0.3,0.3,0.7209895122693206
37,0.3,0.4,1.0708798010379779
38,0.3,0.5,1.5818038539351498
39,0.3,0.6,3.2033717768755157
40,0.3,0.7,8.051912430950306
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6183958103265601
45,0.4,0.1,0.7594731196127307
46,0.4,0.2,0.9289065145889185
47,0.4,0.3,1.381044603930218
48,0.4,0.4,1.96760340883145
49,0.4,0.5,3.68759650988825
50,0.4,0.6,8.08115651125602
51,0.4,0.7,4.131938088039908
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.818736037842322
56,0.5,0.1,1.1738834468972854
57,0.5,0.2,1.4138308415562157
58,0.5,0.3,2.1343806770209497
59,0.5,0.4,3.886475573280885
60,0.5,0.5,7.917929550371441
61,0.5,0.6,4.049281837779452
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.2524554030396402
67,0.6,0.1,1.5691821083140323
68,0.6,0.2,2.1830365312006768
69,0.6,0.3,4.060985174336798
70,0.6,0.4,8.007872571276309
71,0.6,0.5,3.982487867436446
72,0.6,0.6,2.163375133835385
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4782828399179502
78,0.7,0.1,2.2309309792414704
79,0.7,0.2,3.8968462783044022
80,0.7,0.3,8.079665439831023
81,0.7,0.4,3.6481327890124304
82,0.7,0.5,1.794600691458079
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,2.0432311268995558
89,0.8,0.1,3.51704386326936
90,0.8,0.2,7.987716582669223
91,0.8,0.3,3.229084431114355
92,0.8,0.4,1.6120995969678409
93,0.8,0.5,1.1719184294259941
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.3491453785937852
100,0.9,0.1,8.212339873259497
101,0.9,0.2,2.0899514582508987
102,0.9,0.3,1.1152403184999324
103,0.9,0.4,0.5096688517374608
104,0.9,0.5,0.2912074906677975
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.396167593886076
111,0.99,0.1,0.058613710216311975
112,0.99,0.2,-0.6152624347934739
113,0.99,0.3,-0.7266905886284867
114,0.99,0.4,-0.7826649251012491
115,0.99,0.5,-0.8075124428826705
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
