,P,cost,value
0,0.01,0.01,-1.6197278434559106
1,0.01,0.1,-1.631510373427352
2,0.01,0.2,-1.5898531263118936
3,0.01,0.3,-1.6828416095944074
4,0.01,0.4,-1.5071075987630869
5,0.01,0.5,-1.614283482239844
6,0.01,0.6,-1.6221643432326918
7,0.01,0.7,-1.5638886141515074
8,0.01,0.8,-1.6226749343265636
9,0.01,0.9,-1.5443794772696595
10,0.01,0.99,7.743318509148151
11,0.1,0.01,-0.22266378788051422
12,0.1,0.1,-0.22040192736460681
13,0.1,0.2,-0.018686923343818614
14,0.1,0.3,-0.1445351752570963
15,0.1,0.4,-0.05170022223648617
16,0.1,0.5,-0.0947168417679648
17,0.1,0.6,-0.06854618118804064
18,0.1,0.7,0.22102106154219817
19,0.1,0.8,0.7276405115616575
20,0.1,0.9,7.375014338037339
21,0.1,0.99,
22,0.2,0.01,0.2609025300484873
23,0.2,0.1,0.2215778007626955
24,0.2,0.2,0.3820797583490629
25,0.2,0.3,0.4199466172759182
26,0.2,0.4,0.6656161188489429
27,0.2,0.5,0.7584842766869376
28,0.2,0.6,1.1003097480441995
29,0.2,0.7,2.1438846654434296
30,0.2,0.8,7.430388903972346
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.5873829382832131
34,0.3,0.1,0.5635708767482501
35,0.3,0.2,0.5988274642861049
36,0.3,0.3,0.9149639625434938
37,0.3,0.4,1.1515440019973913
38,0.3,0.5,1.6828404698533985
39,0.3,0.6,2.9571696987606693
40,0.3,0.7,7.4454059140379405
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.9853218892821668
45,0.4,0.1,0.9920987411435869
46,0.4,0.2,1.0024555783576974
47,0.4,0.3,1.4145089123408683
48,0.4,0.4,1.9921942994969082
49,0.4,0.5,3.583007220075009
50,0.4,0.6,7.501599635348356
51,0.4,0.7,3.647142227292747
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.165693454407379
56,0.5,0.1,1.1568081795829257
57,0.5,0.2,1.5553482010690853
58,0.5,0.3,2.1497155488689956
59,0.5,0.4,3.699502816929299
60,0.5,0.5,7.473120764023439
61,0.5,0.6,3.589442854752795
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.3772472812759629
67,0.6,0.1,1.5371343353460736
68,0.6,0.2,2.2055714171633984
69,0.6,0.3,3.696522479826884
70,0.6,0.4,7.531006540210088
71,0.6,0.5,3.4721922476083
72,0.6,0.6,1.8385271730209318
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.5258301253940525
78,0.7,0.1,2.179207026537969
79,0.7,0.2,3.824229893259423
80,0.7,0.3,7.471953941505757
81,0.7,0.4,3.1508604997982848
82,0.7,0.5,1.4837364398130373
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,2.3034484482736204
89,0.8,0.1,3.4612735244346355
90,0.8,0.2,7.406502243759045
91,0.8,0.3,2.6605503890333226
92,0.8,0.4,1.120622039972201
93,0.8,0.5,0.5490465915457261
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.4662822569511302
100,0.9,0.1,7.516776798806348
101,0.9,0.2,1.6607999058898193
102,0.9,0.3,0.4566740402796229
103,0.9,0.4,-0.15225364842734465
104,0.9,0.5,-0.28881419868380137
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.258157707347632
111,0.99,0.1,-1.8621873642379825
112,0.99,0.2,-2.334910059746144
113,0.99,0.3,-2.4064931587277076
114,0.99,0.4,-2.471618019394717
115,0.99,0.5,-2.7345220839642543
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
