,P,cost,value
0,0.01,0.01,-2.1891252680646027
1,0.01,0.1,-2.2429414230475113
2,0.01,0.2,-2.3033115863680202
3,0.01,0.3,-2.2738092587134737
4,0.01,0.4,-2.09887799386503
5,0.01,0.5,-2.0892733529320626
6,0.01,0.6,-2.3215071316132847
7,0.01,0.7,-2.172073915870087
8,0.01,0.8,-2.1333272062744983
9,0.01,0.9,-2.101896410445322
10,0.01,0.99,7.111202298927836
11,0.1,0.01,0.7029782847847338
12,0.1,0.1,0.686562477993442
13,0.1,0.2,0.5896751212054517
14,0.1,0.3,0.7184561713874438
15,0.1,0.4,0.8009051360667523
16,0.1,0.5,0.7494219653868411
17,0.1,0.6,0.8234526707897218
18,0.1,0.7,0.9690907986336634
19,0.1,0.8,1.208994262651075
20,0.1,0.9,5.567616857784205
21,0.1,0.99,
22,0.2,0.01,0.5764826843767425
23,0.2,0.1,0.515651108261487
24,0.2,0.2,0.5496408780954394
25,0.2,0.3,0.6003163065496513
26,0.2,0.4,0.6854767030906707
27,0.2,0.5,0.7506426231045917
28,0.2,0.6,0.9337110288201345
29,0.2,0.7,1.6603476557911616
30,0.2,0.8,4.262420999725635
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.4163238245577264
34,0.3,0.1,0.3925230208630332
35,0.3,0.2,0.4732421878625795
36,0.3,0.3,0.6033692576378287
37,0.3,0.4,0.7307629237824864
38,0.3,0.5,0.9637580763899024
39,0.3,0.6,1.6514333897596565
40,0.3,0.7,3.5218529155739295
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.41715594297636743
45,0.4,0.1,0.46238106155426406
46,0.4,0.2,0.4850927051671328
47,0.4,0.3,0.6254069043230208
48,0.4,0.4,0.9394571990329047
49,0.4,0.5,1.613217906904423
50,0.4,0.6,3.305877255413133
51,0.4,0.7,1.6465349631204276
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.3880850842566785
56,0.5,0.1,0.45127679850386304
57,0.5,0.2,0.5720835300614614
58,0.5,0.3,0.8847248022452239
59,0.5,0.4,1.5421801543720504
60,0.5,0.5,3.2100095983375403
61,0.5,0.6,1.6794208494388805
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.4249195100364572
67,0.6,0.1,0.5427214280541169
68,0.6,0.2,0.8474656138277734
69,0.6,0.3,1.6326830645962556
70,0.6,0.4,3.24401804248958
71,0.6,0.5,1.7951716506193174
72,0.6,0.6,1.0081181673914439
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.5017169341877715
78,0.7,0.1,0.7950875957745065
79,0.7,0.2,1.6702760869382216
80,0.7,0.3,3.5145162744705853
81,0.7,0.4,1.872666055168108
82,0.7,0.5,1.0827196161111479
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.7899980865891078
89,0.8,0.1,1.5584481122336988
90,0.8,0.2,4.345441924244314
91,0.8,0.3,2.0605205531773914
92,0.8,0.4,1.254790328289902
93,0.8,0.5,0.9122845048988213
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.6439182195487883
100,0.9,0.1,5.694770492721063
101,0.9,0.2,2.2620386286908003
102,0.9,0.3,1.3692438644500085
103,0.9,0.4,0.9136542166598236
104,0.9,0.5,0.9085696853947912
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.200111441411768
111,0.99,0.1,-1.4621594722107079
112,0.99,0.2,-1.9285393074782369
113,0.99,0.3,-2.0026383574460853
114,0.99,0.4,-2.0580341344365163
115,0.99,0.5,-2.319233039886705
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
