,P,cost,value
0,0.01,0.01,-0.6041438915215777
1,0.01,0.1,-0.6304179967678913
2,0.01,0.2,-0.6558473474405051
3,0.01,0.3,-0.6894348886515154
4,0.01,0.4,-0.48590334914174704
5,0.01,0.5,-0.5468939778441323
6,0.01,0.6,-0.6860631765448362
7,0.01,0.7,-0.5599735193303428
8,0.01,0.8,-0.5713006066065247
9,0.01,0.9,-0.5212231904113025
10,0.01,0.99,8.320949659793332
11,0.1,0.01,0.12202535423360017
12,0.1,0.1,0.05742054227962637
13,0.1,0.2,0.12263873492621327
14,0.1,0.3,0.17190223558395684
15,0.1,0.4,0.25373036042168945
16,0.1,0.5,0.18856166200152968
17,0.1,0.6,0.301007347833238
18,0.1,0.7,0.5102243720669482
19,0.1,0.8,1.0109829248969426
20,0.1,0.9,8.200652725443918
21,0.1,0.99,
22,0.2,0.01,0.4286369263821048
23,0.2,0.1,0.3384381547623737
24,0.2,0.2,0.44337422114098496
25,0.2,0.3,0.495424407751657
26,0.2,0.4,0.7323979629045941
27,0.2,0.5,0.8406746346220118
28,0.2,0.6,1.1908862543854077
29,0.2,0.7,2.4545071987184257
30,0.2,0.8,8.194996684288835
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.5434741109529199
34,0.3,0.1,0.5286258503577081
35,0.3,0.2,0.6337449629577664
36,0.3,0.3,0.9589450066888365
37,0.3,0.4,1.208902748246278
38,0.3,0.5,1.8061968785254123
39,0.3,0.6,3.341195098067795
40,0.3,0.7,8.189275480583898
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.851691163511777
45,0.4,0.1,0.9831692618578992
46,0.4,0.2,0.9796012658410013
47,0.4,0.3,1.3505669327613061
48,0.4,0.4,2.0623391627273095
49,0.4,0.5,3.7510173627882
50,0.4,0.6,8.322812558896738
51,0.4,0.7,4.171406132702788
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.9588616674056704
56,0.5,0.1,1.11987315390482
57,0.5,0.2,1.4576748683482679
58,0.5,0.3,2.194254683453985
59,0.5,0.4,3.896022020995704
60,0.5,0.5,8.158324754610964
61,0.5,0.6,4.208541693318948
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.1853343360110327
67,0.6,0.1,1.436134025179201
68,0.6,0.2,2.1449382649649937
69,0.6,0.3,3.9924609995632485
70,0.6,0.4,8.283458394542034
71,0.6,0.5,4.18083844842376
72,0.6,0.6,2.2869091695327004
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4553882270696161
78,0.7,0.1,2.103653190194904
79,0.7,0.2,3.976838273771524
80,0.7,0.3,8.240815976983857
81,0.7,0.4,3.746651575776795
82,0.7,0.5,1.9618631111207256
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,2.0880822147923954
89,0.8,0.1,3.52375572183806
90,0.8,0.2,8.188759657282485
91,0.8,0.3,3.3171375303311312
92,0.8,0.4,1.7706837696962643
93,0.8,0.5,1.0582613243743872
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.195518007898502
100,0.9,0.1,8.311662675165719
101,0.9,0.2,2.4540026696810955
102,0.9,0.3,1.093754865468343
103,0.9,0.4,0.5528251501800991
104,0.9,0.5,0.4302736097379309
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.355186305140785
111,0.99,0.1,0.30983397751361136
112,0.99,0.2,-0.21056017916839823
113,0.99,0.3,-0.3774647122539786
114,0.99,0.4,-0.4720957188559982
115,0.99,0.5,-0.6258240143125884
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
