,P,cost,value
0,0.01,0.01,9.925541811576327
1,0.01,0.1,9.924639204921773
2,0.01,0.2,9.923907891208895
3,0.01,0.3,9.923149366180539
4,0.01,0.4,9.923444012810505
5,0.01,0.5,9.923389980490919
6,0.01,0.6,9.920688000956869
7,0.01,0.7,9.922012940084555
8,0.01,0.8,9.914692794843688
9,0.01,0.9,9.877976098216104
10,0.01,0.99,8.428876754839663
11,0.1,0.01,9.92526067116512
12,0.1,0.1,9.924825100463943
13,0.1,0.2,9.924645455146225
14,0.1,0.3,9.921668243327389
15,0.1,0.4,9.918716179763226
16,0.1,0.5,9.916867760450208
17,0.1,0.6,9.906430984619337
18,0.1,0.7,9.88013837308982
19,0.1,0.8,9.750801467159969
20,0.1,0.9,8.237372277842205
21,0.1,0.99,
22,0.2,0.01,9.927811325067006
23,0.2,0.1,9.92474219578409
24,0.2,0.2,9.922156473190885
25,0.2,0.3,9.915735536074576
26,0.2,0.4,9.910124740543372
27,0.2,0.5,9.89422347292135
28,0.2,0.6,9.854021807467928
29,0.2,0.7,9.700822340386306
30,0.2,0.8,8.197047708657617
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.928396646830372
34,0.3,0.1,9.923176927321848
35,0.3,0.2,9.918437707705541
36,0.3,0.3,9.90948974321792
37,0.3,0.4,9.884137267490695
38,0.3,0.5,9.838935733968011
39,0.3,0.6,9.638874053618473
40,0.3,0.7,8.231203177567002
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.929011589641743
45,0.4,0.1,9.922187290196735
46,0.4,0.2,9.90705460192251
47,0.4,0.3,9.880621724802454
48,0.4,0.4,9.824922753652386
49,0.4,0.5,9.595569775611551
50,0.4,0.6,8.261732161253684
51,0.4,0.7,9.77567649641253
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.927804262592888
56,0.5,0.1,9.91406813674093
57,0.5,0.2,9.889790564185702
58,0.5,0.3,9.832272016293208
59,0.5,0.4,9.604203132902509
60,0.5,0.5,8.082943402562234
61,0.5,0.6,9.764821563317357
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.926678400475712
67,0.6,0.1,9.905726632666811
68,0.6,0.2,9.848990215097395
69,0.6,0.3,9.607732938201707
70,0.6,0.4,8.179847845979669
71,0.6,0.5,9.766052946134018
72,0.6,0.6,9.924706545404518
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.918641417881895
78,0.7,0.1,9.880153330485923
79,0.7,0.2,9.68913853935527
80,0.7,0.3,8.25619785852042
81,0.7,0.4,9.773333339370032
82,0.7,0.5,9.935391939072067
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.894496929738057
89,0.8,0.1,9.765396637729422
90,0.8,0.2,8.157175914216563
91,0.8,0.3,9.823293800220856
92,0.8,0.4,9.945230920257377
93,0.8,0.5,9.96771757385996
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.838198381491923
100,0.9,0.1,8.349309359706286
101,0.9,0.2,9.88070689228172
102,0.9,0.3,9.962113922174847
103,0.9,0.4,9.975089767936296
104,0.9,0.5,9.979365870432066
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.48593504181178
111,0.99,0.1,9.970967234779186
112,0.99,0.2,9.98302912091501
113,0.99,0.3,9.985314651610619
114,0.99,0.4,9.985947549742807
115,0.99,0.5,9.986054046735017
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
