,P,cost,value
0,0.01,0.01,9.923794442831044
1,0.01,0.1,9.850109170669528
2,0.01,0.2,9.44798633148948
3,0.01,0.3,8.13834897686466
4,0.01,0.4,4.783867064626866
5,0.01,0.5,-0.5468939778441323
6,0.01,0.6,-3.545575684169282
7,0.01,0.7,-4.280038189214728
8,0.01,0.8,-4.265358098792172
9,0.01,0.9,-4.225488792450494
10,0.01,0.99,7.306394358378641
11,0.1,0.01,9.925027967971292
12,0.1,0.1,9.915755893114254
13,0.1,0.2,9.86618515504232
14,0.1,0.3,9.653557367350167
15,0.1,0.4,8.486353362610538
16,0.1,0.5,0.18856166200152968
17,0.1,0.6,-6.867382098059216
18,0.1,0.7,-8.319022005220404
19,0.1,0.8,-8.557426323554845
20,0.1,0.9,2.6188318333438843
21,0.1,0.99,
22,0.2,0.01,9.92674353508257
23,0.2,0.1,9.921813115454869
24,0.2,0.2,9.897313308203552
25,0.2,0.3,9.78097988629105
26,0.2,0.4,9.07017781729784
27,0.2,0.5,0.8406746346220118
28,0.2,0.6,-7.260447458101136
29,0.2,0.7,-7.759636711001967
30,0.2,0.8,1.5369284330888826
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.928895209014609
34,0.3,0.1,9.925017898892804
35,0.3,0.2,9.907764106432804
36,0.3,0.3,9.834491495773518
37,0.3,0.4,9.367558953012102
38,0.3,0.5,1.8061968785254123
39,0.3,0.6,-6.001322421279243
40,0.3,0.7,2.3113849686672925
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.928778841971223
45,0.4,0.1,9.922163283139444
46,0.4,0.2,9.905370708513416
47,0.4,0.3,9.860393068350962
48,0.4,0.4,9.584011908732538
49,0.4,0.5,3.7510173627882
50,0.4,0.6,3.7674060630943886
51,0.4,0.7,9.571602292018866
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.925033166713229
56,0.5,0.1,9.916909568909285
57,0.5,0.2,9.88969925416508
58,0.5,0.3,9.831693599242389
59,0.5,0.4,9.627207287468968
60,0.5,0.5,8.158324754610964
61,0.5,0.6,9.756490679190774
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.923339659102018
67,0.6,0.1,9.903147492415865
68,0.6,0.2,9.838064473626616
69,0.6,0.3,9.508804786177498
70,0.6,0.4,3.979831711088612
71,0.6,0.5,4.18083844842376
72,0.6,0.6,9.674395005078205
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.915617663091655
78,0.7,0.1,9.86671503644408
79,0.7,0.2,9.435149657354843
80,0.7,0.3,2.8043273788557577
81,0.7,0.4,-5.7016633153744305
82,0.7,0.5,1.9618631111207256
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.89803291544304
89,0.8,0.1,9.628976959770274
90,0.8,0.2,2.0792480573295156
91,0.8,0.3,-7.2721043149009645
92,0.8,0.4,-6.9737598006623305
93,0.8,0.5,1.0582613243743872
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.830974391982231
100,0.9,0.1,2.5271049059161417
101,0.9,0.2,-7.7423393860889345
102,0.9,0.3,-8.010876333879814
103,0.9,0.4,-6.7104024435343
104,0.9,0.5,0.4302736097379309
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.365100644499545
111,0.99,0.1,-3.442607910341253
112,0.99,0.2,-3.945328330976763
113,0.99,0.3,-4.1011885094296225
114,0.99,0.4,-3.3420302069480345
115,0.99,0.5,-0.6258240143125884
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
