,P,cost,value
0,0.01,0.01,-0.7176185241965429
1,0.01,0.1,-0.563396726074204
2,0.01,0.2,-0.640606483291657
3,0.01,0.3,-0.5926084822471205
4,0.01,0.4,-0.5828905615442673
5,0.01,0.5,-0.6202891090638619
6,0.01,0.6,-0.5391323242718065
7,0.01,0.7,-0.5741575236785255
8,0.01,0.8,-0.5845976085524556
9,0.01,0.9,-0.5729078916091234
10,0.01,0.99,8.42877894159942
11,0.1,0.01,0.15036823371823424
12,0.1,0.1,0.1250276558443333
13,0.1,0.2,0.21075843520222462
14,0.1,0.3,0.12805104502625086
15,0.1,0.4,0.21634288619777614
16,0.1,0.5,0.30746509836009467
17,0.1,0.6,0.281152390335968
18,0.1,0.7,0.5005777654901155
19,0.1,0.8,1.0221212438540603
20,0.1,0.9,8.235232827736136
21,0.1,0.99,
22,0.2,0.01,0.3120931999583281
23,0.2,0.1,0.35607866398314547
24,0.2,0.2,0.48555481347836804
25,0.2,0.3,0.4877549414383092
26,0.2,0.4,0.6416341655320292
27,0.2,0.5,0.7570145363847246
28,0.2,0.6,1.171218371187723
29,0.2,0.7,2.5512692860628117
30,0.2,0.8,8.207671771862495
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.5247942690181174
34,0.3,0.1,0.6157830044389587
35,0.3,0.2,0.6506969998785563
36,0.3,0.3,0.8422718353396214
37,0.3,0.4,1.1708225468529263
38,0.3,0.5,1.663567991482175
39,0.3,0.6,3.353447322431063
40,0.3,0.7,8.233150306647993
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6801642949642175
45,0.4,0.1,0.8201866857662528
46,0.4,0.2,1.0177842386301224
47,0.4,0.3,1.4376163565654276
48,0.4,0.4,2.0519849763649938
49,0.4,0.5,3.83234119419541
50,0.4,0.6,8.255620778963863
51,0.4,0.7,4.203109379505123
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.8610859933723303
56,0.5,0.1,1.1628561780499784
57,0.5,0.2,1.4453831142011673
58,0.5,0.3,2.1679216498367233
59,0.5,0.4,4.000417096533278
60,0.5,0.5,8.07685527190984
61,0.5,0.6,4.142516125838
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.2379528578713788
67,0.6,0.1,1.5929007868567582
68,0.6,0.2,2.219725607306131
69,0.6,0.3,4.143142700795218
70,0.6,0.4,8.182410133536326
71,0.6,0.5,4.109516006978698
72,0.6,0.6,2.2308270559017385
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4462524357827133
78,0.7,0.1,2.1869152770380924
79,0.7,0.2,3.9263399360596347
80,0.7,0.3,8.255077012849437
81,0.7,0.4,3.800109440124326
82,0.7,0.5,1.9392194389741226
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.9518260300691594
89,0.8,0.1,3.495786729342965
90,0.8,0.2,8.158109472980389
91,0.8,0.3,3.401870166592269
92,0.8,0.4,1.7556057088521473
93,0.8,0.5,1.3062878348139941
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.212847162450878
100,0.9,0.1,8.348756189449368
101,0.9,0.2,2.3627145093163366
102,0.9,0.3,1.3025094040910048
103,0.9,0.4,0.722616639650613
104,0.9,0.5,0.5180563211838054
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.485656558598993
111,0.99,0.1,0.3677705938557319
112,0.99,0.2,-0.2919717193986577
113,0.99,0.3,-0.41786339654627924
114,0.99,0.4,-0.4718568158343905
115,0.99,0.5,-0.5014206712396503
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
