,P,cost,value
0,0.01,0.01,9.923909413154304
1,0.01,0.1,9.924262639311506
2,0.01,0.2,9.925107602566815
3,0.01,0.3,9.922926821967032
4,0.01,0.4,9.923370905098283
5,0.01,0.5,9.923625385466202
6,0.01,0.6,9.924222925784042
7,0.01,0.7,9.924257250727042
8,0.01,0.8,9.922892846469225
9,0.01,0.9,9.925085328362872
10,0.01,0.99,0.7452962315212258
11,0.1,0.01,9.917238839638683
12,0.1,0.1,9.916158823054829
13,0.1,0.2,9.916873887356726
14,0.1,0.3,9.9171883648718
15,0.1,0.4,9.9174648364673
16,0.1,0.5,9.915496423312046
17,0.1,0.6,9.91624551080008
18,0.1,0.7,9.902610759418074
19,0.1,0.8,9.85202904902012
20,0.1,0.9,0.6107044142669484
21,0.1,0.99,
22,0.2,0.01,9.894015465567222
23,0.2,0.1,9.895280660763524
24,0.2,0.2,9.897311527261138
25,0.2,0.3,9.895736855903948
26,0.2,0.4,9.8981912015439
27,0.2,0.5,9.895623365378448
28,0.2,0.6,9.867149104433263
29,0.2,0.7,9.6280130357149
30,0.2,0.8,1.6524533341424466
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.804748731261189
34,0.3,0.1,9.813136742091869
35,0.3,0.2,9.826654917193046
36,0.3,0.3,9.83500586949097
37,0.3,0.4,9.851277404136798
38,0.3,0.5,9.836368189394175
39,0.3,0.6,9.509208724749223
40,0.3,0.7,1.8402407393198164
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.266544910741528
45,0.4,0.1,9.308771334452405
46,0.4,0.2,9.359974209834201
47,0.4,0.3,9.460039183445328
48,0.4,0.4,9.587529581498917
49,0.4,0.5,9.609791734191678
50,0.4,0.6,3.5616088427873507
51,0.4,0.7,-6.0855922711887285
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.9578839853422956
56,0.5,0.1,1.1188345664498522
57,0.5,0.2,1.4579222134836824
58,0.5,0.3,2.1956093420101084
59,0.5,0.4,3.8953172396005487
60,0.5,0.5,8.159646135432007
61,0.5,0.6,4.20821585828808
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-8.356362968873851
67,0.6,0.1,-8.130857808331074
68,0.6,0.2,-7.671751225945228
69,0.6,0.3,-6.108318866856743
70,0.6,0.4,3.3032954930597502
71,0.6,0.5,9.76784725334067
72,0.6,0.6,9.701227663171212
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.232992668215886
78,0.7,0.1,-8.935839335880292
79,0.7,0.2,-7.656815448215801
80,0.7,0.3,1.3644060832369742
81,0.7,0.4,9.57479277786659
82,0.7,0.5,9.934574884831237
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.351114265968171
89,0.8,0.1,-8.524587307144015
90,0.8,0.2,1.1472863770452641
91,0.8,0.3,9.528060596063256
92,0.8,0.4,9.924169145895487
93,0.8,0.5,9.967704020765144
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.097069291473051
100,0.9,0.1,0.7768852750515685
101,0.9,0.2,9.653408546619684
102,0.9,0.3,9.935041558879645
103,0.9,0.4,9.971430182403305
104,0.9,0.5,9.979416089279871
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5918506262216958
111,0.99,0.1,9.928309167040778
112,0.99,0.2,9.977643395328359
113,0.99,0.3,9.983611109957366
114,0.99,0.4,9.985801669923527
115,0.99,0.5,9.986044884417966
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
