,P,cost,value
0,0.01,0.01,-0.7176961481719277
1,0.01,0.1,-0.5632417041919073
2,0.01,0.2,-0.641434679184363
3,0.01,0.3,-0.592652209939344
4,0.01,0.4,-0.5822725234634808
5,0.01,0.5,-0.620331512265681
6,0.01,0.6,-0.5389893705559758
7,0.01,0.7,-0.574926552948767
8,0.01,0.8,-0.5853682147902757
9,0.01,0.9,-0.572290843578358
10,0.01,0.99,8.42877894159942
11,0.1,0.01,0.15111315655508117
12,0.1,0.1,0.12636278002081708
13,0.1,0.2,0.2114440690929047
14,0.1,0.3,0.12832787803429976
15,0.1,0.4,0.21759911023926856
16,0.1,0.5,0.3076639143941886
17,0.1,0.6,0.28117561434784233
18,0.1,0.7,0.5006270566785186
19,0.1,0.8,1.0222443912672738
20,0.1,0.9,8.235232827736136
21,0.1,0.99,
22,0.2,0.01,0.31213987505678564
23,0.2,0.1,0.3560833885609083
24,0.2,0.2,0.48555592631470795
25,0.2,0.3,0.4876932684308317
26,0.2,0.4,0.6416656141761543
27,0.2,0.5,0.7570821364793618
28,0.2,0.6,1.1710913011206023
29,0.2,0.7,2.551394141852055
30,0.2,0.8,8.207661337167785
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.5247383634953816
34,0.3,0.1,0.6157818450880921
35,0.3,0.2,0.6507655351933903
36,0.3,0.3,0.8421610383579687
37,0.3,0.4,1.1708632445249145
38,0.3,0.5,1.663565651838245
39,0.3,0.6,3.3536170041052094
40,0.3,0.7,8.233150306647993
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6801598742352211
45,0.4,0.1,0.8201677206419168
46,0.4,0.2,1.0177782634203039
47,0.4,0.3,1.4376226221121362
48,0.4,0.4,2.0517782880677187
49,0.4,0.5,3.832347493937855
50,0.4,0.6,8.255620778963863
51,0.4,0.7,4.203193304722798
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.8610967836342919
56,0.5,0.1,1.1628057938977807
57,0.5,0.2,1.4453775189176974
58,0.5,0.3,2.167796209348526
59,0.5,0.4,4.000419301265074
60,0.5,0.5,8.07685527190984
61,0.5,0.6,4.142410642025252
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.2379528578713788
67,0.6,0.1,1.5930000281943835
68,0.6,0.2,2.219667601460345
69,0.6,0.3,4.143263475049935
70,0.6,0.4,8.182410133536326
71,0.6,0.5,4.108942527952394
72,0.6,0.6,2.2309449527692986
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.44616737322567
78,0.7,0.1,2.1868994853192194
79,0.7,0.2,3.9263739948487215
80,0.7,0.3,8.255077012849437
81,0.7,0.4,3.8000868155834184
82,0.7,0.5,1.9392630364374928
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.9517992870253065
89,0.8,0.1,3.496011205723586
90,0.8,0.2,8.158109472980389
91,0.8,0.3,3.4016715844895202
92,0.8,0.4,1.755529362336647
93,0.8,0.5,1.306317145257207
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.21257702170324
100,0.9,0.1,8.348756189449368
101,0.9,0.2,2.3637924523900384
102,0.9,0.3,1.3027369101430009
103,0.9,0.4,0.7227547148358622
104,0.9,0.5,0.5181478848376221
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.485656558598993
111,0.99,0.1,0.3673168070195923
112,0.99,0.2,-0.29229600996008165
113,0.99,0.3,-0.41838761754309395
114,0.99,0.4,-0.47119913227795096
115,0.99,0.5,-0.5023983083525532
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
