,P,cost,value
0,0.01,0.01,-2.6275543236434435
1,0.01,0.1,-2.6812954800651494
2,0.01,0.2,-2.745241640332423
3,0.01,0.3,-2.710497084892511
4,0.01,0.4,-2.5327132409342967
5,0.01,0.5,-2.5255476893524147
6,0.01,0.6,-2.763864293316267
7,0.01,0.7,-2.6142738918217976
8,0.01,0.8,-2.5680334289319955
9,0.01,0.9,-2.5419711793872852
10,0.01,0.99,7.156059475820513
11,0.1,0.01,-4.965769424012666
12,0.1,0.1,-4.974592999142988
13,0.1,0.2,-5.001919803455166
14,0.1,0.3,-4.954509603036202
15,0.1,0.4,-4.884675845660043
16,0.1,0.5,-4.855469378999943
17,0.1,0.6,-4.812050722012674
18,0.1,0.7,-4.654657587781824
19,0.1,0.8,-4.2577214035243225
20,0.1,0.9,6.536035391079319
21,0.1,0.99,
22,0.2,0.01,-7.794764415956973
23,0.2,0.1,-7.8051351987238
24,0.2,0.2,-7.814115525375291
25,0.2,0.3,-7.700197018310407
26,0.2,0.4,-7.623357279993773
27,0.2,0.5,-7.545510408178839
28,0.2,0.6,-7.213131624386071
29,0.2,0.7,-6.081362288812869
30,0.2,0.8,3.89331831328111
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-8.903130771251767
34,0.3,0.1,-8.886196724985355
35,0.3,0.2,-8.797418763436294
36,0.3,0.3,-8.720631065056313
37,0.3,0.4,-8.545850784214771
38,0.3,0.5,-8.205960693085748
39,0.3,0.6,-6.957165773726214
40,0.3,0.7,2.88400381904732
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.310542952639175
45,0.4,0.1,-9.260237633858491
46,0.4,0.2,-9.194032486487098
47,0.4,0.3,-9.032750383044592
48,0.4,0.4,-8.653174197023164
49,0.4,0.5,-7.40616070362109
50,0.4,0.6,2.1101550970844207
51,0.4,0.7,9.550144738478895
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.4894225295699
56,0.5,0.1,-9.415459471167837
57,0.5,0.2,-9.276359350335992
58,0.5,0.3,-8.944644207972562
59,0.5,0.4,-7.828117122083045
60,0.5,0.5,1.5095435750036028
61,0.5,0.6,9.390265677288049
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.563514312476206
67,0.6,0.1,-9.439207095888314
68,0.6,0.2,-9.149981018343157
69,0.6,0.3,-8.054602861058221
70,0.6,0.4,0.9365287471384942
71,0.6,0.5,9.289461675316108
72,0.6,0.6,9.879259952474715
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.580031449432283
78,0.7,0.1,-9.349499588795009
79,0.7,0.2,-8.271010463816358
80,0.7,0.3,0.46089163646505604
81,0.7,0.4,9.283604712450755
82,0.7,0.5,9.868373555879845
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.505971409283168
89,0.8,0.1,-8.754442800172168
90,0.8,0.2,0.737530376799155
91,0.8,0.3,9.39030282126542
92,0.8,0.4,9.87588280808304
93,0.8,0.5,9.952477929485784
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.180085254521778
100,0.9,0.1,0.5880437764066241
101,0.9,0.2,9.602116418320108
102,0.9,0.3,9.915313527094643
103,0.9,0.4,9.962176732989677
104,0.9,0.5,9.97633175282349
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5481843696212461
111,0.99,0.1,9.923370322651346
112,0.99,0.2,9.975677662426822
113,0.99,0.3,9.982578135162429
114,0.99,0.4,9.985323258721298
115,0.99,0.5,9.985787644193296
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
