,P,cost,value
0,0.01,0.01,-1.7600095194742038
1,0.01,0.1,-1.7928489732363269
2,0.01,0.2,-1.849805889242592
3,0.01,0.3,-1.8215890418958915
4,0.01,0.4,-1.6607905698546586
5,0.01,0.5,-1.6643547355225798
6,0.01,0.6,-1.889140542958273
7,0.01,0.7,-1.7423363560851055
8,0.01,0.8,-1.6891536422369362
9,0.01,0.9,-1.6679963706254421
10,0.01,0.99,7.7600272617673705
11,0.1,0.01,-0.016062012531003932
12,0.1,0.1,-0.16550441155322723
13,0.1,0.2,-0.16063815470188844
14,0.1,0.3,-0.03598252245529585
15,0.1,0.4,-0.0048772765388166136
16,0.1,0.5,-0.05960383950267539
17,0.1,0.6,0.10870383472700884
18,0.1,0.7,0.28035239680134305
19,0.1,0.8,0.6841601660473158
20,0.1,0.9,7.862022937883521
21,0.1,0.99,
22,0.2,0.01,0.37974923560644713
23,0.2,0.1,0.2834061739062007
24,0.2,0.2,0.3871223150632411
25,0.2,0.3,0.39658892566690895
26,0.2,0.4,0.6244065687827728
27,0.2,0.5,0.7100210303085441
28,0.2,0.6,1.0507837754326534
29,0.2,0.7,2.3394011038628753
30,0.2,0.8,8.02057596625003
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.5047372881629637
34,0.3,0.1,0.4845551047892924
35,0.3,0.2,0.6006143457512348
36,0.3,0.3,0.9247612544859601
37,0.3,0.4,1.165182964526835
38,0.3,0.5,1.7677279288339431
39,0.3,0.6,3.320159970495742
40,0.3,0.7,8.111951843560147
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.8425335597584507
45,0.4,0.1,0.9853053470403368
46,0.4,0.2,0.9844918261342555
47,0.4,0.3,1.3405799828792615
48,0.4,0.4,2.048875651975866
49,0.4,0.5,3.7207927322345116
50,0.4,0.6,8.313719710539548
51,0.4,0.7,4.140670728690001
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.9578839853422956
56,0.5,0.1,1.1188345664498522
57,0.5,0.2,1.4579222134836824
58,0.5,0.3,2.1956093420101084
59,0.5,0.4,3.8953172396005487
60,0.5,0.5,8.159646135432007
61,0.5,0.6,4.20821585828808
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.1885074012702537
67,0.6,0.1,1.4326746057241273
68,0.6,0.2,2.1450563539069485
69,0.6,0.3,3.96663684841686
70,0.6,0.4,8.26800130145293
71,0.6,0.5,4.158520818701621
72,0.6,0.6,2.289734137241976
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.434745208329045
78,0.7,0.1,2.117585293757664
79,0.7,0.2,3.9689898676913775
80,0.7,0.3,8.164902332738054
81,0.7,0.4,3.7246653011861297
82,0.7,0.5,1.9299429097255294
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,2.1057296157017835
89,0.8,0.1,3.4592222696064976
90,0.8,0.2,8.013863607883373
91,0.8,0.3,3.2262107086097074
92,0.8,0.4,1.6454036703134913
93,0.8,0.5,0.9782201045090257
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.2856772061016866
100,0.9,0.1,7.971192579448777
101,0.9,0.2,2.1660953652254165
102,0.9,0.3,0.8909590502078777
103,0.9,0.4,0.27419130726900987
104,0.9,0.5,0.14711344134989265
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.831013342496074
111,0.99,0.1,-0.9266798269290686
112,0.99,0.2,-1.4275782017362033
113,0.99,0.3,-1.5394612698639363
114,0.99,0.4,-1.617508443147833
115,0.99,0.5,-1.8464493316526034
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
