,P,cost,value
0,0.01,0.01,-1.6967654483979744
1,0.01,0.1,-1.698280599299828
2,0.01,0.2,-1.7217025096015235
3,0.01,0.3,-1.757553625077094
4,0.01,0.4,-1.5290474829336893
5,0.01,0.5,-1.63757605517229
6,0.01,0.6,-1.7570905972817965
7,0.01,0.7,-1.6108596720098123
8,0.01,0.8,-1.6386837714114462
9,0.01,0.9,-1.5814450444546735
10,0.01,0.99,7.936519379847593
11,0.1,0.01,-0.8603804102982769
12,0.1,0.1,-0.9800283210149852
13,0.1,0.2,-0.8088821719982509
14,0.1,0.3,-0.8440794337107828
15,0.1,0.4,-0.7599462984539694
16,0.1,0.5,-0.8805300284687745
17,0.1,0.6,-0.7295299324322198
18,0.1,0.7,-0.4773038049105084
19,0.1,0.8,-0.07854006860674292
20,0.1,0.9,7.372910490191752
21,0.1,0.99,
22,0.2,0.01,-0.3407072198239727
23,0.2,0.1,-0.36387876147213927
24,0.2,0.2,-0.17917612357149149
25,0.2,0.3,-0.26706976918636083
26,0.2,0.4,0.004915240520506802
27,0.2,0.5,0.06995832950863065
28,0.2,0.6,0.41694635551080894
29,0.2,0.7,1.5866250198794152
30,0.2,0.8,7.415885349068282
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-0.016702214197950437
34,0.3,0.1,-0.05071820241884364
35,0.3,0.2,0.054385173910815036
36,0.3,0.3,0.3755238621324082
37,0.3,0.4,0.5925341979832075
38,0.3,0.5,1.1173273744422583
39,0.3,0.6,2.517547236623808
40,0.3,0.7,7.45401558055071
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.45901953332969825
45,0.4,0.1,0.47050583540746266
46,0.4,0.2,0.5200713865779387
47,0.4,0.3,0.8846955577503195
48,0.4,0.4,1.456482344361981
49,0.4,0.5,3.001505477843174
50,0.4,0.6,7.559226327716036
51,0.4,0.7,4.037240892729146
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.5262541387290952
56,0.5,0.1,0.6478990518366573
57,0.5,0.2,0.9587507425414987
58,0.5,0.3,1.5922101833070048
59,0.5,0.4,3.1842452090709394
60,0.5,0.5,7.462370441869414
61,0.5,0.6,4.166311480747552
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.8420861166476081
67,0.6,0.1,1.077727573482128
68,0.6,0.2,1.6901208119599487
69,0.6,0.3,3.3624942624224907
70,0.6,0.4,7.550586873100639
71,0.6,0.5,3.9516112096707667
72,0.6,0.6,2.302855316575632
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.1913570073756332
78,0.7,0.1,1.7800985833254894
79,0.7,0.2,3.442969700244412
80,0.7,0.3,7.468476927719852
81,0.7,0.4,3.383542701443302
82,0.7,0.5,1.8623002428150546
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.9755860477551206
89,0.8,0.1,3.224225547818032
90,0.8,0.2,7.44512322079993
91,0.8,0.3,2.929299170408676
92,0.8,0.4,1.5239944281919628
93,0.8,0.5,0.8655134816693087
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.276041194429435
100,0.9,0.1,7.460703005818534
101,0.9,0.2,1.7633341247509766
102,0.9,0.3,0.5637357110840531
103,0.9,0.4,0.06165057485952549
104,0.9,0.5,-0.06602395523562701
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.954687794540728
111,0.99,0.1,-0.3946283617115747
112,0.99,0.2,-0.9014740987939224
113,0.99,0.3,-1.042450986203757
114,0.99,0.4,-1.089524678831363
115,0.99,0.5,-1.2893599460633194
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
