,P,cost,value
0,0.01,0.01,-2.799586267160792
1,0.01,0.1,-2.6098190654247375
2,0.01,0.2,-2.6645929991800372
3,0.01,0.3,-2.528281820581104
4,0.01,0.4,-2.6259937741048773
5,0.01,0.5,-2.681256399315821
6,0.01,0.6,-2.456925637373707
7,0.01,0.7,-2.6198146219718392
8,0.01,0.8,-2.6048987476571117
9,0.01,0.9,-2.5751144176707164
10,0.01,0.99,7.442910885950136
11,0.1,0.01,-0.3055089155792349
12,0.1,0.1,-0.5835469312305975
13,0.1,0.2,-0.4749527955184674
14,0.1,0.3,-0.4763649126794653
15,0.1,0.4,-0.4653739291351016
16,0.1,0.5,-0.2646065321352387
17,0.1,0.6,-0.31243154894460917
18,0.1,0.7,-0.14065489315158325
19,0.1,0.8,0.24009146115214636
20,0.1,0.9,7.4403871800004495
21,0.1,0.99,
22,0.2,0.01,-0.11423412090969316
23,0.2,0.1,-0.09816051716133276
24,0.2,0.2,-0.018883351842825673
25,0.2,0.3,-0.11036157763026516
26,0.2,0.4,0.202997774898296
27,0.2,0.5,0.23330174431092854
28,0.2,0.6,0.5866522412375764
29,0.2,0.7,1.947155164527077
30,0.2,0.8,7.403256029627729
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.1918901630642056
34,0.3,0.1,0.282264842862442
35,0.3,0.2,0.2817782904969012
36,0.3,0.3,0.502237549447475
37,0.3,0.4,0.7259972369655411
38,0.3,0.5,1.182520667033574
39,0.3,0.6,2.753238831598757
40,0.3,0.7,7.47973853146137
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.34276707150266994
45,0.4,0.1,0.5119867980367587
46,0.4,0.2,0.6246490999562432
47,0.4,0.3,1.1267939568013803
48,0.4,0.4,1.6063065210482497
49,0.4,0.5,3.210589421859313
50,0.4,0.6,7.447039147525409
51,0.4,0.7,3.956014739086048
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.4939964069410185
56,0.5,0.1,0.9342031422008352
57,0.5,0.2,1.1016535595207002
58,0.5,0.3,1.7336653868826126
59,0.5,0.4,3.473455000592826
60,0.5,0.5,7.3710209712762484
61,0.5,0.6,3.93875013815232
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.873939415732069
67,0.6,0.1,1.242522941175439
68,0.6,0.2,1.9346278473469882
69,0.6,0.3,3.6248104074173777
70,0.6,0.4,7.379107239219138
71,0.6,0.5,3.8521387462547474
72,0.6,0.6,2.130925275718866
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.1325194585975735
78,0.7,0.1,1.9216712461926844
79,0.7,0.2,3.4500299423513225
80,0.7,0.3,7.4846445068906275
81,0.7,0.4,3.4543445985817915
82,0.7,0.5,1.7408329782892606
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.729076490471039
89,0.8,0.1,3.1732401001857418
90,0.8,0.2,7.392877873854036
91,0.8,0.3,3.0363551237770765
92,0.8,0.4,1.5768551019450685
93,0.8,0.5,1.1445704254660878
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.189647410051284
100,0.9,0.1,7.577126625192414
101,0.9,0.2,1.7860832781156706
102,0.9,0.3,0.9761016257714081
103,0.9,0.4,0.33096006995325894
104,0.9,0.5,0.18409275474012743
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.8842875504274605
111,0.99,0.1,-0.6927341681644903
112,0.99,0.2,-1.340722236284131
113,0.99,0.3,-1.402470345354214
114,0.99,0.4,-1.5417195007408913
115,0.99,0.5,-1.5402338268579707
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
