,P,cost,value
0,0.01,0.01,-7.000393259007666
1,0.01,0.1,-7.005205580182246
2,0.01,0.2,-6.988154275997926
3,0.01,0.3,-7.022915139050592
4,0.01,0.4,-6.9231063697609185
5,0.01,0.5,-6.975358623032407
6,0.01,0.6,-7.031722278682916
7,0.01,0.7,-6.97492015959892
8,0.01,0.8,-6.959815692963157
9,0.01,0.9,-6.9308778521162555
10,0.01,0.99,5.463223447463377
11,0.1,0.01,-9.41323023967977
12,0.1,0.1,-9.414558047863448
13,0.1,0.2,-9.404603427608807
14,0.1,0.3,-9.402029963925445
15,0.1,0.4,-9.390780449334367
16,0.1,0.5,-9.372735919280107
17,0.1,0.6,-9.336134516591708
18,0.1,0.7,-9.255294730502651
19,0.1,0.8,-9.002925215691901
20,0.1,0.9,2.2427947150659233
21,0.1,0.99,
22,0.2,0.01,-9.631775704226591
23,0.2,0.1,-9.627921668878528
24,0.2,0.2,-9.611876487688978
25,0.2,0.3,-9.587108856953675
26,0.2,0.4,-9.543775927130921
27,0.2,0.5,-9.489891915905297
28,0.2,0.6,-9.313897140102055
29,0.2,0.7,-8.655258624286347
30,0.2,0.8,0.9121654945450732
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-9.704765387773827
34,0.3,0.1,-9.690801588314699
35,0.3,0.2,-9.652819766110444
36,0.3,0.3,-9.599145892140271
37,0.3,0.4,-9.501689297861178
38,0.3,0.5,-9.271413158552173
39,0.3,0.6,-8.340083576082339
40,0.3,0.7,1.098596857412037
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.732387025154836
45,0.4,0.1,-9.70093128701788
46,0.4,0.2,-9.650817756410618
47,0.4,0.3,-9.537543444852895
48,0.4,0.4,-9.254765152023221
49,0.4,0.5,-8.238612917353265
50,0.4,0.6,0.918597912245573
51,0.4,0.7,9.198989873836638
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.737740699944178
56,0.5,0.1,-9.68464558209042
57,0.5,0.2,-9.577825351131073
58,0.5,0.3,-9.307046152382952
59,0.5,0.4,-8.34436775360374
60,0.5,0.5,0.7283322193772436
61,0.5,0.6,9.10173759652196
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.725360187327153
67,0.6,0.1,-9.625226633998905
68,0.6,0.2,-9.37892958507884
69,0.6,0.3,-8.402096645722407
70,0.6,0.4,0.39209177502895565
71,0.6,0.5,9.07376630670517
72,0.6,0.6,9.801185644488704
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.691126373385305
78,0.7,0.1,-9.492558865648014
79,0.7,0.2,-8.50141156182578
80,0.7,0.3,0.08024470240514113
81,0.7,0.4,9.132648061491524
82,0.7,0.5,9.808093657338867
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.589886168877964
89,0.8,0.1,-8.887513710509086
90,0.8,0.2,0.4793946692720736
91,0.8,0.3,9.298804333664979
92,0.8,0.4,9.835694282945113
93,0.8,0.5,9.93236408333473
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.245994152944865
100,0.9,0.1,0.4328665429270672
101,0.9,0.2,9.558044472596002
102,0.9,0.3,9.896635067105375
103,0.9,0.4,9.951800310127947
104,0.9,0.5,9.970918663828868
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5064325147552496
111,0.99,0.1,9.918541963863674
112,0.99,0.2,9.973819260637608
113,0.99,0.3,9.981563495038902
114,0.99,0.4,9.984776573929183
115,0.99,0.5,9.985473799261806
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
