,P,cost,value
0,0.01,0.01,9.924441777171953
1,0.01,0.1,9.92470880580662
2,0.01,0.2,9.92562098872813
3,0.01,0.3,9.923430396292241
4,0.01,0.4,9.923795226484277
5,0.01,0.5,9.92404275189026
6,0.01,0.6,9.924680307390506
7,0.01,0.7,9.92482057516244
8,0.01,0.8,9.9231707569794
9,0.01,0.9,9.925265412985752
10,0.01,0.99,0.6592876740096725
11,0.1,0.01,9.925340295523283
12,0.1,0.1,9.924414893749212
13,0.1,0.2,9.924260178966938
14,0.1,0.3,9.92314941945199
15,0.1,0.4,9.921322059306586
16,0.1,0.5,9.917350730256052
17,0.1,0.6,9.914775676721634
18,0.1,0.7,9.893190310266068
19,0.1,0.8,9.817702916862194
20,0.1,0.9,0.2759665774594603
21,0.1,0.99,
22,0.2,0.01,9.927111046327378
23,0.2,0.1,9.926113220657806
24,0.2,0.2,9.922021878184882
25,0.2,0.3,9.915917545633576
26,0.2,0.4,9.907973798651323
27,0.2,0.5,9.888616257176107
28,0.2,0.6,9.821757604577874
29,0.2,0.7,9.4720158022646
30,0.2,0.8,0.99909537312254
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.929501915178847
34,0.3,0.1,9.927082154589012
35,0.3,0.2,9.918814281504286
36,0.3,0.3,9.900558188874932
37,0.3,0.4,9.867035392522013
38,0.3,0.5,9.755329568763093
39,0.3,0.6,9.14943397845509
40,0.3,0.7,0.5668597305355095
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.929515756684593
45,0.4,0.1,9.921913841857101
46,0.4,0.2,9.904959834693473
47,0.4,0.3,9.863085738177963
48,0.4,0.4,9.712997152313891
49,0.4,0.5,9.038629122777808
50,0.4,0.6,0.6677822413193133
51,0.4,0.7,-8.408575020726177
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.92605709765469
56,0.5,0.1,9.914960556015217
57,0.5,0.2,9.871679878926136
58,0.5,0.3,9.736665645630842
59,0.5,0.4,9.098232982020795
60,0.5,0.5,0.7919391271038657
61,0.5,0.6,-8.28614582786283
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.924211726907306
67,0.6,0.1,9.896762343244712
68,0.6,0.2,9.784562680363633
69,0.6,0.3,9.162301154296944
70,0.6,0.4,1.188909735444121
71,0.6,0.5,-8.20209689609226
72,0.6,0.6,-9.312543537672
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.917241213821029
78,0.7,0.1,9.851641122447102
79,0.7,0.2,9.26670833383763
80,0.7,0.3,1.5928875683748565
81,0.7,0.4,-8.21088875744197
82,0.7,0.5,-9.276282425680103
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.899770448008235
89,0.8,0.1,9.578609643383464
90,0.8,0.2,1.4489294053668385
91,0.8,0.3,-8.287942406678031
92,0.8,0.4,-9.204792846111715
93,0.8,0.5,-9.45335023370342
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.828662693997924
100,0.9,0.1,2.14501028880911
101,0.9,0.2,-8.306965765058475
102,0.9,0.3,-9.055191827540805
103,0.9,0.4,-9.259088686269855
104,0.9,0.5,-9.357905101439933
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,5.541063220987135
111,0.99,0.1,-6.310603787139329
112,0.99,0.2,-6.728384355395088
113,0.99,0.3,-6.854169419779852
114,0.99,0.4,-6.929852861881638
115,0.99,0.5,-7.019008584933902
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
