,P,cost,value
0,0.01,0.01,0.008246886477313784
1,0.01,0.1,0.007212784875081402
2,0.01,0.2,0.008378521858204733
3,0.01,0.3,0.00849991864730499
4,0.01,0.4,0.008254913159131114
5,0.01,0.5,0.008901197791886148
6,0.01,0.6,0.009021099598430364
7,0.01,0.7,0.008687439842064219
8,0.01,0.8,0.009052561274685114
9,0.01,0.9,0.00953363745911527
10,0.01,0.99,2.7419094191489957
11,0.1,0.01,0.009078628439604105
12,0.1,0.1,0.009250015047956918
13,0.1,0.2,0.008770017945865138
14,0.1,0.3,0.010201515596955786
15,0.1,0.4,0.010314962716717557
16,0.1,0.5,0.010577011743294949
17,0.1,0.6,0.010447173854721537
18,0.1,0.7,0.011840588587936216
19,0.1,0.8,0.022785080472961225
20,0.1,0.9,2.9369897474617375
21,0.1,0.99,
22,0.2,0.01,0.009993472085015246
23,0.2,0.1,0.010291301339509739
24,0.2,0.2,0.009965427348891488
25,0.2,0.3,0.010824390555888989
26,0.2,0.4,0.011768430801922938
27,0.2,0.5,0.015875048997830495
28,0.2,0.6,0.022334935993146933
29,0.2,0.7,0.10074889051268286
30,0.2,0.8,3.0372064399528202
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.010432732242613891
34,0.3,0.1,0.01145568897255381
35,0.3,0.2,0.013262195089980488
36,0.3,0.3,0.012807263786958581
37,0.3,0.4,0.017579531159332983
38,0.3,0.5,0.026966969973519165
39,0.3,0.6,0.1647362711318603
40,0.3,0.7,2.886881523145812
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.013575329107889651
45,0.4,0.1,0.015306933060337109
46,0.4,0.2,0.01684389505135712
47,0.4,0.3,0.02148377463179448
48,0.4,0.4,0.03097989568332687
49,0.4,0.5,0.162119773512847
50,0.4,0.6,2.0684705296700274
51,0.4,0.7,0.5737186774776841
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.02214573731277647
56,0.5,0.1,0.023105657407351675
57,0.5,0.2,0.03277789516983369
58,0.5,0.3,0.05406397656951607
59,0.5,0.4,0.1465438384665783
60,0.5,0.5,0.7745264119414196
61,0.5,0.6,0.13389469015981667
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.05564677498013145
67,0.6,0.1,0.07060345866055188
68,0.6,0.2,0.14119747329466578
69,0.6,0.3,0.6717342543547318
70,0.6,0.4,2.4310109602828818
71,0.6,0.5,0.07765135672939273
72,0.6,0.6,0.014581426125762548
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.15213433196033485
78,0.7,0.1,0.2964291607010207
79,0.7,0.2,0.6705249075824709
80,0.7,0.3,2.691756505645731
81,0.7,0.4,0.16300513723201743
82,0.7,0.5,0.011609236776195023
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.2962733971241142
89,0.8,0.1,0.5486477276992879
90,0.8,0.2,3.072728897983569
91,0.8,0.3,0.12791031768833494
92,0.8,0.4,0.016314530586118526
93,0.8,0.5,0.003988280160845589
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.3529438920070176
100,0.9,0.1,2.846509019067761
101,0.9,0.2,0.09862686475844944
102,0.9,0.3,0.011637722803863323
103,0.9,0.4,0.003756757371347945
104,0.9,0.5,0.002646232031486327
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,2.5865595889431625
111,0.99,0.1,0.02160234316743342
112,0.99,0.2,0.0033443247638812426
113,0.99,0.3,0.0018115816536996851
114,0.99,0.4,0.0018208229898425863
115,0.99,0.5,0.0015954515110591272
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
