,P,cost,value
0,0.01,0.01,0.47935020635141545
1,0.01,0.1,0.4281993247680574
2,0.01,0.2,0.42929751807838235
3,0.01,0.3,0.46361234039551386
4,0.01,0.4,0.4296756813423952
5,0.01,0.5,0.4313597735899624
6,0.01,0.6,0.4454267083215825
7,0.01,0.7,0.43852245565780273
8,0.01,0.8,0.5104729666787354
9,0.01,0.9,0.4648880924896708
10,0.01,0.99,2.924966336426973
11,0.1,0.01,0.1284574263782631
12,0.1,0.1,0.12352779058998054
13,0.1,0.2,0.1532770697298666
14,0.1,0.3,0.12476634241622336
15,0.1,0.4,0.12926708857265537
16,0.1,0.5,0.15265973378460537
17,0.1,0.6,0.14432265297849806
18,0.1,0.7,0.16033528947223263
19,0.1,0.8,0.19431290932458495
20,0.1,0.9,3.0696325338555845
21,0.1,0.99,
22,0.2,0.01,0.12379130539868718
23,0.2,0.1,0.11645393771620888
24,0.2,0.2,0.11327456267791819
25,0.2,0.3,0.13720989608669282
26,0.2,0.4,0.13219283039851443
27,0.2,0.5,0.14990547356253378
28,0.2,0.6,0.17853821586860233
29,0.2,0.7,0.37545521226091005
30,0.2,0.8,3.26622050092453
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.11818158157335308
34,0.3,0.1,0.13088162835695788
35,0.3,0.2,0.11848486845036371
36,0.3,0.3,0.12080476025489947
37,0.3,0.4,0.1431218523949389
38,0.3,0.5,0.18373474187562155
39,0.3,0.6,0.5236290615636098
40,0.3,0.7,3.115856286871134
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.08888875247593203
45,0.4,0.1,0.1150258455663744
46,0.4,0.2,0.11574991657191301
47,0.4,0.3,0.13669880837240997
48,0.4,0.4,0.18280346731489688
49,0.4,0.5,0.6035818854328299
50,0.4,0.6,3.0099960046405316
51,0.4,0.7,0.14796088118014228
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.0910614576360583
56,0.5,0.1,0.0875885184056397
57,0.5,0.2,0.11567021178548051
58,0.5,0.3,0.18310169915292926
59,0.5,0.4,0.5701251858249391
60,0.5,0.5,3.530543866262206
61,0.5,0.6,0.21106208124279863
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.08630177155944471
67,0.6,0.1,0.11761440964606357
68,0.6,0.2,0.16935391299161473
69,0.6,0.3,0.5693871418934928
70,0.6,0.4,3.1775440507015738
71,0.6,0.5,0.20547113558967256
72,0.6,0.6,0.04239727662356897
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.07370857092069799
78,0.7,0.1,0.11128725777367227
79,0.7,0.2,0.3852460647902912
80,0.7,0.3,2.9533744730141724
81,0.7,0.4,0.22810392217996742
82,0.7,0.5,0.030479571633372976
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.08402717057507575
89,0.8,0.1,0.27523755992178994
90,0.8,0.2,3.2098932829406372
91,0.8,0.3,0.15131538508412357
92,0.8,0.4,0.021451415618552322
93,0.8,0.5,0.01654965761296655
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.14276417589561166
100,0.9,0.1,3.017555851666756
101,0.9,0.2,0.11540363045542527
102,0.9,0.3,0.012588095346691681
103,0.9,0.4,0.007687533819336922
104,0.9,0.5,0.006756143291133783
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.337416773112083
111,0.99,0.1,0.029799402005510765
112,0.99,0.2,0.0031926814095354196
113,0.99,0.3,0.0020221158689974206
114,0.99,0.4,0.0021793862924374837
115,0.99,0.5,0.0020557267369772352
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
