,P,cost,value
0,0.01,0.01,0.009591471824048892
1,0.01,0.1,0.008832800987476373
2,0.01,0.2,0.009342708598356028
3,0.01,0.3,0.0086640790926962
4,0.01,0.4,0.008840488632826968
5,0.01,0.5,0.009581801778012178
6,0.01,0.6,0.008020609529390954
7,0.01,0.7,0.008902761925039594
8,0.01,0.8,0.009090820747313683
9,0.01,0.9,0.008834566486275043
10,0.01,0.99,3.672164866150722
11,0.1,0.01,0.020755523322487965
12,0.1,0.1,0.021181485592563432
13,0.1,0.2,0.020285393414911996
14,0.1,0.3,0.021357251280838763
15,0.1,0.4,0.01796916715306689
16,0.1,0.5,0.021784802990469185
17,0.1,0.6,0.0210598551835128
18,0.1,0.7,0.02303779107822963
19,0.1,0.8,0.02601441315399392
20,0.1,0.9,3.1716164723268876
21,0.1,0.99,
22,0.2,0.01,0.051737379087099925
23,0.2,0.1,0.05088480311346753
24,0.2,0.2,0.05512287121733753
25,0.2,0.3,0.05818670759361445
26,0.2,0.4,0.051633740754494915
27,0.2,0.5,0.04627180271390029
28,0.2,0.6,0.05748498165395472
29,0.2,0.7,0.1037150260690625
30,0.2,0.8,2.8267114126239585
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.09897359709406453
34,0.3,0.1,0.09582553495547905
35,0.3,0.2,0.10482866366296624
36,0.3,0.3,0.09564537089158823
37,0.3,0.4,0.10210249282133452
38,0.3,0.5,0.08530402981001779
39,0.3,0.6,0.2078361307067776
40,0.3,0.7,2.490252018474927
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.13379857740283335
45,0.4,0.1,0.14316621403714216
46,0.4,0.2,0.15408949367217661
47,0.4,0.3,0.14788922124391862
48,0.4,0.4,0.1610332525709793
49,0.4,0.5,0.22467154942805084
50,0.4,0.6,1.546170670498879
51,0.4,0.7,0.3253377631409361
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.15475394406414616
56,0.5,0.1,0.18040658483019129
57,0.5,0.2,0.16884984045990448
58,0.5,0.3,0.17979935851159679
59,0.5,0.4,0.3143528062591292
60,0.5,0.5,0.6269072440843422
61,0.5,0.6,0.30999161049978635
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.14759462952054467
67,0.6,0.1,0.13895318637554413
68,0.6,0.2,0.20329258620956442
69,0.6,0.3,0.41538656740279656
70,0.6,0.4,1.6027125831901725
71,0.6,0.5,0.18913361454415895
72,0.6,0.6,0.15124343239769275
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.12541417270281244
78,0.7,0.1,0.15914769450872054
79,0.7,0.2,0.429506428292577
80,0.7,0.3,2.422397090425433
81,0.7,0.4,0.20198761050405528
82,0.7,0.5,0.08142693983493861
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.0922371259460278
89,0.8,0.1,0.299694541056344
90,0.8,0.2,2.974099754222071
91,0.8,0.3,0.13747208137953656
92,0.8,0.4,0.049462687471062285
93,0.8,0.5,0.05275837828325505
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.11884325844512261
100,0.9,0.1,2.9509120813571617
101,0.9,0.2,0.0929537695443527
102,0.9,0.3,0.016693732516056617
103,0.9,0.4,0.013862818669844828
104,0.9,0.5,0.016555086398215877
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.64987232990911
111,0.99,0.1,0.02803601502632312
112,0.99,0.2,0.0034649456319350716
113,0.99,0.3,0.002201820147716978
114,0.99,0.4,0.0022221989708108856
115,0.99,0.5,0.0022842072522838825
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
